Date,pID,Lon,CM
2009-01-12,SU,292.4,muLyr
2009-01-12,MO,131.09,laDra
2009-01-12,ME,307.69,beCap
2009-01-12,VE,339.5,alAqr
2009-01-12,MA,282.21,muLyr
2009-01-12,JU,301.59,muLyr
2009-01-12,SA,171.64,chUMa
2009-01-12,UR,349.61,alAqr
2009-01-12,NE,322.8,epAqr
2009-01-12,PL,271.67,ga-2Sgr
2009-01-12,NN,310.36,beCap
2009-01-12,SN,130.36,xiPup
2009-01-12,CE,163.59,chUMa
2009-01-12,CH,319.1,epAqr
2009-01-12,JN,296.35,muLyr
2009-01-12,PA,64.04,16Tau
2009-01-12,PH,251.69,siSco
2009-01-12,VS,32.07,piAnd
2009-01-13,SU,293.42,muLyr
2009-01-13,MO,145.75,laDra
2009-01-13,ME,307.44,beCap
2009-01-13,VE,340.53,alAqr
2009-01-13,MA,282.97,muLyr
2009-01-13,JU,301.83,muLyr
2009-01-13,SA,171.62,chUMa
2009-01-13,UR,349.65,alAqr
2009-01-13,NE,322.84,epAqr
2009-01-13,PL,271.7,ga-2Sgr
2009-01-13,NN,310.3,beCap
2009-01-13,SN,130.3,xiPup
2009-01-13,CE,163.58,chUMa
2009-01-13,CH,319.17,epAqr
2009-01-13,JN,296.75,muLyr
2009-01-13,PA,64.01,16Tau
2009-01-13,PH,251.73,siSco
2009-01-13,VS,32.24,piAnd
2009-01-14,SU,294.44,muLyr
2009-01-14,MO,160.01,chUMa
2009-01-14,ME,306.99,beCap
2009-01-14,VE,341.56,alAqr
2009-01-14,MA,283.73,muLyr
2009-01-14,JU,302.06,muLyr
2009-01-14,SA,171.6,chUMa
2009-01-14,UR,349.69,alAqr
2009-01-14,NE,322.87,epAqr
2009-01-14,PL,271.73,ga-2Sgr
2009-01-14,NN,310.25,beCap
2009-01-14,SN,130.25,xiPup
2009-01-14,CE,163.57,chUMa
2009-01-14,CH,319.24,epAqr
2009-01-14,JN,297.16,muLyr
2009-01-14,PA,64,16Tau
2009-01-14,PH,251.77,siSco
2009-01-14,VS,32.43,piAnd
2009-01-15,SU,295.45,muLyr
2009-01-15,MO,173.81,chUMa
2009-01-15,ME,306.36,beCap
2009-01-15,VE,342.57,alAqr
2009-01-15,MA,284.49,muLyr
2009-01-15,JU,302.3,muLyr
2009-01-15,SA,171.57,chUMa
2009-01-15,UR,349.72,alAqr
2009-01-15,NE,322.9,epAqr
2009-01-15,PL,271.77,ga-2Sgr
2009-01-15,NN,310.2,beCap
2009-01-15,SN,130.2,xiPup
2009-01-15,CE,163.54,chUMa
2009-01-15,CH,319.3,epAqr
2009-01-15,JN,297.56,muLyr
2009-01-15,PA,64,16Tau
2009-01-15,PH,251.81,siSco
2009-01-15,VS,32.61,piAnd
2009-01-16,SU,296.47,muLyr
2009-01-16,MO,187.16,gaCom
2009-01-16,ME,305.54,beCap
2009-01-16,VE,343.58,alAqr
2009-01-16,MA,285.25,muLyr
2009-01-16,JU,302.54,muLyr
2009-01-16,SA,171.54,chUMa
2009-01-16,UR,349.76,alAqr
2009-01-16,NE,322.94,epAqr
2009-01-16,PL,271.8,ga-2Sgr
2009-01-16,NN,310.14,beCap
2009-01-16,SN,130.14,xiPup
2009-01-16,CE,163.51,chUMa
2009-01-16,CH,319.37,epAqr
2009-01-16,JN,297.96,muLyr
2009-01-16,PA,64.02,16Tau
2009-01-16,PH,251.85,siSco
2009-01-16,VS,32.81,piAnd
2009-01-17,SU,297.49,muLyr
2009-01-17,MO,200.09,gaCrv
2009-01-17,ME,304.56,beCap
2009-01-17,VE,344.59,alAqr
2009-01-17,MA,286.02,muLyr
2009-01-17,JU,302.78,muLyr
2009-01-17,SA,171.51,chUMa
2009-01-17,UR,349.8,alAqr
2009-01-17,NE,322.97,epAqr
2009-01-17,PL,271.84,ga-2Sgr
2009-01-17,NN,310.09,beCap
2009-01-17,SN,130.09,xiPup
2009-01-17,CE,163.47,chUMa
2009-01-17,CH,319.44,epAqr
2009-01-17,JN,298.37,muLyr
2009-01-17,PA,64.04,16Tau
2009-01-17,PH,251.89,siSco
2009-01-17,VS,33,piAnd
2009-01-18,SU,298.51,muLyr
2009-01-18,MO,212.66,alVir
2009-01-18,ME,303.45,muLyr
2009-01-18,VE,345.59,alAqr
2009-01-18,MA,286.78,muLyr
2009-01-18,JU,303.01,muLyr
2009-01-18,SA,171.48,chUMa
2009-01-18,UR,349.84,alAqr
2009-01-18,NE,323.01,epAqr
2009-01-18,PL,271.87,ga-2Sgr
2009-01-18,NN,310.04,beCap
2009-01-18,SN,130.04,xiPup
2009-01-18,CE,163.42,chUMa
2009-01-18,CH,319.51,epAqr
2009-01-18,JN,298.77,muLyr
2009-01-18,PA,64.08,16Tau
2009-01-18,PH,251.93,siSco
2009-01-18,VS,33.2,piAnd
2009-01-19,SU,299.53,muLyr
2009-01-19,MO,224.94,laCen
2009-01-19,ME,302.25,muLyr
2009-01-19,VE,346.57,alAqr
2009-01-19,MA,287.55,muLyr
2009-01-19,JU,303.25,muLyr
2009-01-19,SA,171.45,chUMa
2009-01-19,UR,349.88,alAqr
2009-01-19,NE,323.04,epAqr
2009-01-19,PL,271.9,ga-2Sgr
2009-01-19,NN,309.98,beCap
2009-01-19,SN,129.98,xiPup
2009-01-19,CE,163.37,chUMa
2009-01-19,CH,319.58,epAqr
2009-01-19,JN,299.18,muLyr
2009-01-19,PA,64.13,16Tau
2009-01-19,PH,251.97,siSco
2009-01-19,VS,33.41,piAnd
2009-01-20,SU,300.54,muLyr
2009-01-20,MO,237,xi-2Lib
2009-01-20,ME,300.97,muLyr
2009-01-20,VE,347.56,alAqr
2009-01-20,MA,288.31,muLyr
2009-01-20,JU,303.48,muLyr
2009-01-20,SA,171.42,chUMa
2009-01-20,UR,349.92,alAqr
2009-01-20,NE,323.08,epAqr
2009-01-20,PL,271.94,ga-2Sgr
2009-01-20,NN,309.93,beCap
2009-01-20,SN,129.93,xiPup
2009-01-20,CE,163.3,chUMa
2009-01-20,CH,319.65,epAqr
2009-01-20,JN,299.59,muLyr
2009-01-20,PA,64.19,16Tau
2009-01-20,PH,252,siSco
2009-01-20,VS,33.62,piAnd
2009-01-21,SU,301.56,muLyr
2009-01-21,MO,248.92,siSco
2009-01-21,ME,299.68,muLyr
2009-01-21,VE,348.53,alAqr
2009-01-21,MA,289.08,muLyr
2009-01-21,JU,303.71,muLyr
2009-01-21,SA,171.38,chUMa
2009-01-21,UR,349.97,alAqr
2009-01-21,NE,323.11,epAqr
2009-01-21,PL,271.97,ga-2Sgr
2009-01-21,NN,309.88,beCap
2009-01-21,SN,129.88,xiPup
2009-01-21,CE,163.23,chUMa
2009-01-21,CH,319.72,epAqr
2009-01-21,JN,299.99,muLyr
2009-01-21,PA,64.26,16Tau
2009-01-21,PH,252.04,siSco
2009-01-21,VS,33.84,piAnd
2009-01-22,SU,302.58,muLyr
2009-01-22,MO,260.75,alHer
2009-01-22,ME,298.41,muLyr
2009-01-22,VE,349.49,alAqr
2009-01-22,MA,289.84,muLyr
2009-01-22,JU,303.95,muLyr
2009-01-22,SA,171.34,chUMa
2009-01-22,UR,350.01,alAqr
