PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AAPL-predict-ensamble-gakknn-PA.csv,AAPL,2021-07-06T18:28:59.788146Z,1,0.508,0.695,0.709,0.818,0.113,0.112,0.154,0.666,0.21,0.247,0.243,0.547,0.568,0.614,0.727,0.054,0.139,0.161,0.212869333333333
AAPL-predict-ensamble-gakknn-VDIBCFA.csv,AAPL,2021-07-06T18:29:00.293032Z,1,0.6,0.571,0.5,0.5,0.096,0.124,0,0.619,0.963,0.988,0.977,0.695,0.764,0.741,0.682,0.186,0.071,0.084,0.212217
AAPL-predict-ensamble-kknn-MAABBAABCACCCJ.csv,AAPL,2021-07-07T16:29:55.125831Z,0,0.54,0.587,0.57,0.591,0.059,0.035,0.029,0.636,0.689,0.591,0.59,0.548,0.618,0.57,0.591,0.086,0.086,0.029,0.205902666666667
AAPL-predict-ensamble-kknn-MAABBAABCACCCLA.csv,AAPL,2021-07-07T16:29:55.132372Z,0,0.535,0.653,0.67,0.591,0.177,0.085,0.112,0.677,0.573,0.418,0.59,0.542,0.591,0.53,0.409,0.114,0.161,0.17,0.200044666666667
AAPL-predict-ensamble-kknn-MAABBAABCACCCLB.csv,AAPL,2021-07-07T16:29:55.135749Z,0,0.557,0.572,0.548,0.545,0.063,0.041,0.003,0.644,0.723,0.589,0.587,0.562,0.571,0.452,0.455,0.131,0.206,0.003,0.199004
AAPL-predict-ensamble-gakknn-UADCC.csv,AAPL,2021-07-06T18:29:00.000083Z,1,0.564,0.507,0.475,0.5,0.083,0.061,0.035,0.627,0.623,0.727,0.584,0.506,0.475,0.475,0.5,0.11,0.025,0.035,0.192219333333333
AAPL-predict-ensamble-gakknn-VEB.csv,AAPL,2021-07-06T18:29:00.381118Z,1,0.57,0.668,0.668,0.636,0.118,0.032,0.045,0.701,0.68,0.523,0.989,0.662,0.725,0.659,0.818,0.14,0.196,0.225,0.189964666666667
AAPL-predict-ensamble-gakknn-VDIBCB.csv,AAPL,2021-07-06T18:29:00.269718Z,1,0.565,0.598,0.468,0.636,0.227,0.281,0.238,0.657,0.703,0.94,0.882,0.676,0.696,0.664,0.727,0.128,0.085,0.09,0.186477666666667
AAPL-predict-ensamble-gakknn-UADC.csv,AAPL,2021-07-06T18:28:59.984596Z,1,0.508,0.601,0.568,0.636,0.153,0.089,0.096,0.668,0.535,0.734,0.595,0.433,0.504,0.518,0.636,0.095,0.121,0.167,0.185588
AAPL-predict-ensamble-gakknn-SBA.csv,AAPL,2021-07-06T18:28:59.910015Z,1,0.526,0.517,0.514,0.727,0.144,0.214,0.302,0.646,0.668,0.628,0.257,0.541,0.555,0.618,0.636,0.064,0.111,0.026,0.183726
AAPL-predict-ensamble-gakknn-NAABCAABF.csv,AAPL,2021-07-07T16:29:55.059261Z,0,0.58,0.507,0.499,0.524,0.105,0.029,0.035,0.656,0.802,0.909,0.869,0.535,0.591,0.625,0.619,0.143,0.059,0.009,0.181861333333333
AAPL-predict-ensamble-gakknn-VDIBCC.csv,AAPL,2021-07-06T18:29:00.274268Z,1,0.549,0.665,0.568,0.636,0.171,0.18,0.096,0.7,0.47,0.592,0.595,0.617,0.633,0.568,0.636,0.1,0.131,0.096,0.1782
AAPL-predict-ensamble-gakknn-NAABCAABC.csv,AAPL,2021-07-07T16:29:55.015775Z,0,0.515,0.555,0.618,0.636,0.126,0.111,0.026,0.684,0.599,0.429,0.262,0.486,0.458,0.473,0.545,0.105,0.077,0.103,0.177802666666667
AAPL-predict-ensamble-gakknn-NAABA.csv,AAPL,2021-07-06T18:28:59.782696Z,1,0.555,0.562,0.51,0.619,0.106,0.142,0.155,0.688,0.83,0.797,0.595,0.494,0.56,0.46,0.619,0.173,0.236,0.226,0.169208
