YearMonth,buy,sell,Action,ActionID
2010-01,79,138,sell,0
2010-02,128,68,buy,1
2010-03,133,84,buy,1
2010-04,110,100,buy,1
2010-05,112,105,buy,1
2010-06,107,103,buy,1
2010-07,95,122,sell,0
2010-08,97,120,sell,0
2010-09,140,68,buy,1
2010-10,125,92,buy,1
2010-11,108,102,buy,1
2010-12,104,113,sell,0
2011-01,127,90,buy,1
2011-02,116,80,buy,1
2011-03,106,110,sell,0
2011-04,99,111,sell,0
2011-05,92,125,sell,0
2011-06,99,111,sell,0
2011-07,145,71,buy,1
2011-08,88,129,sell,0
2011-09,116,94,buy,1
2011-10,106,111,sell,0
2011-11,84,126,sell,0
2011-12,119,98,buy,1
2012-01,115,102,buy,1
2012-02,141,62,buy,1
2012-03,125,92,buy,1
2012-04,84,126,sell,0
2012-05,75,142,sell,0
2012-06,95,115,sell,0
2012-07,133,84,buy,1
2012-08,147,70,buy,1
2012-09,94,116,sell,0
2012-10,66,151,sell,0
2012-11,97,113,sell,0
2012-12,116,101,buy,1
2013-01,95,122,sell,0
2013-02,93,103,sell,0
2013-03,125,92,buy,1
2013-04,119,91,buy,1
2013-05,126,91,buy,1
2013-06,80,130,sell,0
2013-07,142,75,buy,1
2013-08,126,91,buy,1
2013-09,109,101,buy,1
2013-10,128,89,buy,1
2013-11,128,82,buy,1
2013-12,90,127,sell,0
2014-01,99,118,sell,0
2014-02,120,76,buy,1
2014-03,113,104,buy,1
2014-04,104,106,sell,0
2014-05,130,86,buy,1
2014-06,110,100,buy,1
2014-07,121,96,buy,1
2014-08,132,85,buy,1
2014-09,123,86,buy,1
2014-10,126,91,buy,1
2014-11,119,91,buy,1
2014-12,110,107,buy,1
2015-01,93,124,sell,0
2015-02,118,78,buy,1
2015-03,93,124,sell,0
2015-04,112,98,buy,1
2015-05,122,95,buy,1
2015-06,106,104,buy,1
2015-07,101,116,sell,0
2015-08,102,115,sell,0
2015-09,100,110,sell,0
2015-10,129,88,buy,1
2015-11,101,109,sell,0
2015-12,69,147,sell,0
2016-01,89,128,sell,0
2016-02,105,97,buy,1
2016-03,152,65,buy,1
2016-04,94,116,sell,0
2016-05,129,88,buy,1
2016-06,117,93,buy,1
2016-07,130,87,buy,1
2016-08,127,90,buy,1
2016-09,113,97,buy,1
2016-10,97,120,sell,0
2016-11,111,99,buy,1
2016-12,147,70,buy,1
2017-01,148,67,buy,1
2017-02,123,73,buy,1
2017-03,133,84,buy,1
2017-04,103,107,sell,0
2017-05,124,93,buy,1
2017-06,102,108,sell,0
2017-07,135,82,buy,1
2017-08,125,92,buy,1
2017-09,72,138,sell,0
2017-10,139,78,buy,1
2017-11,101,109,sell,0
2017-12,116,101,buy,1
2018-01,113,104,buy,1
2018-02,125,71,buy,1
2018-03,103,113,sell,0
2018-04,126,84,buy,1
2018-05,137,80,buy,1
2018-06,99,111,sell,0
2018-07,143,74,buy,1
2018-08,151,66,buy,1
2018-09,106,104,buy,1
2018-10,110,107,buy,1
2018-11,88,122,sell,0
2018-12,91,126,sell,0
2019-01,108,109,sell,0
2019-02,124,72,buy,1
2019-03,127,90,buy,1
2019-04,146,64,buy,1
2019-05,110,107,buy,1
2019-06,148,62,buy,1
2019-07,143,74,buy,1
2019-08,97,120,sell,0
2019-09,122,88,buy,1
2019-10,135,82,buy,1
2019-11,122,88,buy,1
2019-12,137,80,buy,1
2020-01,142,75,buy,1
2020-02,109,94,buy,1
2020-03,140,77,buy,1
2020-04,135,75,buy,1
2020-05,146,71,buy,1
2020-06,128,82,buy,1
2020-07,143,74,buy,1
2020-08,139,78,buy,1
2020-09,118,92,buy,1
2020-10,111,106,buy,1
2020-11,122,88,buy,1
2020-12,107,110,sell,0
2021-01,116,101,buy,1
2021-02,98,98,buy,1
2021-03,126,91,buy,1
2021-04,123,87,buy,1
2021-05,120,97,buy,1
2021-06,111,99,buy,1
2021-07,111,106,buy,1
2021-08,130,87,buy,1
2021-09,121,89,buy,1
2021-10,130,87,buy,1
2021-11,124,86,buy,1
2021-12,109,108,buy,1
2022-01,105,112,sell,0
2022-02,92,104,sell,0
2022-03,112,105,buy,1
2022-04,125,85,buy,1
2022-05,128,89,buy,1
2022-06,132,78,buy,1
2022-07,109,108,buy,1
2022-08,130,87,buy,1
2022-09,114,96,buy,1
2022-10,106,111,sell,0
2022-11,104,106,sell,0
2022-12,116,101,buy,1
