YearMonth,buy,sell,Action,ActionID
2017-01,97,89,buy,1
2017-02,75,93,sell,0
2017-03,68,118,sell,0
2017-04,81,99,sell,0
2017-05,107,79,buy,1
2017-06,73,107,sell,0
2017-07,87,99,sell,0
2017-08,83,103,sell,0
2017-09,94,86,buy,1
2017-10,87,99,sell,0
2017-11,123,57,buy,1
2017-12,90,96,sell,0
2018-01,72,114,sell,0
2018-02,74,94,sell,0
2018-03,58,128,sell,0
2018-04,109,71,buy,1
2018-05,67,119,sell,0
2018-06,60,120,sell,0
2018-07,102,84,buy,1
2018-08,72,114,sell,0
2018-09,70,110,sell,0
2018-10,86,100,sell,0
2018-11,71,109,sell,0
2018-12,98,88,buy,1
2019-01,89,97,sell,0
2019-02,86,82,buy,1
2019-03,112,74,buy,1
2019-04,64,116,sell,0
2019-05,82,104,sell,0
2019-06,80,100,sell,0
2019-07,77,109,sell,0
2019-08,73,113,sell,0
2019-09,88,92,sell,0
2019-10,101,85,buy,1
2019-11,90,90,buy,1
2019-12,90,96,sell,0
2020-01,113,73,buy,1
2020-02,81,93,sell,0
2020-03,81,105,sell,0
2020-04,121,59,buy,1
2020-05,108,78,buy,1
2020-06,86,94,sell,0
2020-07,104,81,buy,1
2020-08,90,96,sell,0
2020-09,84,96,sell,0
2020-10,95,91,buy,1
2020-11,99,81,buy,1
2020-12,109,77,buy,1
2021-01,100,86,buy,1
2021-02,78,90,sell,0
2021-03,76,110,sell,0
2021-04,93,87,buy,1
2021-05,74,112,sell,0
2021-06,98,82,buy,1
