YearMonth,buy,sell,Action,ActionID
2010-01,83,103,sell,0
2010-02,77,91,sell,0
2010-03,114,72,buy,1
2010-04,106,74,buy,1
2010-05,90,96,sell,0
2010-06,87,93,sell,0
2010-07,109,77,buy,1
2010-08,98,88,buy,1
2010-09,129,51,buy,1
2010-10,102,84,buy,1
2010-11,105,75,buy,1
2010-12,101,85,buy,1
2011-01,86,100,sell,0
2011-02,115,53,buy,1
2011-03,111,75,buy,1
2011-04,94,86,buy,1
2011-05,122,64,buy,1
2011-06,108,72,buy,1
2011-07,88,98,sell,0
2011-08,86,100,sell,0
2011-09,102,78,buy,1
2011-10,120,66,buy,1
2011-11,75,105,sell,0
2011-12,83,103,sell,0
2012-01,115,71,buy,1
2012-02,104,70,buy,1
2012-03,138,48,buy,1
2012-04,100,80,buy,1
2012-05,106,80,buy,1
2012-06,116,64,buy,1
2012-07,85,101,sell,0
2012-08,122,64,buy,1
2012-09,88,92,sell,0
2012-10,88,98,sell,0
2012-11,125,55,buy,1
2012-12,115,71,buy,1
2013-01,107,79,buy,1
2013-02,101,67,buy,1
2013-03,109,77,buy,1
2013-04,105,75,buy,1
2013-05,136,50,buy,1
2013-06,106,74,buy,1
2013-07,96,90,buy,1
2013-08,83,103,sell,0
2013-09,102,78,buy,1
2013-10,134,52,buy,1
2013-11,111,69,buy,1
2013-12,100,86,buy,1
2014-01,108,78,buy,1
2014-02,84,84,buy,1
2014-03,79,107,sell,0
2014-04,68,112,sell,0
2014-05,109,77,buy,1
2014-06,107,73,buy,1
2014-07,131,55,buy,1
2014-08,118,65,buy,1
2014-09,94,86,buy,1
2014-10,107,79,buy,1
2014-11,111,69,buy,1
2014-12,93,93,buy,1
2015-01,88,98,sell,0
2015-02,111,57,buy,1
2015-03,113,73,buy,1
2015-04,96,84,buy,1
2015-05,102,84,buy,1
2015-06,107,73,buy,1
2015-07,97,89,buy,1
2015-08,110,76,buy,1
2015-09,83,97,sell,0
2015-10,122,64,buy,1
2015-11,100,80,buy,1
2015-12,96,90,buy,1
2016-01,96,90,buy,1
2016-02,80,94,sell,0
2016-03,95,91,buy,1
2016-04,91,89,buy,1
2016-05,118,68,buy,1
2016-06,106,74,buy,1
2016-07,113,73,buy,1
2016-08,95,91,buy,1
2016-09,108,72,buy,1
2016-10,81,105,sell,0
2016-11,85,95,sell,0
2016-12,84,102,sell,0
2017-01,118,68,buy,1
2017-02,109,59,buy,1
2017-03,101,85,buy,1
2017-04,98,82,buy,1
2017-05,113,73,buy,1
2017-06,77,103,sell,0
2017-07,118,68,buy,1
2017-08,99,87,buy,1
2017-09,88,92,sell,0
2017-10,111,75,buy,1
2017-11,112,68,buy,1
2017-12,101,85,buy,1
2018-01,123,63,buy,1
2018-02,86,82,buy,1
2018-03,95,91,buy,1
2018-04,78,102,sell,0
2018-05,114,72,buy,1
2018-06,108,72,buy,1
2018-07,90,96,sell,0
2018-08,135,51,buy,1
2018-09,88,92,sell,0
2018-10,73,113,sell,0
2018-11,102,78,buy,1
2018-12,85,101,sell,0
2019-01,129,57,buy,1
2019-02,89,79,buy,1
2019-03,122,64,buy,1
2019-04,80,100,sell,0
2019-05,89,97,sell,0
2019-06,109,71,buy,1
2019-07,109,77,buy,1
2019-08,89,97,sell,0
2019-09,97,83,buy,1
2019-10,101,85,buy,1
2019-11,84,96,sell,0
2019-12,107,79,buy,1
2020-01,89,97,sell,0
2020-02,108,66,buy,1
2020-03,104,82,buy,1
2020-04,116,64,buy,1
2020-05,108,78,buy,1
2020-06,136,43,buy,1
2020-07,93,93,buy,1
2020-08,91,95,sell,0
2020-09,104,76,buy,1
2020-10,103,83,buy,1
2020-11,104,76,buy,1
2020-12,103,83,buy,1
2021-01,91,95,sell,0
2021-02,104,64,buy,1
2021-03,113,73,buy,1
2021-04,105,75,buy,1
2021-05,96,90,buy,1
2021-06,94,86,buy,1
2021-07,108,78,buy,1
2021-08,112,74,buy,1
2021-09,93,87,buy,1
2021-10,116,70,buy,1
2021-11,96,84,buy,1
2021-12,92,93,sell,0
2022-01,102,84,buy,1
2022-02,89,79,buy,1
2022-03,100,86,buy,1
2022-04,94,86,buy,1
2022-05,94,92,buy,1
2022-06,104,76,buy,1
2022-07,102,84,buy,1
2022-08,119,67,buy,1
2022-09,96,84,buy,1
2022-10,102,84,buy,1
2022-11,99,81,buy,1
2022-12,101,85,buy,1
