YearWeek,buy,sell,Action,ActionID
2010-01,24,18,buy,1
2010-02,7,35,sell,0
2010-03,12,30,sell,0
2010-04,24,18,buy,1
2010-05,7,35,sell,0
2010-06,15,27,sell,0
2010-07,31,11,buy,1
2010-08,26,16,buy,1
2010-09,36,6,buy,1
2010-10,28,14,buy,1
2010-11,19,23,sell,0
2010-12,20,22,sell,0
2010-13,16,26,sell,0
2010-14,28,14,buy,1
2010-15,21,21,buy,1
2010-16,27,15,buy,1
2010-17,15,27,sell,0
2010-18,12,30,sell,0
2010-19,30,12,buy,1
2010-20,18,24,sell,0
2010-21,18,24,sell,0
2010-22,21,21,buy,1
2010-23,20,22,sell,0
2010-24,25,17,buy,1
2010-25,18,24,sell,0
2010-26,27,15,buy,1
2010-27,31,11,buy,1
2010-28,27,15,buy,1
2010-29,23,19,buy,1
2010-30,19,23,sell,0
2010-31,33,9,buy,1
2010-32,26,16,buy,1
2010-33,22,20,buy,1
2010-34,16,26,sell,0
2010-35,34,8,buy,1
2010-36,31,11,buy,1
2010-37,27,15,buy,1
2010-38,32,10,buy,1
2010-39,15,27,sell,0
2010-40,21,21,buy,1
2010-41,31,11,buy,1
2010-42,20,22,sell,0
2010-43,18,24,sell,0
2010-44,36,6,buy,1
2010-45,23,19,buy,1
2010-46,31,11,buy,1
2010-47,21,21,buy,1
2010-48,13,29,sell,0
2010-49,13,29,sell,0
2010-50,30,12,buy,1
2010-51,27,15,buy,1
2010-52,14,16,sell,0
2010-53,6,12,sell,0
2011-01,23,19,buy,1
2011-02,20,22,sell,0
2011-03,16,26,sell,0
2011-04,13,29,sell,0
2011-05,36,6,buy,1
2011-06,40,2,buy,1
2011-07,27,15,buy,1
2011-08,19,23,sell,0
2011-09,19,23,sell,0
2011-10,20,22,sell,0
2011-11,27,15,buy,1
2011-12,31,11,buy,1
2011-13,21,21,buy,1
2011-14,19,23,sell,0
2011-15,17,25,sell,0
2011-16,20,22,sell,0
2011-17,31,11,buy,1
2011-18,29,13,buy,1
2011-19,30,12,buy,1
2011-20,32,10,buy,1
2011-21,19,23,sell,0
2011-22,23,19,buy,1
2011-23,24,18,buy,1
2011-24,28,14,buy,1
2011-25,29,13,buy,1
2011-26,33,9,buy,1
2011-27,30,12,buy,1
2011-28,11,31,sell,0
2011-29,20,22,sell,0
2011-30,14,28,sell,0
2011-31,3,39,sell,0
2011-32,19,23,sell,0
2011-33,16,26,sell,0
2011-34,28,14,buy,1
2011-35,21,21,buy,1
2011-36,25,17,buy,1
2011-37,35,7,buy,1
2011-38,27,15,buy,1
2011-39,15,27,sell,0
2011-40,27,15,buy,1
2011-41,38,4,buy,1
2011-42,9,33,sell,0
2011-43,23,19,buy,1
2011-44,22,20,buy,1
2011-45,23,19,buy,1
2011-46,13,29,sell,0
2011-47,16,26,sell,0
2011-48,22,20,buy,1
2011-49,14,28,sell,0
2011-50,9,33,sell,0
2011-51,14,28,sell,0
2011-52,24,24,buy,1
2012-01,36,12,buy,1
2012-02,19,23,sell,0
2012-03,35,7,buy,1
2012-04,28,14,buy,1
2012-05,18,24,sell,0
2012-06,21,21,buy,1
2012-07,25,17,buy,1
2012-08,15,27,sell,0
2012-09,32,10,buy,1
2012-10,36,6,buy,1
2012-11,33,9,buy,1
2012-12,38,4,buy,1
2012-13,28,14,buy,1
2012-14,32,10,buy,1
2012-15,15,27,sell,0
2012-16,24,18,buy,1
2012-17,28,14,buy,1
2012-18,29,13,buy,1
2012-19,33,9,buy,1
2012-20,21,21,buy,1
2012-21,14,28,sell,0
2012-22,32,10,buy,1
2012-23,33,9,buy,1
2012-24,27,15,buy,1
2012-25,17,25,sell,0
2012-26,25,17,buy,1
2012-27,18,24,sell,0
2012-28,15,27,sell,0
2012-29,19,23,sell,0
2012-30,18,24,sell,0
2012-31,25,17,buy,1
2012-32,31,11,buy,1
2012-33,35,7,buy,1
2012-34,32,10,buy,1
2012-35,18,24,sell,0
2012-36,25,17,buy,1
2012-37,32,10,buy,1
2012-38,19,23,sell,0
2012-39,14,28,sell,0
2012-40,19,23,sell,0
2012-41,17,25,sell,0
2012-42,13,29,sell,0
2012-43,19,23,sell,0
2012-44,19,23,sell,0
2012-45,28,14,buy,1
2012-46,27,15,buy,1
2012-47,33,9,buy,1
2012-48,35,7,buy,1
2012-49,34,8,buy,1
2012-50,25,17,buy,1
2012-51,24,18,buy,1
2012-52,18,30,sell,0
2013-01,34,14,buy,1
2013-02,19,23,sell,0
2013-03,28,14,buy,1
2013-04,26,16,buy,1
2013-05,10,32,sell,0
2013-06,19,23,sell,0
2013-07,26,16,buy,1
2013-08,30,12,buy,1
2013-09,22,20,buy,1
2013-10,16,26,sell,0
2013-11,21,21,buy,1
2013-12,20,22,sell,0
2013-13,29,13,buy,1
2013-14,15,27,sell,0
2013-15,35,7,buy,1
2013-16,27,15,buy,1
2013-17,26,16,buy,1
2013-18,19,23,sell,0
2013-19,33,9,buy,1
2013-20,30,12,buy,1
2013-21,30,12,buy,1
2013-22,32,10,buy,1
2013-23,25,17,buy,1
2013-24,32,10,buy,1
2013-25,26,16,buy,1
2013-26,21,21,buy,1
2013-27,30,12,buy,1
2013-28,29,13,buy,1
2013-29,21,21,buy,1
2013-30,18,24,sell,0
2013-31,8,34,sell,0
2013-32,20,22,sell,0
2013-33,16,26,sell,0
2013-34,23,19,buy,1
2013-35,17,25,sell,0
2013-36,30,12,buy,1
2013-37,27,15,buy,1
2013-38,25,17,buy,1
2013-39,21,21,buy,1
2013-40,24,18,buy,1
2013-41,24,18,buy,1
2013-42,31,11,buy,1
2013-43,31,11,buy,1
2013-44,31,11,buy,1
2013-45,20,22,sell,0
2013-46,31,11,buy,1
2013-47,20,22,sell,0
2013-48,34,8,buy,1
2013-49,16,26,sell,0
2013-50,22,20,buy,1
2013-51,33,9,buy,1
2013-52,14,28,sell,0
2014-01,28,20,buy,1
2014-02,21,21,buy,1
2014-03,24,18,buy,1
2014-04,26,16,buy,1
2014-05,16,26,sell,0
2014-06,9,33,sell,0
2014-07,23,19,buy,1
2014-08,19,23,sell,0
2014-09,37,5,buy,1
2014-10,27,15,buy,1
2014-11,12,30,sell,0
2014-12,14,28,sell,0
2014-13,15,27,sell,0
2014-14,8,34,sell,0
2014-15,15,27,sell,0
2014-16,17,25,sell,0
2014-17,27,15,buy,1
2014-18,16,26,sell,0
2014-19,21,21,buy,1
2014-20,27,15,buy,1
2014-21,39,3,buy,1
2014-22,19,23,sell,0
2014-23,31,11,buy,1
2014-24,18,24,sell,0
2014-25,27,15,buy,1
2014-26,18,24,sell,0
2014-27,30,12,buy,1
2014-28,30,12,buy,1
2014-29,29,13,buy,1
2014-30,34,8,buy,1
2014-31,13,29,sell,0
2014-32,30,12,buy,1
2014-33,34,5,buy,1
2014-34,24,18,buy,1
2014-35,27,15,buy,1
2014-36,23,19,buy,1
2014-37,10,32,sell,0
2014-38,22,20,buy,1
2014-39,23,19,buy,1
2014-40,24,18,buy,1
2014-41,23,19,buy,1
2014-42,24,18,buy,1
2014-43,38,4,buy,1
2014-44,30,12,buy,1
2014-45,19,23,sell,0
2014-46,31,11,buy,1
2014-47,20,22,sell,0
2014-48,25,17,buy,1
2014-49,12,30,sell,0
2014-50,22,20,buy,1
2014-51,19,23,sell,0
2014-52,23,19,buy,1
2015-01,7,17,sell,0
2015-02,17,25,sell,0
2015-03,15,27,sell,0
2015-04,32,10,buy,1
2015-05,27,15,buy,1
2015-06,34,8,buy,1
2015-07,35,7,buy,1
2015-08,28,14,buy,1
2015-09,24,18,buy,1
2015-10,23,19,buy,1
2015-11,20,22,sell,0
2015-12,33,9,buy,1
2015-13,23,19,buy,1
2015-14,28,14,buy,1
2015-15,20,22,sell,0
2015-16,29,13,buy,1
2015-17,26,16,buy,1
2015-18,14,28,sell,0
2015-19,24,18,buy,1
2015-20,14,28,sell,0
2015-21,19,23,sell,0
2015-22,22,20,buy,1
2015-23,21,21,buy,1
2015-24,28,14,buy,1
2015-25,18,24,sell,0
2015-26,28,14,buy,1
2015-27,21,21,buy,1
2015-28,17,25,sell,0
2015-29,35,7,buy,1
2015-30,13,29,sell,0
2015-31,19,23,sell,0
2015-32,13,29,sell,0
2015-33,33,9,buy,1
2015-34,21,21,buy,1
2015-35,33,9,buy,1
2015-36,21,21,buy,1
2015-37,23,19,buy,1
2015-38,32,10,buy,1
2015-39,13,29,sell,0
2015-40,22,20,buy,1
2015-41,18,24,sell,0
2015-42,36,6,buy,1
2015-43,25,17,buy,1
2015-44,35,7,buy,1
2015-45,23,19,buy,1
2015-46,14,28,sell,0
2015-47,25,17,buy,1
2015-48,21,21,buy,1
2015-49,21,21,buy,1
2015-50,13,29,sell,0
2015-51,25,17,buy,1
2015-52,23,19,buy,1
2015-53,18,6,buy,1
2016-01,20,22,sell,0
2016-02,23,19,buy,1
2016-03,23,19,buy,1
2016-04,26,16,buy,1
2016-05,4,38,sell,0
2016-06,23,19,buy,1
2016-07,18,24,sell,0
2016-08,22,20,buy,1
2016-09,19,23,sell,0
2016-10,12,30,sell,0
2016-11,23,19,buy,1
2016-12,30,12,buy,1
2016-13,22,20,buy,1
2016-14,19,23,sell,0
2016-15,34,8,buy,1
2016-16,15,27,sell,0
2016-17,20,22,sell,0
2016-18,27,15,buy,1
2016-19,30,12,buy,1
2016-20,28,14,buy,1
2016-21,33,9,buy,1
2016-22,32,10,buy,1
2016-23,23,19,buy,1
2016-24,22,20,buy,1
2016-25,34,8,buy,1
2016-26,28,14,buy,1
2016-27,32,10,buy,1
2016-28,17,25,sell,0
2016-29,28,14,buy,1
2016-30,17,25,sell,0
2016-31,17,25,sell,0
2016-32,27,15,buy,1
2016-33,19,23,sell,0
2016-34,21,21,buy,1
2016-35,23,19,buy,1
2016-36,21,21,buy,1
2016-37,24,18,buy,1
2016-38,27,15,buy,1
2016-39,27,15,buy,1
2016-40,22,20,buy,1
2016-41,16,26,sell,0
2016-42,23,19,buy,1
2016-43,27,15,buy,1
2016-44,9,33,sell,0
2016-45,31,11,buy,1
2016-46,26,16,buy,1
2016-47,18,24,sell,0
2016-48,18,24,sell,0
2016-49,20,22,sell,0
2016-50,16,26,sell,0
2016-51,18,24,sell,0
2016-52,22,14,buy,1
2016-53,6,12,sell,0
2017-01,26,16,buy,1
2017-02,32,10,buy,1
2017-03,17,25,sell,0
2017-04,28,14,buy,1
2017-05,25,17,buy,1
2017-06,27,15,buy,1
2017-07,33,9,buy,1
2017-08,22,20,buy,1
2017-09,19,23,sell,0
2017-10,26,16,buy,1
2017-11,19,23,sell,0
2017-12,22,20,buy,1
2017-13,34,8,buy,1
2017-14,21,21,buy,1
2017-15,17,25,sell,0
2017-16,23,19,buy,1
2017-17,25,17,buy,1
2017-18,20,22,sell,0
2017-19,37,5,buy,1
2017-20,35,7,buy,1
2017-21,25,17,buy,1
2017-22,19,23,sell,0
2017-23,12,30,sell,0
2017-24,5,37,sell,0
2017-25,13,29,sell,0
2017-26,11,31,sell,0
2017-27,32,10,buy,1
2017-28,25,17,buy,1
2017-29,21,21,buy,1
2017-30,26,16,buy,1
2017-31,22,20,buy,1
2017-32,27,15,buy,1
2017-33,17,25,sell,0
2017-34,18,24,sell,0
2017-35,32,10,buy,1
2017-36,17,25,sell,0
2017-37,32,10,buy,1
2017-38,10,32,sell,0
2017-39,30,12,buy,1
2017-40,28,14,buy,1
2017-41,24,18,buy,1
2017-42,19,23,sell,0
2017-43,25,17,buy,1
2017-44,25,17,buy,1
2017-45,32,10,buy,1
2017-46,26,16,buy,1
2017-47,27,15,buy,1
2017-48,13,29,sell,0
2017-49,28,14,buy,1
2017-50,26,16,buy,1
2017-51,19,23,sell,0
2017-52,31,17,buy,1
2018-01,38,10,buy,1
2018-02,39,3,buy,1
2018-03,20,22,sell,0
2018-04,22,20,buy,1
2018-05,22,20,buy,1
2018-06,12,30,sell,0
2018-07,26,16,buy,1
2018-08,31,11,buy,1
2018-09,29,13,buy,1
2018-10,30,12,buy,1
2018-11,12,30,sell,0
2018-12,12,30,sell,0
2018-13,15,27,sell,0
2018-14,21,21,buy,1
2018-15,16,26,sell,0
2018-16,31,11,buy,1
2018-17,17,25,sell,0
2018-18,25,17,buy,1
2018-19,19,23,sell,0
2018-20,23,19,buy,1
2018-21,28,14,buy,1
2018-22,33,9,buy,1
2018-23,21,21,buy,1
2018-24,26,16,buy,1
2018-25,20,22,sell,0
2018-26,25,17,buy,1
2018-27,23,19,buy,1
2018-28,36,6,buy,1
2018-29,18,24,sell,0
2018-30,7,35,sell,0
2018-31,19,23,sell,0
2018-32,33,9,buy,1
2018-33,19,23,sell,0
2018-34,31,11,buy,1
2018-35,31,11,buy,1
2018-36,19,23,sell,0
2018-37,13,29,sell,0
2018-38,7,35,sell,0
2018-39,31,11,buy,1
2018-40,10,32,sell,0
2018-41,13,29,sell,0
2018-42,15,27,sell,0
2018-43,26,16,buy,1
2018-44,28,14,buy,1
2018-45,16,26,sell,0
2018-46,18,24,sell,0
2018-47,30,12,buy,1
2018-48,36,6,buy,1
2018-49,21,21,buy,1
2018-50,21,21,buy,1
2018-51,12,30,sell,0
2018-52,32,10,buy,1
2019-01,32,16,buy,1
2019-02,37,5,buy,1
2019-03,31,11,buy,1
2019-04,15,27,sell,0
2019-05,33,9,buy,1
2019-06,18,24,sell,0
2019-07,16,26,sell,0
2019-08,28,14,buy,1
2019-09,37,5,buy,1
2019-10,28,14,buy,1
2019-11,32,10,buy,1
2019-12,29,13,buy,1
2019-13,16,26,sell,0
2019-14,27,15,buy,1
2019-15,18,24,sell,0
2019-16,18,24,sell,0
2019-17,21,21,buy,1
2019-18,13,29,sell,0
2019-19,20,22,sell,0
2019-20,22,20,buy,1
2019-21,18,24,sell,0
2019-22,20,22,sell,0
2019-23,23,19,buy,1
2019-24,37,5,buy,1
2019-25,23,19,buy,1
2019-26,16,26,sell,0
2019-27,34,8,buy,1
2019-28,29,13,buy,1
2019-29,22,20,buy,1
2019-30,25,17,buy,1
2019-31,8,34,sell,0
2019-32,22,20,buy,1
2019-33,23,19,buy,1
2019-34,14,28,sell,0
2019-35,20,22,sell,0
2019-36,29,13,buy,1
2019-37,30,12,buy,1
2019-38,22,20,buy,1
2019-39,15,27,sell,0
2019-40,13,29,sell,0
2019-41,23,19,buy,1
2019-42,25,17,buy,1
2019-43,31,11,buy,1
2019-44,34,8,buy,1
2019-45,20,22,sell,0
2019-46,14,28,sell,0
2019-47,14,28,sell,0
2019-48,28,14,buy,1
2019-49,28,14,buy,1
2019-50,26,16,buy,1
2019-51,20,22,sell,0
2019-52,24,18,buy,1
2020-01,27,3,buy,1
2020-02,18,24,sell,0
2020-03,15,27,sell,0
2020-04,12,30,sell,0
2020-05,27,15,buy,1
2020-06,30,12,buy,1
2020-07,30,12,buy,1
2020-08,21,21,buy,1
2020-09,28,14,buy,1
2020-10,33,9,buy,1
