YearWeek,buy,sell,Action,ActionID
2010-01,18,17,buy,1
2010-02,18,17,buy,1
2010-03,19,16,buy,1
2010-04,19,16,buy,1
2010-05,19,16,buy,1
2010-06,13,22,sell,0
2010-07,13,22,sell,0
2010-08,15,20,sell,0
2010-09,21,14,buy,1
2010-10,12,23,sell,0
2010-11,17,18,sell,0
2010-12,15,20,sell,0
2010-13,21,14,buy,1
2010-14,10,25,sell,0
2010-15,11,24,sell,0
2010-16,16,19,sell,0
2010-17,16,19,sell,0
2010-18,17,18,sell,0
2010-19,14,21,sell,0
2010-20,15,20,sell,0
2010-21,17,18,sell,0
2010-22,23,12,buy,1
2010-23,21,14,buy,1
2010-24,15,20,sell,0
2010-25,9,26,sell,0
2010-26,20,15,buy,1
2010-27,21,14,buy,1
2010-28,18,17,buy,1
2010-29,16,19,sell,0
2010-30,21,14,buy,1
2010-31,21,14,buy,1
2010-32,12,23,sell,0
2010-33,16,19,sell,0
2010-34,11,24,sell,0
2010-35,15,20,sell,0
2010-36,18,17,buy,1
2010-37,20,15,buy,1
2010-38,25,10,buy,1
2010-39,18,17,buy,1
2010-40,19,16,buy,1
2010-41,19,16,buy,1
2010-42,19,16,buy,1
2010-43,14,21,sell,0
2010-44,22,13,buy,1
2010-45,21,14,buy,1
2010-46,18,17,buy,1
2010-47,14,21,sell,0
2010-48,21,14,buy,1
2010-49,24,11,buy,1
2010-50,19,16,buy,1
2010-51,17,18,sell,0
2010-52,9,16,sell,0
2010-53,10,5,buy,1
2011-01,12,23,sell,0
2011-02,20,15,buy,1
2011-03,21,14,buy,1
2011-04,15,20,sell,0
2011-05,14,21,sell,0
2011-06,13,22,sell,0
2011-07,20,15,buy,1
2011-08,22,13,buy,1
2011-09,20,15,buy,1
2011-10,22,13,buy,1
2011-11,15,20,sell,0
2011-12,20,15,buy,1
2011-13,19,16,buy,1
2011-14,18,17,buy,1
2011-15,15,20,sell,0
2011-16,20,15,buy,1
2011-17,14,21,sell,0
2011-18,19,16,buy,1
2011-19,19,16,buy,1
2011-20,22,13,buy,1
2011-21,20,15,buy,1
2011-22,16,19,sell,0
2011-23,22,13,buy,1
2011-24,17,18,sell,0
2011-25,23,12,buy,1
2011-26,14,21,sell,0
2011-27,12,23,sell,0
2011-28,21,14,buy,1
2011-29,16,19,sell,0
2011-30,17,18,sell,0
2011-31,9,26,sell,0
2011-32,16,19,sell,0
2011-33,20,15,buy,1
2011-34,15,20,sell,0
2011-35,10,25,sell,0
2011-36,13,22,sell,0
2011-37,18,17,buy,1
2011-38,14,21,sell,0
2011-39,11,24,sell,0
2011-40,15,20,sell,0
2011-41,25,10,buy,1
2011-42,11,24,sell,0
2011-43,15,20,sell,0
2011-44,19,16,buy,1
2011-45,17,18,sell,0
2011-46,12,23,sell,0
2011-47,21,14,buy,1
2011-48,11,24,sell,0
2011-49,14,21,sell,0
2011-50,12,23,sell,0
2011-51,17,18,sell,0
2011-52,23,17,buy,1
2012-01,18,22,sell,0
2012-02,18,17,buy,1
2012-03,16,19,sell,0
2012-04,16,19,sell,0
2012-05,23,12,buy,1
2012-06,20,15,buy,1
2012-07,18,17,buy,1
2012-08,21,14,buy,1
2012-09,17,18,sell,0
2012-10,25,10,buy,1
2012-11,18,17,buy,1
2012-12,20,15,buy,1
2012-13,18,17,buy,1
2012-14,11,24,sell,0
2012-15,10,25,sell,0
2012-16,14,21,sell,0
2012-17,12,23,sell,0
2012-18,21,14,buy,1
2012-19,17,18,sell,0
2012-20,22,13,buy,1
2012-21,21,14,buy,1
2012-22,13,22,sell,0
2012-23,12,23,sell,0
2012-24,18,17,buy,1
2012-25,19,16,buy,1
2012-26,20,15,buy,1
2012-27,17,18,sell,0
2012-28,18,17,buy,1
2012-29,19,16,buy,1
2012-30,23,12,buy,1
2012-31,17,18,sell,0
2012-32,19,16,buy,1
2012-33,20,15,buy,1
2012-34,17,18,sell,0
2012-35,20,15,buy,1
2012-36,24,11,buy,1
2012-37,15,20,sell,0
2012-38,18,17,buy,1
2012-39,17,18,sell,0
2012-40,18,17,buy,1
2012-41,29,6,buy,1
2012-42,22,13,buy,1
2012-43,16,19,sell,0
2012-44,14,21,sell,0
2012-45,20,15,buy,1
2012-46,17,18,sell,0
2012-47,17,18,sell,0
2012-48,18,17,buy,1
2012-49,20,15,buy,1
2012-50,13,22,sell,0
2012-51,16,19,sell,0
2012-52,17,23,sell,0
2013-01,22,18,buy,1
2013-02,19,16,buy,1
2013-03,18,17,buy,1
2013-04,20,15,buy,1
2013-05,15,20,sell,0
2013-06,15,20,sell,0
2013-07,18,17,buy,1
2013-08,12,23,sell,0
2013-09,14,21,sell,0
2013-10,17,18,sell,0
