YearMonth,buy,sell,Action,ActionID
2017-01,31,31,buy,1
2017-02,28,28,buy,1
2017-03,32,30,buy,1
2017-04,29,31,sell,0
2017-05,26,36,sell,0
2017-06,35,25,buy,1
2017-07,28,34,sell,0
2017-08,35,27,buy,1
2017-09,24,36,sell,0
2017-10,31,31,buy,1
2017-11,28,32,sell,0
2017-12,35,27,buy,1
2018-01,31,31,buy,1
2018-02,26,30,sell,0
2018-03,18,44,sell,0
2018-04,33,27,buy,1
2018-05,29,33,sell,0
2018-06,30,30,buy,1
2018-07,34,28,buy,1
2018-08,32,30,buy,1
2018-09,30,30,buy,1
2018-10,38,24,buy,1
2018-11,20,40,sell,0
2018-12,43,19,buy,1
2019-01,32,30,buy,1
2019-02,35,21,buy,1
2019-03,36,26,buy,1
2019-04,34,26,buy,1
2019-05,31,31,buy,1
2019-06,30,30,buy,1
2019-07,26,36,sell,0
2019-08,23,39,sell,0
2019-09,25,35,sell,0
2019-10,34,28,buy,1
2019-11,33,27,buy,1
2019-12,25,37,sell,0
2020-01,36,26,buy,1
2020-02,35,23,buy,1
2020-03,31,31,buy,1
2020-04,36,24,buy,1
2020-05,34,28,buy,1
2020-06,31,29,buy,1
2020-07,29,33,sell,0
2020-08,36,26,buy,1
2020-09,31,29,buy,1
2020-10,27,35,sell,0
2020-11,22,38,sell,0
2020-12,37,25,buy,1
2021-01,26,36,sell,0
2021-02,28,28,buy,1
2021-03,32,30,buy,1
2021-04,27,33,sell,0
2021-05,31,31,buy,1
2021-06,26,34,sell,0
