YearWeek,buy,sell,Action,ActionID
2017-01,19,22,sell,0
2017-02,10,32,sell,0
2017-03,20,22,sell,0
2017-04,25,17,buy,1
2017-05,24,18,buy,1
2017-06,25,17,buy,1
2017-07,27,15,buy,1
2017-08,31,11,buy,1
2017-09,22,20,buy,1
2017-10,14,28,sell,0
2017-11,20,22,sell,0
2017-12,15,27,sell,0
2017-13,17,25,sell,0
2017-14,20,21,sell,0
2017-15,22,20,buy,1
2017-16,18,24,sell,0
2017-17,22,20,buy,1
2017-18,19,23,sell,0
2017-19,23,19,buy,1
2017-20,19,23,sell,0
2017-21,16,26,sell,0
2017-22,19,23,sell,0
2017-23,27,15,buy,1
2017-24,23,19,buy,1
2017-25,16,25,sell,0
2017-26,19,22,sell,0
2017-27,14,28,sell,0
2017-28,17,25,sell,0
2017-29,27,15,buy,1
2017-30,22,20,buy,1
2017-31,24,18,buy,1
2017-32,36,5,buy,1
2017-33,28,14,buy,1
2017-34,15,26,sell,0
2017-35,17,25,sell,0
2017-36,12,29,sell,0
2017-37,26,16,buy,1
2017-38,15,27,sell,0
2017-39,26,16,buy,1
2017-40,7,35,sell,0
2017-41,25,17,buy,1
2017-42,4,38,sell,0
2017-43,19,23,sell,0
2017-44,31,11,buy,1
2017-45,19,23,sell,0
2017-46,20,22,sell,0
2017-47,24,18,buy,1
2017-48,29,13,buy,1
2017-49,23,19,buy,1
2017-50,38,4,buy,1
2017-51,22,20,buy,1
2017-52,19,29,sell,0
2018-01,32,16,buy,1
2018-02,26,16,buy,1
2018-03,21,21,buy,1
2018-04,13,29,sell,0
2018-05,5,37,sell,0
2018-06,19,23,sell,0
2018-07,29,13,buy,1
2018-08,11,31,sell,0
2018-09,22,20,buy,1
2018-10,4,38,sell,0
2018-11,20,22,sell,0
2018-12,32,9,buy,1
2018-13,21,21,buy,1
2018-14,22,20,buy,1
2018-15,24,18,buy,1
2018-16,16,26,sell,0
2018-17,25,17,buy,1
2018-18,20,22,sell,0
2018-19,12,29,sell,0
2018-20,23,19,buy,1
2018-21,13,29,sell,0
2018-22,29,13,buy,1
2018-23,17,24,sell,0
2018-24,23,19,buy,1
2018-25,11,31,sell,0
2018-26,20,22,sell,0
2018-27,16,26,sell,0
2018-28,8,33,sell,0
2018-29,20,22,sell,0
2018-30,33,8,buy,1
2018-31,14,28,sell,0
2018-32,5,37,sell,0
2018-33,20,21,sell,0
2018-34,26,15,buy,1
2018-35,27,15,buy,1
2018-36,6,35,sell,0
2018-37,25,17,buy,1
2018-38,23,19,buy,1
2018-39,23,19,buy,1
2018-40,28,13,buy,1
2018-41,20,22,sell,0
2018-42,20,21,sell,0
2018-43,23,19,buy,1
2018-44,29,13,buy,1
2018-45,19,23,sell,0
2018-46,4,37,sell,0
2018-47,3,38,sell,0
2018-48,26,16,buy,1
2018-49,22,20,buy,1
2018-50,27,15,buy,1
2018-51,32,10,buy,1
2018-52,21,21,buy,1
2019-01,27,21,buy,1
2019-02,22,19,buy,1
2019-03,29,13,buy,1
2019-04,24,18,buy,1
2019-05,25,17,buy,1
2019-06,35,7,buy,1
2019-07,22,20,buy,1
2019-08,23,19,buy,1
2019-09,30,12,buy,1
2019-10,30,11,buy,1
2019-11,25,17,buy,1
2019-12,25,17,buy,1
2019-13,28,14,buy,1
2019-14,31,11,buy,1
2019-15,16,26,sell,0
2019-16,27,15,buy,1
2019-17,18,24,sell,0
2019-18,14,28,sell,0
2019-19,14,28,sell,0
2019-20,31,11,buy,1
2019-21,27,15,buy,1
2019-22,18,24,sell,0
2019-23,22,20,buy,1
2019-24,27,15,buy,1
2019-25,27,14,buy,1
2019-26,7,35,sell,0
2019-27,18,24,sell,0
2019-28,9,32,sell,0
2019-29,19,23,sell,0
2019-30,8,34,sell,0
2019-31,14,28,sell,0
2019-32,33,9,buy,1
2019-33,21,21,buy,1
2019-34,7,35,sell,0
2019-35,12,30,sell,0
2019-36,30,12,buy,1
2019-37,10,32,sell,0
2019-38,13,29,sell,0
2019-39,4,38,sell,0
2019-40,20,21,sell,0
2019-41,27,15,buy,1
2019-42,22,20,buy,1
2019-43,27,15,buy,1
2019-44,26,16,buy,1
2019-45,22,20,buy,1
2019-46,31,11,buy,1
2019-47,5,37,sell,0
2019-48,23,19,buy,1
2019-49,30,12,buy,1
2019-50,15,27,sell,0
2019-51,17,25,sell,0
2019-52,25,16,buy,1
2020-01,13,17,sell,0
2020-02,29,13,buy,1
2020-03,31,11,buy,1
2020-04,17,25,sell,0
2020-05,31,11,buy,1
2020-06,34,8,buy,1
2020-07,17,25,sell,0
2020-08,14,28,sell,0
2020-09,11,31,sell,0
2020-10,29,13,buy,1
2020-11,14,28,sell,0
2020-12,18,24,sell,0
2020-13,19,23,sell,0
2020-14,37,5,buy,1
2020-15,20,22,sell,0
2020-16,27,14,buy,1
2020-17,24,18,buy,1
2020-18,25,17,buy,1
2020-19,17,25,sell,0
2020-20,26,16,buy,1
2020-21,20,22,sell,0
2020-22,20,22,sell,0
2020-23,25,17,buy,1
2020-24,12,30,sell,0
2020-25,16,26,sell,0
2020-26,16,25,sell,0
2020-27,18,23,sell,0
2020-28,32,10,buy,1
2020-29,21,21,buy,1
2020-30,30,12,buy,1
2020-31,14,27,sell,0
2020-32,20,22,sell,0
2020-33,20,22,sell,0
2020-34,24,18,buy,1
2020-35,22,20,buy,1
2020-36,14,28,sell,0
2020-37,16,26,sell,0
2020-38,21,21,buy,1
2020-39,20,22,sell,0
2020-40,18,24,sell,0
2020-41,9,33,sell,0
2020-42,23,19,buy,1
2020-43,19,23,sell,0
2020-44,14,27,sell,0
2020-45,18,24,sell,0
2020-46,25,17,buy,1
2020-47,19,23,sell,0
2020-48,22,20,buy,1
2020-49,30,12,buy,1
2020-50,19,23,sell,0
2020-51,25,17,buy,1
2020-52,19,22,sell,0
2020-53,19,5,buy,1
2021-01,19,22,sell,0
2021-02,21,20,buy,1
2021-03,19,23,sell,0
2021-04,18,24,sell,0
2021-05,23,19,buy,1
2021-06,29,12,buy,1
2021-07,18,23,sell,0
2021-08,17,25,sell,0
2021-09,22,20,buy,1
2021-10,30,11,buy,1
2021-11,18,24,sell,0
2021-12,21,21,buy,1
2021-13,23,19,buy,1
2021-14,31,11,buy,1
2021-15,10,32,sell,0
2021-16,11,31,sell,0
2021-17,26,16,buy,1
2021-18,24,18,buy,1
2021-19,12,30,sell,0
2021-20,19,23,sell,0
2021-21,19,23,sell,0
2021-22,31,11,buy,1
2021-23,16,25,sell,0
2021-24,27,15,buy,1
2021-25,21,19,buy,1
2021-26,8,9,sell,0
2021-53,7,11,sell,0
