YearWeek,buy,sell,Action,ActionID
2010-01,26,9,buy,1
2010-02,13,22,sell,0
2010-03,25,10,buy,1
2010-04,24,11,buy,1
2010-05,27,8,buy,1
2010-06,24,11,buy,1
2010-07,24,11,buy,1
2010-08,22,13,buy,1
2010-09,28,7,buy,1
2010-10,22,13,buy,1
2010-11,23,12,buy,1
2010-12,30,5,buy,1
2010-13,25,10,buy,1
2010-14,28,7,buy,1
2010-15,30,5,buy,1
2010-16,30,5,buy,1
2010-17,18,17,buy,1
2010-18,17,18,sell,0
2010-19,22,13,buy,1
2010-20,21,14,buy,1
2010-21,22,13,buy,1
2010-22,24,11,buy,1
2010-23,26,9,buy,1
2010-24,24,11,buy,1
2010-25,14,21,sell,0
2010-26,12,23,sell,0
2010-27,18,17,buy,1
2010-28,12,23,sell,0
2010-29,31,4,buy,1
2010-30,26,9,buy,1
2010-31,32,3,buy,1
2010-32,21,14,buy,1
2010-33,16,19,sell,0
2010-34,7,28,sell,0
2010-35,25,10,buy,1
2010-36,23,12,buy,1
2010-37,18,17,buy,1
2010-38,30,5,buy,1
2010-39,11,24,sell,0
2010-40,20,15,buy,1
2010-41,20,15,buy,1
2010-42,16,19,sell,0
2010-43,19,16,buy,1
2010-44,24,11,buy,1
2010-45,18,17,buy,1
2010-46,20,15,buy,1
2010-47,20,15,buy,1
2010-48,24,11,buy,1
2010-49,19,16,buy,1
2010-50,20,15,buy,1
2010-51,16,19,sell,0
2010-52,12,13,sell,0
2010-53,8,7,buy,1
2011-01,17,18,sell,0
2011-02,14,21,sell,0
2011-03,21,14,buy,1
2011-04,17,18,sell,0
2011-05,31,4,buy,1
2011-06,25,10,buy,1
2011-07,21,14,buy,1
2011-08,13,22,sell,0
2011-09,20,15,buy,1
2011-10,24,11,buy,1
2011-11,18,17,buy,1
2011-12,28,7,buy,1
2011-13,29,6,buy,1
2011-14,12,23,sell,0
2011-15,10,25,sell,0
2011-16,21,14,buy,1
2011-17,18,17,buy,1
2011-18,8,27,sell,0
2011-19,15,20,sell,0
2011-20,17,18,sell,0
2011-21,26,9,buy,1
2011-22,15,20,sell,0
2011-23,16,19,sell,0
