YearMonth,buy,sell,Action,ActionID
2010-01,104,108,sell,0
2010-02,101,94,buy,1
2010-03,91,122,sell,0
2010-04,107,99,buy,1
2010-05,100,111,sell,0
2010-06,87,120,sell,0
2010-07,120,92,buy,1
2010-08,94,121,sell,0
2010-09,107,99,buy,1
2010-10,99,115,sell,0
2010-11,97,107,sell,0
2010-12,103,110,sell,0
2011-01,95,121,sell,0
2011-02,94,101,sell,0
2011-03,91,124,sell,0
2011-04,88,121,sell,0
2011-05,91,117,sell,0
2011-06,106,101,buy,1
2011-07,91,123,sell,0
2011-08,111,105,buy,1
2011-09,94,116,sell,0
2011-10,105,109,sell,0
2011-11,82,127,sell,0
2011-12,83,129,sell,0
2012-01,112,98,buy,1
2012-02,97,102,sell,0
2012-03,96,115,sell,0
2012-04,83,127,sell,0
2012-05,125,92,buy,1
2012-06,97,113,sell,0
2012-07,118,94,buy,1
2012-08,94,122,sell,0
2012-09,101,109,sell,0
2012-10,110,106,buy,1
2012-11,95,114,sell,0
2012-12,103,111,sell,0
2013-01,104,110,sell,0
2013-02,82,107,sell,0
2013-03,90,117,sell,0
2013-04,81,125,sell,0
2013-05,93,117,sell,0
2013-06,89,116,sell,0
2013-07,95,119,sell,0
2013-08,100,112,sell,0
2013-09,99,108,sell,0
2013-10,88,126,sell,0
2013-11,114,94,buy,1
2013-12,105,111,sell,0
2014-01,110,106,buy,1
2014-02,98,94,buy,1
2014-03,113,103,buy,1
2014-04,107,103,buy,1
2014-05,108,107,buy,1
2014-06,103,105,sell,0
2014-07,97,118,sell,0
2014-08,107,108,sell,0
2014-09,84,126,sell,0
2014-10,81,135,sell,0
2014-11,91,117,sell,0
2014-12,96,119,sell,0
2015-01,106,108,sell,0
2015-02,105,89,buy,1
2015-03,115,100,buy,1
2015-04,70,136,sell,0
2015-05,100,116,sell,0
2015-06,99,110,sell,0
2015-07,118,98,buy,1
2015-08,78,134,sell,0
2015-09,94,112,sell,0
2015-10,99,114,sell,0
2015-11,93,116,sell,0
2015-12,125,89,buy,1
2016-01,108,106,buy,1
2016-02,98,102,sell,0
2016-03,130,82,buy,1
2016-04,101,106,sell,0
2016-05,116,93,buy,1
2016-06,88,117,sell,0
2016-07,125,89,buy,1
2016-08,120,91,buy,1
2016-09,100,105,sell,0
2016-10,79,135,sell,0
2016-11,98,109,sell,0
2016-12,125,89,buy,1
2017-01,140,73,buy,1
2017-02,124,71,buy,1
2017-03,105,111,sell,0
2017-04,97,113,sell,0
2017-05,120,94,buy,1
2017-06,117,92,buy,1
2017-07,105,110,sell,0
2017-08,141,74,buy,1
2017-09,99,107,sell,0
2017-10,88,128,sell,0
2017-11,143,65,buy,1
2017-12,113,104,buy,1
2018-01,84,133,sell,0
2018-02,98,97,buy,1
2018-03,67,148,sell,0
2018-04,122,86,buy,1
2018-05,64,152,sell,0
2018-06,79,129,sell,0
2018-07,109,104,buy,1
2018-08,79,137,sell,0
2018-09,94,116,sell,0
2018-10,79,136,sell,0
2018-11,74,136,sell,0
2018-12,103,111,sell,0
2019-01,88,124,sell,0
2019-02,116,79,buy,1
2019-03,131,81,buy,1
2019-04,110,98,buy,1
2019-05,121,94,buy,1
2019-06,121,84,buy,1
2019-07,82,135,sell,0
2019-08,79,135,sell,0
2019-09,105,100,buy,1
2019-10,111,102,buy,1
2019-11,84,123,sell,0
2019-12,77,132,sell,0
2020-01,129,85,buy,1
2020-02,81,116,sell,0
2020-03,87,128,sell,0
2020-04,122,87,buy,1
2020-05,96,117,sell,0
2020-06,89,115,sell,0
2020-07,125,85,buy,1
2020-08,121,96,buy,1
2020-09,94,113,sell,0
2020-10,98,111,sell,0
2020-11,87,115,sell,0
2020-12,99,116,sell,0
2021-01,97,119,sell,0
2021-02,84,110,sell,0
2021-03,115,97,buy,1
2021-04,112,92,buy,1
2021-05,102,115,sell,0
2021-06,103,105,sell,0
2021-07,108,107,buy,1
2021-08,126,87,buy,1
2021-09,91,118,sell,0
2021-10,101,113,sell,0
2021-11,90,117,sell,0
2021-12,98,117,sell,0
2022-01,99,118,sell,0
2022-02,95,97,sell,0
2022-03,95,120,sell,0
2022-04,102,105,sell,0
2022-05,102,110,sell,0
2022-06,92,113,sell,0
2022-07,97,117,sell,0
2022-08,96,117,sell,0
2022-09,110,95,buy,1
2022-10,107,107,buy,1
2022-11,105,101,buy,1
2022-12,100,115,sell,0
