YearWeek,buy,sell,Action
2017-01,20,8,buy
2017-02,15,15,neutral
2017-03,30,4,buy
2017-04,17,11,buy
2017-05,22,6,buy
2017-06,8,26,sell
2017-07,24,6,buy
2017-08,21,14,buy
2017-09,20,9,buy
2017-10,26,9,buy
2017-11,21,9,buy
2017-12,5,26,sell
2017-13,3,32,sell
2017-14,16,14,buy
2017-15,19,16,buy
2017-16,8,24,sell
2017-17,25,3,buy
2017-18,21,7,buy
2017-19,8,20,sell
2017-20,21,7,buy
2017-21,15,18,sell
2017-22,27,8,buy
2017-23,21,10,buy
2017-24,12,16,sell
2017-25,20,15,buy
2017-26,21,14,buy
2017-27,22,9,buy
2017-28,4,24,sell
2017-29,30,4,buy
2017-30,13,22,sell
2017-31,27,6,buy
2017-32,20,8,buy
2017-33,19,9,buy
2017-34,15,13,buy
2017-35,17,11,buy
2017-36,8,20,sell
2017-37,12,16,sell
2017-38,28,6,buy
2017-39,14,21,sell
2017-40,13,19,sell
2017-41,19,9,buy
2017-42,4,24,sell
2017-43,16,12,buy
2017-44,11,17,sell
2017-45,26,2,buy
2017-46,20,8,buy
2017-47,28,7,buy
2017-48,26,9,buy
2017-49,14,17,sell
2017-50,22,6,buy
2017-51,24,10,buy
2017-52,15,24,sell
2018-01,25,11,buy
2018-02,9,19,sell
2018-03,14,19,sell
2018-04,10,25,sell
2018-05,8,23,sell
2018-06,17,11,buy
2018-07,22,6,buy
2018-08,3,25,sell
2018-09,16,12,buy
2018-10,7,24,sell
2018-11,2,33,sell
2018-12,11,20,sell
2018-13,4,29,sell
2018-14,11,24,sell
2018-15,22,6,buy
2018-16,24,8,buy
2018-17,20,14,buy
2018-18,10,19,sell
2018-19,5,30,sell
2018-20,14,15,sell
2018-21,0,35,sell
2018-22,17,12,buy
2018-23,1,27,sell
2018-24,9,21,sell
2018-25,7,27,sell
2018-26,10,18,sell
2018-27,16,12,buy
2018-28,13,19,sell
2018-29,20,12,buy
2018-30,6,26,sell
2018-31,2,31,sell
2018-32,3,27,sell
2018-33,25,10,buy
2018-34,11,18,sell
2018-35,17,13,buy
2018-36,20,15,buy
2018-37,14,17,sell
2018-38,14,19,sell
2018-39,4,31,sell
2018-40,8,21,sell
2018-41,9,19,sell
2018-42,13,15,sell
2018-43,9,19,sell
2018-44,22,6,buy
2018-45,16,17,sell
2018-46,3,32,sell
2018-47,1,30,sell
2018-48,9,19,sell
2018-49,13,21,sell
2018-50,15,20,sell
2018-51,28,3,buy
2018-52,11,17,sell
2019-01,27,13,buy
2019-02,13,22,sell
2019-03,12,19,sell
2019-04,19,9,buy
2019-05,4,24,sell
2019-06,23,5,buy
2019-07,19,9,buy
2019-08,14,14,neutral
2019-09,14,18,sell
2019-10,21,14,buy
2019-11,23,10,buy
2019-12,18,10,buy
2019-13,23,5,buy
2019-14,27,1,buy
2019-15,7,21,sell
2019-16,12,16,sell
2019-17,10,19,sell
2019-18,28,7,buy
2019-19,19,16,buy
2019-20,24,5,buy
2019-21,16,13,buy
2019-22,17,18,sell
2019-23,18,17,buy
2019-24,21,8,buy
2019-25,25,4,buy
2019-26,11,24,sell
2019-27,14,21,sell
2019-28,8,20,sell
2019-29,9,19,sell
2019-30,7,21,sell
2019-31,13,15,sell
2019-32,10,20,sell
2019-33,5,30,sell
2019-34,8,23,sell
2019-35,4,30,sell
2019-36,24,9,buy
2019-37,13,15,sell
2019-38,19,16,buy
2019-39,10,21,sell
2019-40,15,19,sell
2019-41,15,16,sell
2019-42,9,25,sell
2019-43,13,17,sell
2019-44,15,13,buy
2019-45,16,14,buy
2019-46,8,25,sell
2019-47,3,25,sell
2019-48,14,14,neutral
2019-49,11,23,sell
2019-50,9,20,sell
