YearMonth,buy,sell,Action,ActionID
2010-01,88,97,sell,0
2010-02,65,100,sell,0
2010-03,87,99,sell,0
2010-04,83,95,sell,0
2010-05,76,101,sell,0
2010-06,78,102,sell,0
2010-07,86,97,sell,0
2010-08,111,71,buy,1
2010-09,80,99,sell,0
2010-10,101,81,buy,1
2010-11,88,92,sell,0
2010-12,82,103,sell,0
2011-01,85,101,sell,0
2011-02,73,95,sell,0
2011-03,89,96,sell,0
2011-04,78,101,sell,0
2011-05,85,101,sell,0
2011-06,83,96,sell,0
2011-07,65,115,sell,0
2011-08,90,96,sell,0
2011-09,80,99,sell,0
2011-10,87,98,sell,0
2011-11,102,78,buy,1
2011-12,90,89,buy,1
2012-01,92,93,sell,0
2012-02,88,86,buy,1
2012-03,85,101,sell,0
2012-04,73,105,sell,0
2012-05,75,111,sell,0
2012-06,86,94,sell,0
2012-07,71,115,sell,0
2012-08,89,95,sell,0
2012-09,82,96,sell,0
2012-10,92,94,sell,0
2012-11,85,95,sell,0
2012-12,83,101,sell,0
2013-01,100,86,buy,1
2013-02,87,81,buy,1
2013-03,91,92,sell,0
2013-04,105,75,buy,1
2013-05,94,91,buy,1
2013-06,84,96,sell,0
2013-07,90,93,sell,0
2013-08,89,95,sell,0
2013-09,75,102,sell,0
2013-10,90,96,sell,0
2013-11,96,83,buy,1
2013-12,72,107,sell,0
2014-01,79,104,sell,0
2014-02,78,90,sell,0
2014-03,91,95,sell,0
2014-04,77,101,sell,0
2014-05,79,106,sell,0
2014-06,85,95,sell,0
2014-07,99,87,buy,1
2014-08,86,100,sell,0
2014-09,92,84,buy,1
2014-10,94,91,buy,1
2014-11,88,90,sell,0
2014-12,94,91,buy,1
2015-01,89,97,sell,0
2015-02,65,98,sell,0
2015-03,99,86,buy,1
2015-04,89,91,sell,0
2015-05,81,105,sell,0
2015-06,102,78,buy,1
2015-07,73,113,sell,0
2015-08,87,98,sell,0
2015-09,90,90,buy,1
2015-10,83,103,sell,0
2015-11,104,76,buy,1
2015-12,87,99,sell,0
2016-01,90,96,sell,0
2016-02,67,102,sell,0
2016-03,84,101,sell,0
2016-04,92,84,buy,1
2016-05,82,104,sell,0
2016-06,88,90,sell,0
2016-07,78,104,sell,0
2016-08,76,110,sell,0
2016-09,74,104,sell,0
2016-10,76,110,sell,0
2016-11,86,92,sell,0
2016-12,90,95,sell,0
2017-01,97,88,buy,1
2017-02,76,90,sell,0
2017-03,78,105,sell,0
2017-04,79,99,sell,0
2017-05,99,86,buy,1
2017-06,97,83,buy,1
2017-07,75,111,sell,0
2017-08,81,103,sell,0
2017-09,83,97,sell,0
2017-10,71,114,sell,0
2017-11,108,71,buy,1
2017-12,107,79,buy,1
2018-01,97,87,buy,1
2018-02,71,97,sell,0
2018-03,55,131,sell,0
2018-04,101,79,buy,1
2018-05,77,104,sell,0
2018-06,76,101,sell,0
2018-07,95,88,buy,1
2018-08,84,100,sell,0
2018-09,76,104,sell,0
2018-10,83,101,sell,0
2018-11,50,130,sell,0
2018-12,85,101,sell,0
2019-01,93,93,buy,1
2019-02,101,67,buy,1
2019-03,103,83,buy,1
2019-04,92,86,buy,1
2019-05,100,84,buy,1
2019-06,75,104,sell,0
2019-07,79,107,sell,0
2019-08,75,111,sell,0
2019-09,92,88,buy,1
2019-10,102,82,buy,1
2019-11,87,90,sell,0
2019-12,94,92,buy,1
2020-01,91,94,sell,0
2020-02,87,78,buy,1
2020-03,92,94,sell,0
2020-04,96,84,buy,1
2020-05,101,83,buy,1
2020-06,87,92,sell,0
2020-07,108,77,buy,1
2020-08,95,91,buy,1
2020-09,85,95,sell,0
2020-10,90,95,sell,0
2020-11,86,94,sell,0
2020-12,75,111,sell,0
2021-01,102,84,buy,1
2021-02,81,87,sell,0
2021-03,95,90,buy,1
2021-04,89,91,sell,0
2021-05,93,93,buy,1
2021-06,77,101,sell,0
2021-07,82,104,sell,0
2021-08,99,82,buy,1
2021-09,89,89,buy,1
2021-10,101,85,buy,1
2021-11,79,101,sell,0
2021-12,96,90,buy,1
2022-01,80,105,sell,0
2022-02,60,108,sell,0
2022-03,103,83,buy,1
2022-04,89,91,sell,0
2022-05,108,78,buy,1
2022-06,75,104,sell,0
2022-07,103,83,buy,1
2022-08,79,107,sell,0
2022-09,73,107,sell,0
2022-10,89,97,sell,0
2022-11,87,93,sell,0
2022-12,85,101,sell,0
