YearMonth,buy,sell,Action,ActionID
2010-01,104,82,buy,1
2010-02,75,93,sell,0
2010-03,86,100,sell,0
2010-04,76,102,sell,0
2010-05,73,112,sell,0
2010-06,71,109,sell,0
2010-07,99,87,buy,1
2010-08,78,106,sell,0
2010-09,89,91,sell,0
2010-10,95,91,buy,1
2010-11,97,83,buy,1
2010-12,83,103,sell,0
2011-01,81,105,sell,0
2011-02,77,91,sell,0
2011-03,90,94,sell,0
2011-04,93,87,buy,1
2011-05,74,112,sell,0
2011-06,94,85,buy,1
2011-07,94,89,buy,1
2011-08,91,95,sell,0
2011-09,82,96,sell,0
2011-10,82,102,sell,0
2011-11,91,89,buy,1
2011-12,78,107,sell,0
2012-01,88,98,sell,0
2012-02,75,99,sell,0
2012-03,95,91,buy,1
2012-04,79,101,sell,0
2012-05,79,107,sell,0
2012-06,90,90,buy,1
2012-07,85,97,sell,0
2012-08,100,86,buy,1
2012-09,97,83,buy,1
2012-10,100,86,buy,1
2012-11,91,89,buy,1
2012-12,80,106,sell,0
2013-01,92,94,sell,0
2013-02,84,84,buy,1
2013-03,89,95,sell,0
2013-04,101,79,buy,1
2013-05,84,100,sell,0
2013-06,69,111,sell,0
2013-07,83,102,sell,0
2013-08,93,93,buy,1
2013-09,67,113,sell,0
2013-10,82,104,sell,0
2013-11,97,83,buy,1
2013-12,84,97,sell,0
2014-01,81,102,sell,0
2014-02,59,109,sell,0
2014-03,87,99,sell,0
2014-04,77,102,sell,0
2014-05,78,106,sell,0
2014-06,74,104,sell,0
2014-07,96,90,buy,1
2014-08,79,106,sell,0
2014-09,99,81,buy,1
2014-10,103,82,buy,1
2014-11,94,85,buy,1
2014-12,96,88,buy,1
2015-01,96,86,buy,1
2015-02,84,81,buy,1
2015-03,98,86,buy,1
2015-04,87,93,sell,0
2015-05,72,114,sell,0
2015-06,92,88,buy,1
2015-07,90,96,sell,0
2015-08,95,91,buy,1
2015-09,73,107,sell,0
2015-10,79,107,sell,0
2015-11,94,86,buy,1
2015-12,90,95,sell,0
2016-01,101,84,buy,1
2016-02,70,103,sell,0
2016-03,97,88,buy,1
2016-04,88,92,sell,0
2016-05,101,85,buy,1
2016-06,82,98,sell,0
2016-07,73,112,sell,0
2016-08,67,116,sell,0
2016-09,81,99,sell,0
2016-10,68,118,sell,0
2016-11,78,101,sell,0
2016-12,100,86,buy,1
2017-01,95,90,buy,1
2017-02,79,89,sell,0
2017-03,97,87,buy,1
2017-04,100,79,buy,1
2017-05,99,87,buy,1
2017-06,70,110,sell,0
2017-07,50,136,sell,0
2017-08,98,88,buy,1
2017-09,92,88,buy,1
2017-10,80,106,sell,0
2017-11,129,50,buy,1
2017-12,119,67,buy,1
2018-01,117,68,buy,1
2018-02,78,90,sell,0
2018-03,55,129,sell,0
2018-04,111,68,buy,1
2018-05,79,107,sell,0
2018-06,94,86,buy,1
2018-07,90,96,sell,0
2018-08,75,111,sell,0
2018-09,86,94,sell,0
2018-10,79,106,sell,0
2018-11,68,112,sell,0
2018-12,99,87,buy,1
2019-01,91,95,sell,0
2019-02,101,67,buy,1
2019-03,117,69,buy,1
2019-04,73,107,sell,0
2019-05,106,80,buy,1
2019-06,79,100,sell,0
2019-07,79,106,sell,0
2019-08,82,103,sell,0
2019-09,68,112,sell,0
2019-10,97,89,buy,1
2019-11,96,83,buy,1
2019-12,94,92,buy,1
2020-01,104,82,buy,1
2020-02,76,96,sell,0
2020-03,93,93,buy,1
2020-04,118,61,buy,1
2020-05,91,94,sell,0
2020-06,58,121,sell,0
2020-07,86,100,sell,0
2020-08,85,101,sell,0
2020-09,70,110,sell,0
2020-10,77,109,sell,0
2020-11,68,112,sell,0
2020-12,102,84,buy,1
2021-01,77,107,sell,0
2021-02,85,82,buy,1
2021-03,96,90,buy,1
2021-04,96,84,buy,1
2021-05,99,87,buy,1
2021-06,81,92,sell,0
2021-07,72,113,sell,0
2021-08,85,101,sell,0
2021-09,81,99,sell,0
2021-10,99,87,buy,1
2021-11,96,84,buy,1
2021-12,93,93,buy,1
2022-01,94,91,buy,1
2022-02,77,91,sell,0
2022-03,107,79,buy,1
2022-04,78,102,sell,0
2022-05,88,98,sell,0
2022-06,85,95,sell,0
2022-07,73,113,sell,0
2022-08,95,91,buy,1
2022-09,86,94,sell,0
2022-10,94,92,buy,1
2022-11,91,89,buy,1
2022-12,88,98,sell,0
