YearMonth,buy,sell,Action,ActionID
2010-01,64,122,sell,0
2010-02,67,101,sell,0
2010-03,80,106,sell,0
2010-04,74,106,sell,0
2010-05,80,104,sell,0
2010-06,90,90,buy,1
2010-07,108,78,buy,1
2010-08,112,71,buy,1
2010-09,127,53,buy,1
2010-10,105,81,buy,1
2010-11,78,102,sell,0
2010-12,124,62,buy,1
2011-01,91,95,sell,0
2011-02,64,104,sell,0
2011-03,98,88,buy,1
2011-04,87,93,sell,0
2011-05,91,95,sell,0
2011-06,88,92,sell,0
2011-07,72,114,sell,0
2011-08,82,104,sell,0
2011-09,71,109,sell,0
2011-10,80,106,sell,0
2011-11,82,98,sell,0
2011-12,99,85,buy,1
2012-01,85,101,sell,0
2012-02,90,84,buy,1
2012-03,64,122,sell,0
2012-04,77,103,sell,0
2012-05,55,131,sell,0
2012-06,82,98,sell,0
2012-07,70,114,sell,0
2012-08,102,84,buy,1
2012-09,92,88,buy,1
2012-10,97,89,buy,1
2012-11,62,118,sell,0
2012-12,101,85,buy,1
2013-01,103,83,buy,1
2013-02,85,83,buy,1
2013-03,85,101,sell,0
2013-04,104,76,buy,1
2013-05,79,107,sell,0
2013-06,75,105,sell,0
2013-07,84,102,sell,0
2013-08,59,127,sell,0
2013-09,87,93,sell,0
2013-10,95,91,buy,1
2013-11,89,91,sell,0
2013-12,88,95,sell,0
2014-01,92,94,sell,0
2014-02,103,65,buy,1
2014-03,104,82,buy,1
2014-04,91,87,buy,1
2014-05,63,123,sell,0
2014-06,84,96,sell,0
2014-07,65,121,sell,0
2014-08,75,111,sell,0
2014-09,79,101,sell,0
2014-10,70,115,sell,0
2014-11,74,106,sell,0
2014-12,84,102,sell,0
2015-01,76,110,sell,0
2015-02,90,78,buy,1
2015-03,95,91,buy,1
2015-04,100,80,buy,1
2015-05,75,111,sell,0
2015-06,94,86,buy,1
2015-07,92,94,sell,0
2015-08,88,98,sell,0
2015-09,68,112,sell,0
2015-10,122,64,buy,1
2015-11,65,115,sell,0
2015-12,104,82,buy,1
2016-01,98,88,buy,1
2016-02,64,110,sell,0
2016-03,89,96,sell,0
2016-04,91,89,buy,1
2016-05,78,108,sell,0
2016-06,82,98,sell,0
2016-07,98,88,buy,1
2016-08,87,99,sell,0
2016-09,96,83,buy,1
2016-10,78,108,sell,0
2016-11,84,96,sell,0
2016-12,103,83,buy,1
2017-01,93,93,buy,1
2017-02,68,100,sell,0
2017-03,78,108,sell,0
2017-04,77,103,sell,0
2017-05,97,89,buy,1
2017-06,88,92,sell,0
2017-07,86,100,sell,0
2017-08,82,104,sell,0
2017-09,103,77,buy,1
2017-10,87,99,sell,0
2017-11,103,77,buy,1
2017-12,78,108,sell,0
2018-01,108,78,buy,1
2018-02,64,104,sell,0
2018-03,86,100,sell,0
2018-04,54,126,sell,0
2018-05,59,127,sell,0
2018-06,80,100,sell,0
2018-07,67,119,sell,0
2018-08,69,117,sell,0
2018-09,96,82,buy,1
2018-10,87,99,sell,0
2018-11,94,86,buy,1
2018-12,106,80,buy,1
2019-01,84,102,sell,0
2019-02,67,101,sell,0
2019-03,69,117,sell,0
2019-04,91,89,buy,1
2019-05,70,116,sell,0
2019-06,83,97,sell,0
2019-07,71,115,sell,0
2019-08,67,119,sell,0
2019-09,86,94,sell,0
2019-10,85,101,sell,0
2019-11,75,105,sell,0
2019-12,100,86,buy,1
2020-01,70,116,sell,0
2020-02,69,105,sell,0
2020-03,92,94,sell,0
2020-04,66,114,sell,0
2020-05,91,95,sell,0
2020-06,93,84,buy,1
2020-07,107,79,buy,1
2020-08,91,95,sell,0
2020-09,80,100,sell,0
2020-10,85,101,sell,0
2020-11,70,110,sell,0
2020-12,98,88,buy,1
2021-01,90,94,sell,0
2021-02,70,98,sell,0
2021-03,86,100,sell,0
2021-04,91,89,buy,1
2021-05,95,91,buy,1
2021-06,90,88,buy,1
2021-07,89,97,sell,0
2021-08,80,106,sell,0
2021-09,79,101,sell,0
2021-10,80,106,sell,0
2021-11,86,94,sell,0
2021-12,83,103,sell,0
2022-01,74,112,sell,0
2022-02,76,92,sell,0
2022-03,86,100,sell,0
2022-04,87,93,sell,0
2022-05,103,83,buy,1
2022-06,94,86,buy,1
2022-07,79,107,sell,0
2022-08,78,108,sell,0
2022-09,72,108,sell,0
2022-10,76,110,sell,0
2022-11,88,92,sell,0
2022-12,81,105,sell,0
