YearWeek,buy,sell,Action,ActionID
2010-01,22,20,buy,1
2010-02,19,23,sell,0
2010-03,9,33,sell,0
2010-04,7,35,sell,0
2010-05,24,18,buy,1
2010-06,16,26,sell,0
2010-07,22,20,buy,1
2010-08,19,23,sell,0
2010-09,10,32,sell,0
2010-10,29,13,buy,1
2010-11,14,28,sell,0
2010-12,21,21,buy,1
2010-13,23,19,buy,1
2010-14,20,22,sell,0
2010-15,10,32,sell,0
2010-16,17,25,sell,0
2010-17,24,18,buy,1
2010-18,15,27,sell,0
2010-19,14,26,sell,0
2010-20,20,22,sell,0
2010-21,20,22,sell,0
2010-22,16,22,sell,0
2010-23,29,13,buy,1
2010-24,31,11,buy,1
2010-25,17,25,sell,0
2010-26,23,19,buy,1
2010-27,15,27,sell,0
2010-28,28,14,buy,1
2010-29,14,28,sell,0
2010-30,29,13,buy,1
2010-31,32,10,buy,1
2010-32,21,20,buy,1
2010-33,15,27,sell,0
2010-34,29,13,buy,1
2010-35,29,11,buy,1
2010-36,21,21,buy,1
2010-37,38,4,buy,1
2010-38,31,11,buy,1
2010-39,31,11,buy,1
2010-40,24,18,buy,1
2010-41,27,15,buy,1
2010-42,26,16,buy,1
2010-43,26,16,buy,1
2010-44,24,18,buy,1
2010-45,15,27,sell,0
2010-46,27,15,buy,1
2010-47,6,36,sell,0
2010-48,24,15,buy,1
2010-49,24,18,buy,1
2010-50,36,6,buy,1
2010-51,20,22,sell,0
2010-52,28,2,buy,1
2010-53,8,10,sell,0
2011-01,8,34,sell,0
2011-02,33,9,buy,1
2011-03,28,14,buy,1
2011-04,11,31,sell,0
2011-05,14,28,sell,0
2011-06,12,30,sell,0
2011-07,18,24,sell,0
2011-08,18,24,sell,0
2011-09,35,6,buy,1
2011-10,14,28,sell,0
2011-11,21,21,buy,1
2011-12,17,25,sell,0
2011-13,26,16,buy,1
2011-14,25,17,buy,1
2011-15,13,29,sell,0
2011-16,31,11,buy,1
2011-17,17,25,sell,0
2011-18,16,26,sell,0
2011-19,20,22,sell,0
2011-20,19,23,sell,0
2011-21,25,17,buy,1
2011-22,31,11,buy,1
2011-23,12,30,sell,0
2011-24,26,16,buy,1
2011-25,16,26,sell,0
2011-26,30,12,buy,1
2011-27,6,36,sell,0
2011-28,9,33,sell,0
2011-29,24,18,buy,1
2011-30,13,29,sell,0
2011-31,13,29,sell,0
2011-32,19,23,sell,0
2011-33,32,10,buy,1
2011-34,24,18,buy,1
2011-35,8,34,sell,0
2011-36,17,25,sell,0
2011-37,14,28,sell,0
2011-38,18,24,sell,0
2011-39,21,21,buy,1
2011-40,16,26,sell,0
2011-41,26,16,buy,1
2011-42,20,20,buy,1
2011-43,20,22,sell,0
2011-44,15,27,sell,0
2011-45,21,21,buy,1
2011-46,15,27,sell,0
2011-47,17,25,sell,0
2011-48,41,1,buy,1
2011-49,13,29,sell,0
2011-50,17,23,sell,0
2011-51,29,13,buy,1
2011-52,22,26,sell,0
2012-01,21,27,sell,0
2012-02,18,24,sell,0
2012-03,30,12,buy,1
2012-04,18,24,sell,0
2012-05,11,31,sell,0
2012-06,25,17,buy,1
2012-07,24,18,buy,1
2012-08,31,11,buy,1
2012-09,15,27,sell,0
2012-10,24,18,buy,1
2012-11,15,27,sell,0
2012-12,19,23,sell,0
2012-13,9,33,sell,0
2012-14,14,28,sell,0
2012-15,17,25,sell,0
2012-16,17,25,sell,0
2012-17,31,11,buy,1
2012-18,15,27,sell,0
2012-19,15,27,sell,0
2012-20,2,40,sell,0
2012-21,18,24,sell,0
2012-22,22,19,buy,1
2012-23,19,23,sell,0
2012-24,22,20,buy,1
2012-25,17,25,sell,0
2012-26,9,33,sell,0
2012-27,3,39,sell,0
2012-28,16,26,sell,0
2012-29,10,28,sell,0
2012-30,24,18,buy,1
2012-31,32,10,buy,1
2012-32,5,37,sell,0
2012-33,26,16,buy,1
2012-34,25,17,buy,1
2012-35,20,22,sell,0
2012-36,40,2,buy,1
2012-37,31,11,buy,1
2012-38,17,25,sell,0
2012-39,9,33,sell,0
2012-40,30,12,buy,1
2012-41,22,20,buy,1
2012-42,19,23,sell,0
2012-43,14,28,sell,0
2012-44,14,28,sell,0
2012-45,6,36,sell,0
2012-46,13,29,sell,0
2012-47,29,13,buy,1
2012-48,22,20,buy,1
2012-49,18,24,sell,0
2012-50,33,9,buy,1
2012-51,24,18,buy,1
2012-52,25,23,buy,1
2013-01,28,20,buy,1
2013-02,20,22,sell,0
2013-03,16,26,sell,0
2013-04,34,8,buy,1
2013-05,24,18,buy,1
2013-06,14,28,sell,0
2013-07,25,17,buy,1
2013-08,24,18,buy,1
2013-09,23,19,buy,1
2013-10,18,24,sell,0
2013-11,23,19,buy,1
2013-12,32,10,buy,1
2013-13,23,19,buy,1
2013-14,29,13,buy,1
2013-15,25,17,buy,1
2013-16,26,16,buy,1
2013-17,23,19,buy,1
2013-18,28,14,buy,1
2013-19,16,26,sell,0
2013-20,16,26,sell,0
2013-21,22,19,buy,1
2013-22,18,24,sell,0
2013-23,32,10,buy,1
2013-24,24,18,buy,1
2013-25,8,33,sell,0
2013-26,12,30,sell,0
2013-27,18,24,sell,0
2013-28,13,29,sell,0
2013-29,29,13,buy,1
2013-30,28,14,buy,1
2013-31,17,25,sell,0
2013-32,14,28,sell,0
2013-33,8,34,sell,0
2013-34,16,26,sell,0
2013-35,7,35,sell,0
2013-36,15,27,sell,0
2013-37,19,22,sell,0
2013-38,22,20,buy,1
2013-39,30,12,buy,1
2013-40,29,13,buy,1
2013-41,21,21,buy,1
2013-42,32,10,buy,1
2013-43,35,7,buy,1
2013-44,7,35,sell,0
2013-45,10,32,sell,0
2013-46,27,15,buy,1
2013-47,21,21,buy,1
2013-48,22,20,buy,1
2013-49,14,28,sell,0
2013-50,20,21,sell,0
2013-51,17,22,sell,0
2013-52,32,10,buy,1
2014-01,21,27,sell,0
2014-02,23,19,buy,1
2014-03,16,26,sell,0
2014-04,30,12,buy,1
2014-05,5,37,sell,0
2014-06,31,11,buy,1
2014-07,23,19,buy,1
2014-08,26,16,buy,1
2014-09,23,19,buy,1
2014-10,32,10,buy,1
2014-11,28,14,buy,1
2014-12,17,25,sell,0
2014-13,10,32,sell,0
2014-14,16,26,sell,0
2014-15,29,13,buy,1
2014-16,18,24,sell,0
2014-17,21,19,buy,1
2014-18,23,19,buy,1
2014-19,22,20,buy,1
2014-20,14,28,sell,0
2014-21,12,30,sell,0
2014-22,26,16,buy,1
2014-23,12,30,sell,0
2014-24,25,17,buy,1
2014-25,22,19,buy,1
2014-26,28,14,buy,1
2014-27,15,27,sell,0
2014-28,25,17,buy,1
2014-29,17,25,sell,0
2014-30,16,26,sell,0
2014-31,19,23,sell,0
2014-32,21,21,buy,1
2014-33,29,13,buy,1
2014-34,9,33,sell,0
2014-35,18,24,sell,0
2014-36,20,22,sell,0
2014-37,19,23,sell,0
2014-38,22,20,buy,1
2014-39,8,34,sell,0
2014-40,6,36,sell,0
