YearWeek,buy,sell,Action,ActionID
2010-01,18,31,sell,0
2010-02,36,13,buy,1
2010-03,18,31,sell,0
2010-04,15,34,sell,0
2010-05,13,36,sell,0
2010-06,33,16,buy,1
2010-07,18,31,sell,0
2010-08,11,38,sell,0
2010-09,25,24,buy,1
2010-10,26,22,buy,1
2010-11,28,21,buy,1
2010-12,15,34,sell,0
2010-13,33,16,buy,1
2010-14,20,29,sell,0
2010-15,22,27,sell,0
2010-16,16,33,sell,0
2010-17,17,32,sell,0
2010-18,13,36,sell,0
2010-19,18,28,sell,0
2010-20,21,28,sell,0
2010-21,24,24,buy,1
2010-22,37,12,buy,1
2010-23,34,15,buy,1
2010-24,33,16,buy,1
2010-25,38,11,buy,1
2010-26,26,23,buy,1
2010-27,18,31,sell,0
2010-28,34,14,buy,1
2010-29,25,24,buy,1
2010-30,43,6,buy,1
2010-31,27,22,buy,1
2010-32,18,30,sell,0
2010-33,30,19,buy,1
2010-34,32,17,buy,1
2010-35,19,28,sell,0
2010-36,25,24,buy,1
2010-37,37,12,buy,1
2010-38,25,24,buy,1
2010-39,20,29,sell,0
2010-40,37,12,buy,1
2010-41,35,14,buy,1
2010-42,13,36,sell,0
2010-43,44,5,buy,1
2010-44,29,20,buy,1
2010-45,24,25,sell,0
2010-46,18,31,sell,0
2010-47,12,37,sell,0
2010-48,24,25,sell,0
2010-49,30,18,buy,1
2010-50,12,37,sell,0
2010-51,21,27,sell,0
2010-52,17,18,sell,0
2010-53,8,13,sell,0
2011-01,34,15,buy,1
2011-02,34,15,buy,1
2011-03,33,16,buy,1
2011-04,27,22,buy,1
2011-05,27,22,buy,1
2011-06,26,23,buy,1
2011-07,39,10,buy,1
2011-08,24,25,sell,0
2011-09,34,15,buy,1
2011-10,25,24,buy,1
2011-11,26,23,buy,1
2011-12,17,32,sell,0
2011-13,28,20,buy,1
2011-14,33,16,buy,1
2011-15,24,25,sell,0
2011-16,36,13,buy,1
2011-17,28,21,buy,1
2011-18,16,33,sell,0
2011-19,14,35,sell,0
2011-20,28,21,buy,1
2011-21,30,19,buy,1
2011-22,19,30,sell,0
2011-23,22,27,sell,0
2011-24,16,33,sell,0
2011-25,8,41,sell,0
2011-26,21,28,sell,0
2011-27,20,29,sell,0
2011-28,29,20,buy,1
2011-29,28,21,buy,1
2011-30,21,28,sell,0
2011-31,30,19,buy,1
2011-32,29,20,buy,1
2011-33,35,14,buy,1
2011-34,19,30,sell,0
2011-35,18,31,sell,0
2011-36,14,35,sell,0
2011-37,24,25,sell,0
2011-38,17,32,sell,0
2011-39,30,19,buy,1
2011-40,21,28,sell,0
2011-41,31,18,buy,1
2011-42,22,27,sell,0
2011-43,34,15,buy,1
2011-44,22,27,sell,0
2011-45,25,24,buy,1
2011-46,22,27,sell,0
2011-47,11,38,sell,0
2011-48,34,15,buy,1
2011-49,24,25,sell,0
2011-50,19,28,sell,0
2011-51,37,12,buy,1
2011-52,31,24,buy,1
2012-01,23,33,sell,0
2012-02,11,38,sell,0
2012-03,35,14,buy,1
2012-04,28,20,buy,1
2012-05,28,21,buy,1
2012-06,22,27,sell,0
2012-07,18,31,sell,0
2012-08,20,29,sell,0
2012-09,27,22,buy,1
2012-10,17,32,sell,0
2012-11,19,30,sell,0
2012-12,38,11,buy,1
2012-13,20,29,sell,0
2012-14,18,31,sell,0
2012-15,30,19,buy,1
2012-16,35,14,buy,1
2012-17,31,18,buy,1
2012-18,19,30,sell,0
2012-19,15,34,sell,0
2012-20,7,42,sell,0
2012-21,13,36,sell,0
2012-22,17,32,sell,0
2012-23,34,15,buy,1
2012-24,34,15,buy,1
2012-25,18,31,sell,0
2012-26,27,22,buy,1
2012-27,20,29,sell,0
2012-28,20,29,sell,0
2012-29,23,24,sell,0
2012-30,32,17,buy,1
2012-31,21,28,sell,0
2012-32,30,19,buy,1
2012-33,33,16,buy,1
2012-34,31,18,buy,1
2012-35,23,26,sell,0
2012-36,37,12,buy,1
2012-37,32,17,buy,1
2012-38,28,21,buy,1
2012-39,27,22,buy,1
2012-40,26,23,buy,1
2012-41,23,26,sell,0
2012-42,29,20,buy,1
2012-43,25,24,buy,1
2012-44,27,22,buy,1
2012-45,16,33,sell,0
2012-46,24,25,sell,0
2012-47,29,20,buy,1
2012-48,33,16,buy,1
2012-49,37,12,buy,1
2012-50,32,17,buy,1
2012-51,31,18,buy,1
2012-52,34,22,buy,1
2013-01,29,27,buy,1
2013-02,21,28,sell,0
2013-03,9,40,sell,0
2013-04,27,22,buy,1
2013-05,26,22,buy,1
2013-06,35,14,buy,1
2013-07,21,28,sell,0
2013-08,19,30,sell,0
2013-09,26,23,buy,1
2013-10,18,31,sell,0
2013-11,30,18,buy,1
2013-12,39,10,buy,1
2013-13,20,29,sell,0
2013-14,26,22,buy,1
2013-15,29,19,buy,1
2013-16,22,27,sell,0
2013-17,32,17,buy,1
2013-18,35,14,buy,1
2013-19,14,35,sell,0
2013-20,16,33,sell,0
2013-21,18,31,sell,0
2013-22,27,22,buy,1
2013-23,37,12,buy,1
2013-24,33,16,buy,1
2013-25,8,41,sell,0
2013-26,8,41,sell,0
2013-27,22,26,sell,0
2013-28,23,25,sell,0
2013-29,27,22,buy,1
2013-30,24,25,sell,0
2013-31,21,28,sell,0
2013-32,37,12,buy,1
2013-33,29,20,buy,1
2013-34,32,17,buy,1
2013-35,14,34,sell,0
2013-36,25,24,buy,1
2013-37,29,20,buy,1
2013-38,22,27,sell,0
2013-39,23,26,sell,0
2013-40,32,17,buy,1
2013-41,12,37,sell,0
2013-42,26,23,buy,1
2013-43,22,27,sell,0
2013-44,17,32,sell,0
2013-45,29,20,buy,1
2013-46,22,27,sell,0
2013-47,26,23,buy,1
