YearMonth,buy,sell,Action,ActionID
2010-01,73,113,sell,0
2010-02,102,65,buy,1
2010-03,103,82,buy,1
2010-04,117,63,buy,1
2010-05,100,84,buy,1
2010-06,90,87,buy,1
2010-07,91,93,sell,0
2010-08,93,87,buy,1
2010-09,103,75,buy,1
2010-10,118,67,buy,1
2010-11,98,81,buy,1
2010-12,96,90,buy,1
2011-01,98,88,buy,1
2011-02,93,75,buy,1
2011-03,103,80,buy,1
2011-04,99,80,buy,1
2011-05,120,66,buy,1
2011-06,94,86,buy,1
2011-07,103,83,buy,1
2011-08,115,71,buy,1
2011-09,90,90,buy,1
2011-10,88,96,sell,0
2011-11,89,88,buy,1
2011-12,81,100,sell,0
2012-01,111,73,buy,1
2012-02,107,67,buy,1
2012-03,117,69,buy,1
2012-04,93,87,buy,1
2012-05,86,100,sell,0
2012-06,69,110,sell,0
2012-07,85,97,sell,0
2012-08,107,79,buy,1
2012-09,80,99,sell,0
2012-10,99,87,buy,1
2012-11,95,85,buy,1
2012-12,123,63,buy,1
2013-01,110,76,buy,1
2013-02,96,68,buy,1
2013-03,110,75,buy,1
2013-04,81,99,sell,0
2013-05,94,88,buy,1
2013-06,95,84,buy,1
2013-07,106,79,buy,1
2013-08,107,79,buy,1
2013-09,79,101,sell,0
2013-10,108,78,buy,1
2013-11,80,100,sell,0
2013-12,106,69,buy,1
2014-01,113,71,buy,1
2014-02,96,68,buy,1
2014-03,103,83,buy,1
2014-04,109,71,buy,1
2014-05,90,96,sell,0
2014-06,124,56,buy,1
2014-07,113,73,buy,1
2014-08,96,86,buy,1
2014-09,83,97,sell,0
2014-10,88,98,sell,0
2014-11,88,89,sell,0
2014-12,94,89,buy,1
2015-01,127,57,buy,1
2015-02,81,87,sell,0
2015-03,89,97,sell,0
2015-04,89,91,sell,0
2015-05,105,81,buy,1
2015-06,103,77,buy,1
2015-07,100,83,buy,1
2015-08,104,81,buy,1
2015-09,99,81,buy,1
2015-10,112,74,buy,1
2015-11,101,79,buy,1
2015-12,95,91,buy,1
2016-01,100,81,buy,1
2016-02,116,58,buy,1
2016-03,97,87,buy,1
2016-04,95,85,buy,1
2016-05,84,101,sell,0
2016-06,108,64,buy,1
2016-07,122,64,buy,1
2016-08,116,68,buy,1
2016-09,93,87,buy,1
2016-10,104,80,buy,1
2016-11,99,80,buy,1
2016-12,104,82,buy,1
2017-01,117,69,buy,1
2017-02,98,70,buy,1
2017-03,114,68,buy,1
2017-04,96,84,buy,1
2017-05,95,89,buy,1
2017-06,99,81,buy,1
2017-07,110,74,buy,1
2017-08,95,91,buy,1
2017-09,97,83,buy,1
2017-10,90,96,sell,0
2017-11,108,68,buy,1
2017-12,96,90,buy,1
2018-01,96,90,buy,1
2018-02,84,84,buy,1
2018-03,104,78,buy,1
2018-04,107,73,buy,1
2018-05,112,74,buy,1
2018-06,94,85,buy,1
2018-07,92,94,sell,0
2018-08,100,86,buy,1
2018-09,101,74,buy,1
2018-10,111,75,buy,1
2018-11,91,89,buy,1
2018-12,94,92,buy,1
2019-01,119,67,buy,1
2019-02,88,80,buy,1
2019-03,78,108,sell,0
2019-04,119,58,buy,1
2019-05,98,88,buy,1
2019-06,94,80,buy,1
2019-07,111,75,buy,1
2019-08,140,46,buy,1
2019-09,72,108,sell,0
2019-10,94,91,buy,1
2019-11,101,79,buy,1
2019-12,113,73,buy,1
2020-01,106,78,buy,1
2020-02,83,91,sell,0
2020-03,75,111,sell,0
2020-04,116,64,buy,1
2020-05,111,75,buy,1
2020-06,99,81,buy,1
2020-07,108,78,buy,1
2020-08,96,90,buy,1
2020-09,104,76,buy,1
2020-10,81,105,sell,0
2020-11,100,80,buy,1
2020-12,95,89,buy,1
2021-01,109,70,buy,1
2021-02,97,71,buy,1
2021-03,114,70,buy,1
2021-04,74,106,sell,0
2021-05,95,91,buy,1
2021-06,97,78,buy,1
2021-07,110,75,buy,1
2021-08,122,64,buy,1
2021-09,104,73,buy,1
2021-10,103,83,buy,1
2021-11,97,83,buy,1
2021-12,93,90,buy,1
2022-01,112,74,buy,1
2022-02,92,76,buy,1
2022-03,115,71,buy,1
2022-04,98,82,buy,1
2022-05,105,81,buy,1
2022-06,89,91,sell,0
2022-07,96,90,buy,1
2022-08,99,87,buy,1
2022-09,102,75,buy,1
2022-10,124,61,buy,1
2022-11,99,79,buy,1
2022-12,112,73,buy,1
