YearMonth,buy,sell,Action,ActionID
2017-01,32,29,buy,1
2017-02,24,32,sell,0
2017-03,28,34,sell,0
2017-04,40,20,buy,1
2017-05,37,25,buy,1
2017-06,26,34,sell,0
2017-07,23,39,sell,0
2017-08,22,40,sell,0
2017-09,28,32,sell,0
2017-10,23,38,sell,0
2017-11,26,34,sell,0
2017-12,32,30,buy,1
2018-01,38,24,buy,1
2018-02,27,29,sell,0
2018-03,22,40,sell,0
2018-04,35,25,buy,1
2018-05,25,37,sell,0
2018-06,20,40,sell,0
2018-07,31,31,buy,1
2018-08,28,34,sell,0
2018-09,23,37,sell,0
2018-10,40,22,buy,1
2018-11,30,30,buy,1
2018-12,30,32,sell,0
2019-01,31,31,buy,1
2019-02,26,30,sell,0
2019-03,33,29,buy,1
2019-04,23,37,sell,0
2019-05,40,22,buy,1
2019-06,31,28,buy,1
2019-07,22,40,sell,0
2019-08,30,32,sell,0
2019-09,25,35,sell,0
2019-10,36,26,buy,1
2019-11,28,32,sell,0
2019-12,23,39,sell,0
2020-01,37,25,buy,1
2020-02,32,26,buy,1
2020-03,39,23,buy,1
2020-04,34,26,buy,1
2020-05,34,28,buy,1
2020-06,27,33,sell,0
2020-07,37,25,buy,1
2020-08,32,30,buy,1
2020-09,22,38,sell,0
2020-10,29,33,sell,0
2020-11,28,32,sell,0
2020-12,23,39,sell,0
2021-01,35,26,buy,1
2021-02,27,29,sell,0
2021-03,27,35,sell,0
2021-04,36,24,buy,1
2021-05,21,41,sell,0
2021-06,32,28,buy,1
