YearWeek,buy,sell,Action
2017-01,25,10,buy
2017-02,20,15,buy
2017-03,19,16,buy
2017-04,24,11,buy
2017-05,15,20,sell
2017-06,18,17,buy
2017-07,20,15,buy
2017-08,17,18,sell
2017-09,16,19,sell
2017-10,20,15,buy
2017-11,13,22,sell
2017-12,16,19,sell
2017-13,20,15,buy
2017-14,20,15,buy
2017-15,14,21,sell
2017-16,15,20,sell
2017-17,15,20,sell
2017-18,21,14,buy
2017-19,17,18,sell
2017-20,20,15,buy
2017-21,15,20,sell
2017-22,19,16,buy
2017-23,20,15,buy
2017-24,16,19,sell
2017-25,15,20,sell
2017-26,15,20,sell
2017-27,23,12,buy
2017-28,13,22,sell
2017-29,16,19,sell
2017-30,16,19,sell
2017-31,28,7,buy
2017-32,15,20,sell
2017-33,13,22,sell
2017-34,19,16,buy
2017-35,14,21,sell
2017-36,9,26,sell
2017-37,19,16,buy
2017-38,8,27,sell
2017-39,26,9,buy
2017-40,22,13,buy
2017-41,19,16,buy
2017-42,9,26,sell
2017-43,7,28,sell
2017-44,15,20,sell
2017-45,11,24,sell
2017-46,11,24,sell
2017-47,19,16,buy
2017-48,14,21,sell
2017-49,18,17,buy
2017-50,28,7,buy
2017-51,22,13,buy
2017-52,14,26,sell
2018-01,29,11,buy
2018-02,15,20,sell
2018-03,19,16,buy
2018-04,11,24,sell
2018-05,4,31,sell
2018-06,20,15,buy
2018-07,30,5,buy
2018-08,16,19,sell
2018-09,11,24,sell
2018-10,7,28,sell
2018-11,18,17,buy
2018-12,10,25,sell
2018-13,11,24,sell
2018-14,20,15,buy
2018-15,33,2,buy
2018-16,26,9,buy
2018-17,18,17,buy
2018-18,28,7,buy
2018-19,13,22,sell
2018-20,16,19,sell
2018-21,6,29,sell
2018-22,20,15,buy
2018-23,3,32,sell
2018-24,8,27,sell
2018-25,12,23,sell
2018-26,13,22,sell
2018-27,20,15,buy
2018-28,8,27,sell
2018-29,13,22,sell
2018-30,30,5,buy
2018-31,8,27,sell
2018-32,17,18,sell
2018-33,17,18,sell
2018-34,30,5,buy
2018-35,16,19,sell
2018-36,9,26,sell
2018-37,24,11,buy
2018-38,28,7,buy
2018-39,9,26,sell
2018-40,13,22,sell
2018-41,15,20,sell
2018-42,27,8,buy
2018-43,29,6,buy
2018-44,20,15,buy
2018-45,15,20,sell
2018-46,16,19,sell
2018-47,5,30,sell
2018-48,27,8,buy
2018-49,8,27,sell
2018-50,10,25,sell
2018-51,27,8,buy
2018-52,13,22,sell
2019-01,26,14,buy
2019-02,17,18,sell
2019-03,23,12,buy
2019-04,18,17,buy
2019-05,11,24,sell
2019-06,28,7,buy
2019-07,24,11,buy
2019-08,14,21,sell
2019-09,13,22,sell
2019-10,27,8,buy
