YearMonth,buy,sell,Action,ActionID
2010-01,120,97,buy,1
2010-02,112,84,buy,1
2010-03,109,108,buy,1
2010-04,97,113,sell,0
2010-05,98,117,sell,0
2010-06,97,113,sell,0
2010-07,92,125,sell,0
2010-08,105,109,sell,0
2010-09,93,117,sell,0
2010-10,106,111,sell,0
2010-11,96,114,sell,0
2010-12,100,117,sell,0
2011-01,111,106,buy,1
2011-02,108,88,buy,1
2011-03,101,115,sell,0
2011-04,84,126,sell,0
2011-05,103,114,sell,0
2011-06,108,102,buy,1
2011-07,104,113,sell,0
2011-08,99,118,sell,0
2011-09,91,119,sell,0
2011-10,106,111,sell,0
2011-11,115,95,buy,1
2011-12,109,104,buy,1
2012-01,115,102,buy,1
2012-02,102,101,buy,1
2012-03,81,136,sell,0
2012-04,101,109,sell,0
2012-05,103,114,sell,0
2012-06,93,117,sell,0
2012-07,95,120,sell,0
2012-08,111,106,buy,1
2012-09,104,106,sell,0
2012-10,119,98,buy,1
2012-11,114,96,buy,1
2012-12,111,106,buy,1
2013-01,100,117,sell,0
2013-02,87,109,sell,0
2013-03,105,112,sell,0
2013-04,112,98,buy,1
2013-05,98,118,sell,0
2013-06,112,98,buy,1
2013-07,96,121,sell,0
2013-08,100,117,sell,0
2013-09,114,96,buy,1
2013-10,92,125,sell,0
2013-11,114,96,buy,1
2013-12,106,107,sell,0
2014-01,105,112,sell,0
2014-02,90,106,sell,0
2014-03,98,119,sell,0
2014-04,108,100,buy,1
2014-05,107,110,sell,0
2014-06,112,98,buy,1
2014-07,98,119,sell,0
2014-08,110,107,buy,1
2014-09,116,94,buy,1
2014-10,88,128,sell,0
2014-11,106,104,buy,1
2014-12,88,129,sell,0
2015-01,106,111,sell,0
2015-02,107,89,buy,1
2015-03,115,102,buy,1
2015-04,82,128,sell,0
2015-05,117,100,buy,1
2015-06,150,60,buy,1
2015-07,107,110,sell,0
2015-08,77,140,sell,0
2015-09,105,105,buy,1
2015-10,116,101,buy,1
2015-11,93,116,sell,0
2015-12,103,114,sell,0
2016-01,91,126,sell,0
2016-02,103,100,buy,1
2016-03,103,113,sell,0
2016-04,117,93,buy,1
2016-05,144,73,buy,1
2016-06,82,128,sell,0
2016-07,80,137,sell,0
2016-08,102,115,sell,0
2016-09,91,118,sell,0
2016-10,121,96,buy,1
2016-11,115,95,buy,1
2016-12,109,108,buy,1
2017-01,120,97,buy,1
2017-02,79,117,sell,0
2017-03,119,98,buy,1
2017-04,110,100,buy,1
2017-05,94,123,sell,0
2017-06,83,127,sell,0
2017-07,91,126,sell,0
2017-08,136,81,buy,1
2017-09,109,101,buy,1
2017-10,89,128,sell,0
2017-11,148,62,buy,1
2017-12,73,144,sell,0
2018-01,100,117,sell,0
2018-02,102,94,buy,1
2018-03,70,145,sell,0
2018-04,134,76,buy,1
2018-05,96,121,sell,0
2018-06,80,130,sell,0
2018-07,110,107,buy,1
2018-08,87,129,sell,0
2018-09,101,106,sell,0
2018-10,96,121,sell,0
2018-11,91,119,sell,0
2018-12,96,121,sell,0
2019-01,112,104,buy,1
2019-02,132,64,buy,1
2019-03,127,90,buy,1
2019-04,83,127,sell,0
2019-05,115,102,buy,1
2019-06,100,110,sell,0
2019-07,80,137,sell,0
2019-08,62,155,sell,0
2019-09,103,107,sell,0
2019-10,124,93,buy,1
2019-11,91,119,sell,0
2019-12,96,121,sell,0
2020-01,119,98,buy,1
2020-02,113,90,buy,1
2020-03,108,109,sell,0
2020-04,124,86,buy,1
2020-05,119,98,buy,1
2020-06,76,131,sell,0
2020-07,134,83,buy,1
2020-08,109,108,buy,1
2020-09,77,133,sell,0
2020-10,110,107,buy,1
2020-11,75,135,sell,0
2020-12,108,109,sell,0
2021-01,125,90,buy,1
2021-02,107,89,buy,1
2021-03,106,111,sell,0
2021-04,112,98,buy,1
2021-05,101,116,sell,0
2021-06,117,91,buy,1
2021-07,112,104,buy,1
2021-08,90,127,sell,0
2021-09,87,123,sell,0
2021-10,118,99,buy,1
2021-11,102,107,sell,0
2021-12,106,111,sell,0
2022-01,113,104,buy,1
2022-02,82,114,sell,0
2022-03,118,99,buy,1
2022-04,129,81,buy,1
2022-05,100,117,sell,0
2022-06,120,90,buy,1
2022-07,120,97,buy,1
2022-08,92,125,sell,0
2022-09,109,101,buy,1
2022-10,90,127,sell,0
2022-11,110,100,buy,1
2022-12,120,97,buy,1
