YearMonth,buy,sell,Action,ActionID
2010-01,121,96,buy,1
2010-02,115,81,buy,1
2010-03,138,79,buy,1
2010-04,147,63,buy,1
2010-05,120,97,buy,1
2010-06,86,124,sell,0
2010-07,104,113,sell,0
2010-08,118,99,buy,1
2010-09,100,110,sell,0
2010-10,122,95,buy,1
2010-11,105,105,buy,1
2010-12,156,61,buy,1
2011-01,142,75,buy,1
2011-02,102,94,buy,1
2011-03,124,93,buy,1
2011-04,107,103,buy,1
2011-05,110,107,buy,1
2011-06,119,91,buy,1
2011-07,151,66,buy,1
2011-08,120,97,buy,1
2011-09,139,71,buy,1
2011-10,131,86,buy,1
2011-11,104,106,sell,0
2011-12,102,115,sell,0
2012-01,156,61,buy,1
2012-02,123,80,buy,1
2012-03,129,88,buy,1
2012-04,111,99,buy,1
2012-05,94,123,sell,0
2012-06,100,110,sell,0
2012-07,91,126,sell,0
2012-08,135,82,buy,1
2012-09,119,91,buy,1
2012-10,109,108,buy,1
2012-11,94,116,sell,0
2012-12,98,119,sell,0
2013-01,135,82,buy,1
2013-02,115,81,buy,1
2013-03,148,69,buy,1
2013-04,145,65,buy,1
2013-05,147,70,buy,1
2013-06,111,99,buy,1
2013-07,101,116,sell,0
2013-08,132,85,buy,1
2013-09,136,74,buy,1
2013-10,128,89,buy,1
2013-11,131,79,buy,1
2013-12,105,112,sell,0
2014-01,86,131,sell,0
2014-02,125,71,buy,1
2014-03,110,107,buy,1
2014-04,100,110,sell,0
2014-05,109,108,buy,1
2014-06,112,98,buy,1
2014-07,120,97,buy,1
2014-08,131,86,buy,1
2014-09,144,66,buy,1
2014-10,140,77,buy,1
2014-11,130,80,buy,1
2014-12,135,82,buy,1
2015-01,100,117,sell,0
2015-02,119,77,buy,1
2015-03,140,77,buy,1
2015-04,152,58,buy,1
2015-05,140,77,buy,1
2015-06,109,101,buy,1
2015-07,134,83,buy,1
2015-08,116,101,buy,1
2015-09,145,65,buy,1
2015-10,148,69,buy,1
2015-11,138,72,buy,1
2015-12,113,104,buy,1
2016-01,96,121,sell,0
2016-02,79,124,sell,0
2016-03,136,81,buy,1
2016-04,119,91,buy,1
2016-05,158,59,buy,1
2016-06,148,62,buy,1
2016-07,155,62,buy,1
2016-08,128,89,buy,1
2016-09,121,89,buy,1
2016-10,130,87,buy,1
2016-11,123,87,buy,1
2016-12,129,88,buy,1
2017-01,115,102,buy,1
2017-02,111,85,buy,1
2017-03,135,82,buy,1
2017-04,105,105,buy,1
2017-05,143,74,buy,1
2017-06,107,103,buy,1
2017-07,147,70,buy,1
2017-08,131,86,buy,1
2017-09,126,84,buy,1
2017-10,134,83,buy,1
2017-11,118,92,buy,1
2017-12,109,108,buy,1
2018-01,128,89,buy,1
2018-02,116,80,buy,1
2018-03,117,100,buy,1
2018-04,101,109,sell,0
2018-05,134,83,buy,1
2018-06,120,90,buy,1
2018-07,112,105,buy,1
2018-08,125,92,buy,1
2018-09,124,86,buy,1
2018-10,113,104,buy,1
2018-11,106,104,buy,1
2018-12,69,148,sell,0
2019-01,112,105,buy,1
2019-02,120,76,buy,1
2019-03,126,91,buy,1
2019-04,128,82,buy,1
2019-05,154,63,buy,1
2019-06,124,86,buy,1
2019-07,121,96,buy,1
2019-08,84,133,sell,0
2019-09,80,130,sell,0
2019-10,129,88,buy,1
2019-11,110,100,buy,1
2019-12,141,76,buy,1
2020-01,120,97,buy,1
2020-02,113,90,buy,1
2020-03,127,90,buy,1
2020-04,106,104,buy,1
2020-05,129,88,buy,1
2020-06,132,78,buy,1
2020-07,106,111,sell,0
2020-08,126,91,buy,1
2020-09,108,102,buy,1
2020-10,116,101,buy,1
2020-11,120,90,buy,1
2020-12,111,106,buy,1
2021-01,111,106,buy,1
2021-02,113,83,buy,1
2021-03,121,96,buy,1
2021-04,115,95,buy,1
2021-05,108,109,sell,0
2021-06,105,105,buy,1
2021-07,115,102,buy,1
2021-08,128,89,buy,1
2021-09,129,81,buy,1
2021-10,104,113,sell,0
2021-11,125,85,buy,1
2021-12,122,95,buy,1
2022-01,108,109,sell,0
2022-02,134,62,buy,1
2022-03,117,100,buy,1
2022-04,109,101,buy,1
2022-05,128,89,buy,1
2022-06,104,106,sell,0
2022-07,132,85,buy,1
2022-08,126,91,buy,1
2022-09,140,70,buy,1
2022-10,116,101,buy,1
2022-11,113,97,buy,1
2022-12,118,99,buy,1
