YearWeek,buy,sell,Action,ActionID
2010-01,24,11,buy,1
2010-02,20,15,buy,1
2010-03,16,19,sell,0
2010-04,21,14,buy,1
2010-05,13,22,sell,0
2010-06,25,10,buy,1
2010-07,26,9,buy,1
2010-08,22,13,buy,1
2010-09,18,17,buy,1
2010-10,26,9,buy,1
2010-11,17,18,sell,0
2010-12,29,6,buy,1
2010-13,17,18,sell,0
2010-14,28,7,buy,1
2010-15,25,10,buy,1
2010-16,22,13,buy,1
2010-17,22,13,buy,1
2010-18,21,14,buy,1
2010-19,28,7,buy,1
2010-20,9,26,sell,0
2010-21,26,9,buy,1
2010-22,25,10,buy,1
2010-23,16,19,sell,0
2010-24,17,18,sell,0
2010-25,6,29,sell,0
2010-26,17,18,sell,0
2010-27,24,11,buy,1
2010-28,16,19,sell,0
2010-29,22,13,buy,1
2010-30,15,20,sell,0
2010-31,17,18,sell,0
2010-32,26,9,buy,1
2010-33,23,12,buy,1
2010-34,18,17,buy,1
2010-35,17,18,sell,0
2010-36,16,19,sell,0
2010-37,22,13,buy,1
2010-38,19,16,buy,1
2010-39,2,33,sell,0
2010-40,23,12,buy,1
2010-41,25,10,buy,1
2010-42,21,14,buy,1
2010-43,20,15,buy,1
2010-44,18,17,buy,1
2010-45,18,17,buy,1
2010-46,22,13,buy,1
2010-47,21,14,buy,1
2010-48,29,6,buy,1
2010-49,31,4,buy,1
2010-50,26,9,buy,1
2010-51,23,12,buy,1
2010-52,11,14,sell,0
2010-53,7,8,sell,0
2011-01,25,10,buy,1
2011-02,19,16,buy,1
2011-03,25,10,buy,1
2011-04,27,8,buy,1
2011-05,17,18,sell,0
2011-06,14,21,sell,0
2011-07,19,16,buy,1
2011-08,27,8,buy,1
2011-09,17,18,sell,0
2011-10,22,13,buy,1
2011-11,20,15,buy,1
2011-12,27,8,buy,1
2011-13,20,15,buy,1
2011-14,25,10,buy,1
2011-15,13,22,sell,0
2011-16,23,12,buy,1
2011-17,17,18,sell,0
2011-18,17,18,sell,0
2011-19,22,13,buy,1
2011-20,17,18,sell,0
2011-21,26,9,buy,1
2011-22,12,23,sell,0
2011-23,18,17,buy,1
2011-24,25,10,buy,1
2011-25,21,14,buy,1
2011-26,23,12,buy,1
2011-27,28,7,buy,1
2011-28,27,8,buy,1
2011-29,19,16,buy,1
2011-30,22,13,buy,1
2011-31,10,25,sell,0
2011-32,15,20,sell,0
2011-33,23,12,buy,1
2011-34,27,8,buy,1
2011-35,26,9,buy,1
2011-36,22,13,buy,1
2011-37,29,6,buy,1
2011-38,17,18,sell,0
2011-39,20,15,buy,1
2011-40,29,6,buy,1
2011-41,24,11,buy,1
2011-42,15,20,sell,0
2011-43,17,18,sell,0
2011-44,22,13,buy,1
2011-45,18,17,buy,1
2011-46,22,13,buy,1
2011-47,22,13,buy,1
2011-48,16,19,sell,0
2011-49,25,10,buy,1
2011-50,23,12,buy,1
2011-51,9,26,sell,0
2011-52,22,18,buy,1
2012-01,32,8,buy,1
2012-02,21,14,buy,1
2012-03,22,13,buy,1
2012-04,21,14,buy,1
2012-05,25,10,buy,1
2012-06,18,17,buy,1
2012-07,18,17,buy,1
2012-08,20,15,buy,1
2012-09,23,12,buy,1
2012-10,29,6,buy,1
2012-11,25,10,buy,1
2012-12,19,16,buy,1
2012-13,20,15,buy,1
2012-14,16,19,sell,0
2012-15,17,18,sell,0
2012-16,27,8,buy,1
2012-17,19,16,buy,1
2012-18,14,21,sell,0
2012-19,22,13,buy,1
2012-20,11,24,sell,0
2012-21,14,21,sell,0
2012-22,18,17,buy,1
2012-23,19,16,buy,1
2012-24,16,19,sell,0
2012-25,22,13,buy,1
2012-26,19,16,buy,1
2012-27,15,20,sell,0
2012-28,13,22,sell,0
2012-29,20,15,buy,1
2012-30,17,18,sell,0
2012-31,25,10,buy,1
2012-32,23,12,buy,1
2012-33,22,13,buy,1
2012-34,22,13,buy,1
2012-35,13,22,sell,0
2012-36,18,17,buy,1
2012-37,26,9,buy,1
2012-38,20,15,buy,1
2012-39,16,19,sell,0
2012-40,18,17,buy,1
2012-41,17,18,sell,0
2012-42,19,16,buy,1
2012-43,21,14,buy,1
2012-44,21,14,buy,1
2012-45,15,20,sell,0
2012-46,14,21,sell,0
2012-47,23,12,buy,1
2012-48,14,21,sell,0
2012-49,15,20,sell,0
2012-50,16,19,sell,0
2012-51,20,15,buy,1
2012-52,19,21,sell,0
2013-01,21,19,buy,1
2013-02,15,20,sell,0
2013-03,31,4,buy,1
2013-04,25,10,buy,1
2013-05,21,14,buy,1
2013-06,19,16,buy,1
2013-07,25,10,buy,1
2013-08,19,16,buy,1
2013-09,27,8,buy,1
2013-10,21,14,buy,1
2013-11,26,9,buy,1
2013-12,25,10,buy,1
2013-13,18,17,buy,1
2013-14,24,11,buy,1
2013-15,19,16,buy,1
2013-16,24,11,buy,1
2013-17,24,11,buy,1
2013-18,26,9,buy,1
2013-19,18,17,buy,1
2013-20,32,3,buy,1
2013-21,19,16,buy,1
2013-22,26,9,buy,1
2013-23,25,10,buy,1
2013-24,14,21,sell,0
2013-25,21,14,buy,1
2013-26,25,10,buy,1
2013-27,13,22,sell,0
2013-28,22,13,buy,1
2013-29,13,22,sell,0
2013-30,20,15,buy,1
2013-31,23,12,buy,1
2013-32,21,14,buy,1
2013-33,24,11,buy,1
2013-34,25,10,buy,1
2013-35,21,14,buy,1
2013-36,19,16,buy,1
2013-37,29,6,buy,1
2013-38,17,18,sell,0
2013-39,23,12,buy,1
2013-40,26,9,buy,1
2013-41,20,15,buy,1
2013-42,27,8,buy,1
2013-43,16,19,sell,0
2013-44,24,11,buy,1
2013-45,25,10,buy,1
2013-46,25,10,buy,1
2013-47,21,14,buy,1
2013-48,23,12,buy,1
2013-49,24,11,buy,1
2013-50,15,20,sell,0
2013-51,19,16,buy,1
2013-52,19,16,buy,1
2014-01,26,14,buy,1
2014-02,14,21,sell,0
2014-03,20,15,buy,1
2014-04,11,24,sell,0
2014-05,14,21,sell,0
2014-06,11,24,sell,0
2014-07,29,6,buy,1
2014-08,30,5,buy,1
2014-09,19,16,buy,1
2014-10,16,19,sell,0
2014-11,18,17,buy,1
2014-12,26,9,buy,1
2014-13,14,21,sell,0
2014-14,14,21,sell,0
2014-15,18,17,buy,1
2014-16,22,13,buy,1
2014-17,15,20,sell,0
2014-18,15,20,sell,0
2014-19,19,16,buy,1
2014-20,22,13,buy,1
2014-21,15,20,sell,0
2014-22,23,12,buy,1
2014-23,21,14,buy,1
2014-24,20,15,buy,1
2014-25,16,19,sell,0
2014-26,18,17,buy,1
2014-27,16,19,sell,0
2014-28,25,10,buy,1
2014-29,17,18,sell,0
2014-30,22,13,buy,1
2014-31,16,19,sell,0
2014-32,22,13,buy,1
2014-33,26,9,buy,1
2014-34,24,11,buy,1
2014-35,23,12,buy,1
2014-36,27,8,buy,1
2014-37,19,16,buy,1
2014-38,27,8,buy,1
2014-39,20,15,buy,1
2014-40,17,18,sell,0
2014-41,19,16,buy,1
2014-42,27,8,buy,1
2014-43,23,12,buy,1
2014-44,27,8,buy,1
2014-45,22,13,buy,1
2014-46,23,12,buy,1
2014-47,20,15,buy,1
2014-48,20,15,buy,1
2014-49,27,8,buy,1
2014-50,25,10,buy,1
2014-51,21,14,buy,1
2014-52,23,12,buy,1
2015-01,15,5,buy,1
2015-02,17,18,sell,0
2015-03,20,15,buy,1
2015-04,15,20,sell,0
2015-05,9,26,sell,0
2015-06,23,12,buy,1
2015-07,26,9,buy,1
2015-08,19,16,buy,1
2015-09,25,10,buy,1
2015-10,18,17,buy,1
2015-11,19,16,buy,1
2015-12,27,8,buy,1
2015-13,20,15,buy,1
2015-14,23,12,buy,1
2015-15,20,15,buy,1
2015-16,25,10,buy,1
2015-17,29,6,buy,1
2015-18,29,6,buy,1
2015-19,22,13,buy,1
2015-20,25,10,buy,1
2015-21,22,13,buy,1
2015-22,20,15,buy,1
2015-23,16,19,sell,0
2015-24,21,14,buy,1
2015-25,22,13,buy,1
2015-26,21,14,buy,1
2015-27,16,19,sell,0
2015-28,21,14,buy,1
2015-29,23,12,buy,1
2015-30,25,10,buy,1
2015-31,21,14,buy,1
2015-32,17,18,sell,0
2015-33,26,9,buy,1
2015-34,16,19,sell,0
2015-35,22,13,buy,1
2015-36,20,15,buy,1
2015-37,25,10,buy,1
2015-38,30,5,buy,1
2015-39,23,12,buy,1
2015-40,20,15,buy,1
2015-41,25,10,buy,1
2015-42,31,4,buy,1
2015-43,28,7,buy,1
2015-44,15,20,sell,0
2015-45,31,4,buy,1
2015-46,19,16,buy,1
2015-47,28,7,buy,1
2015-48,17,18,sell,0
2015-49,22,13,buy,1
2015-50,15,20,sell,0
2015-51,16,19,sell,0
2015-52,19,16,buy,1
2015-53,14,6,buy,1
2016-01,24,11,buy,1
2016-02,10,25,sell,0
2016-03,19,16,buy,1
2016-04,18,17,buy,1
2016-05,4,31,sell,0
2016-06,20,15,buy,1
2016-07,22,13,buy,1
2016-08,13,22,sell,0
2016-09,20,15,buy,1
2016-10,19,16,buy,1
2016-11,25,10,buy,1
2016-12,27,8,buy,1
2016-13,24,11,buy,1
2016-14,18,17,buy,1
2016-15,24,11,buy,1
2016-16,19,16,buy,1
2016-17,13,22,sell,0
2016-18,26,9,buy,1
2016-19,29,6,buy,1
2016-20,22,13,buy,1
2016-21,21,14,buy,1
2016-22,14,21,sell,0
2016-23,25,10,buy,1
2016-24,25,10,buy,1
2016-25,28,7,buy,1
2016-26,24,11,buy,1
2016-27,25,10,buy,1
2016-28,25,10,buy,1
2016-29,28,7,buy,1
2016-30,26,9,buy,1
2016-31,26,9,buy,1
2016-32,18,17,buy,1
2016-33,21,14,buy,1
2016-34,22,13,buy,1
2016-35,19,16,buy,1
2016-36,21,14,buy,1
2016-37,22,13,buy,1
2016-38,16,19,sell,0
2016-39,17,18,sell,0
2016-40,21,14,buy,1
2016-41,23,12,buy,1
2016-42,16,19,sell,0
2016-43,26,9,buy,1
2016-44,18,17,buy,1
2016-45,19,16,buy,1
2016-46,22,13,buy,1
2016-47,22,13,buy,1
2016-48,22,13,buy,1
2016-49,23,12,buy,1
2016-50,22,13,buy,1
2016-51,21,14,buy,1
2016-52,13,17,sell,0
2016-53,7,8,sell,0
2017-01,29,6,buy,1
2017-02,21,14,buy,1
2017-03,14,21,sell,0
2017-04,19,16,buy,1
2017-05,16,19,sell,0
2017-06,22,13,buy,1
2017-07,23,12,buy,1
2017-08,25,10,buy,1
2017-09,19,16,buy,1
2017-10,24,11,buy,1
2017-11,16,19,sell,0
2017-12,18,17,buy,1
2017-13,32,3,buy,1
2017-14,17,18,sell,0
2017-15,25,10,buy,1
2017-16,26,9,buy,1
2017-17,16,19,sell,0
2017-18,20,15,buy,1
2017-19,23,12,buy,1
2017-20,26,9,buy,1
2017-21,28,7,buy,1
2017-22,27,8,buy,1
2017-23,20,15,buy,1
2017-24,23,12,buy,1
2017-25,23,12,buy,1
2017-26,12,23,sell,0
2017-27,26,9,buy,1
2017-28,31,4,buy,1
2017-29,24,11,buy,1
2017-30,22,13,buy,1
2017-31,18,17,buy,1
2017-32,20,15,buy,1
2017-33,23,12,buy,1
2017-34,17,18,sell,0
2017-35,25,10,buy,1
2017-36,22,13,buy,1
2017-37,17,18,sell,0
2017-38,20,15,buy,1
2017-39,20,15,buy,1
2017-40,21,14,buy,1
2017-41,19,16,buy,1
2017-42,24,11,buy,1
2017-43,25,10,buy,1
2017-44,19,16,buy,1
2017-45,15,20,sell,0
2017-46,19,16,buy,1
2017-47,25,10,buy,1
2017-48,25,10,buy,1
2017-49,22,13,buy,1
2017-50,22,13,buy,1
2017-51,16,19,sell,0
2017-52,20,20,buy,1
2018-01,28,12,buy,1
2018-02,23,12,buy,1
2018-03,18,17,buy,1
2018-04,24,11,buy,1
2018-05,16,19,sell,0
2018-06,19,16,buy,1
2018-07,29,6,buy,1
2018-08,15,20,sell,0
2018-09,17,18,sell,0
2018-10,28,7,buy,1
2018-11,16,19,sell,0
2018-12,18,17,buy,1
2018-13,26,9,buy,1
2018-14,14,21,sell,0
2018-15,23,12,buy,1
2018-16,18,17,buy,1
2018-17,14,21,sell,0
2018-18,24,11,buy,1
2018-19,21,14,buy,1
2018-20,12,23,sell,0
2018-21,22,13,buy,1
2018-22,27,8,buy,1
2018-23,19,16,buy,1
2018-24,17,18,sell,0
2018-25,24,11,buy,1
2018-26,22,13,buy,1
2018-27,21,14,buy,1
2018-28,25,10,buy,1
2018-29,17,18,sell,0
2018-30,16,19,sell,0
2018-31,19,16,buy,1
2018-32,16,19,sell,0
2018-33,14,21,sell,0
2018-34,23,12,buy,1
2018-35,24,11,buy,1
2018-36,15,20,sell,0
2018-37,28,7,buy,1
2018-38,24,11,buy,1
2018-39,21,14,buy,1
2018-40,18,17,buy,1
2018-41,22,13,buy,1
2018-42,19,16,buy,1
2018-43,27,8,buy,1
2018-44,11,24,sell,0
2018-45,20,15,buy,1
2018-46,23,12,buy,1
2018-47,13,22,sell,0
2018-48,20,15,buy,1
2018-49,16,19,sell,0
2018-50,15,20,sell,0
2018-51,13,22,sell,0
2018-52,12,23,sell,0
2019-01,20,20,buy,1
2019-02,17,18,sell,0
2019-03,24,11,buy,1
2019-04,17,18,sell,0
2019-05,15,20,sell,0
2019-06,24,11,buy,1
2019-07,18,17,buy,1
2019-08,22,13,buy,1
2019-09,19,16,buy,1
2019-10,20,15,buy,1
2019-11,31,4,buy,1
2019-12,23,12,buy,1
2019-13,8,27,sell,0
2019-14,17,18,sell,0
2019-15,26,9,buy,1
2019-16,24,11,buy,1
2019-17,22,13,buy,1
2019-18,18,17,buy,1
2019-19,29,6,buy,1
2019-20,30,5,buy,1
2019-21,20,15,buy,1
2019-22,23,12,buy,1
2019-23,27,8,buy,1
2019-24,22,13,buy,1
2019-25,21,14,buy,1
2019-26,20,15,buy,1
2019-27,24,11,buy,1
2019-28,26,9,buy,1
2019-29,17,18,sell,0
2019-30,25,10,buy,1
2019-31,11,24,sell,0
2019-32,22,13,buy,1
2019-33,19,16,buy,1
2019-34,14,21,sell,0
2019-35,17,18,sell,0
2019-36,14,21,sell,0
2019-37,6,29,sell,0
2019-38,24,11,buy,1
2019-39,12,23,sell,0
2019-40,17,18,sell,0
2019-41,22,13,buy,1
2019-42,17,18,sell,0
2019-43,22,13,buy,1
2019-44,23,12,buy,1
2019-45,23,12,buy,1
2019-46,27,8,buy,1
2019-47,7,28,sell,0
2019-48,20,15,buy,1
2019-49,19,16,buy,1
2019-50,32,3,buy,1
2019-51,24,11,buy,1
2019-52,18,17,buy,1
2020-01,15,10,buy,1
2020-02,21,14,buy,1
2020-03,23,12,buy,1
2020-04,19,16,buy,1
2020-05,15,20,sell,0
2020-06,23,12,buy,1
2020-07,18,17,buy,1
2020-08,17,18,sell,0
2020-09,16,19,sell,0
2020-10,18,17,buy,1
2020-11,16,19,sell,0
2020-12,23,12,buy,1
2020-13,26,9,buy,1
2020-14,23,12,buy,1
2020-15,14,21,sell,0
2020-16,22,13,buy,1
2020-17,20,15,buy,1
2020-18,22,13,buy,1
2020-19,25,10,buy,1
2020-20,21,14,buy,1
2020-21,21,14,buy,1
2020-22,17,18,sell,0
2020-23,21,14,buy,1
2020-24,22,13,buy,1
2020-25,24,11,buy,1
2020-26,19,16,buy,1
2020-27,29,6,buy,1
2020-28,21,14,buy,1
2020-29,8,27,sell,0
2020-30,15,20,sell,0
2020-31,19,16,buy,1
2020-32,20,15,buy,1
2020-33,20,15,buy,1
2020-34,22,13,buy,1
2020-35,24,11,buy,1
2020-36,19,16,buy,1
2020-37,17,18,sell,0
2020-38,19,16,buy,1
2020-39,20,15,buy,1
2020-40,20,15,buy,1
2020-41,24,11,buy,1
2020-42,17,18,sell,0
2020-43,17,18,sell,0
2020-44,20,15,buy,1
2020-45,16,19,sell,0
2020-46,22,13,buy,1
2020-47,21,14,buy,1
2020-48,21,14,buy,1
2020-49,15,20,sell,0
2020-50,19,16,buy,1
2020-51,17,18,sell,0
2020-52,19,16,buy,1
2020-53,14,6,buy,1
2021-01,19,16,buy,1
2021-02,14,21,sell,0
2021-03,19,16,buy,1
2021-04,18,17,buy,1
2021-05,21,14,buy,1
2021-06,23,12,buy,1
2021-07,20,15,buy,1
2021-08,17,18,sell,0
2021-09,27,8,buy,1
2021-10,24,11,buy,1
2021-11,20,15,buy,1
2021-12,16,19,sell,0
2021-13,21,14,buy,1
2021-14,20,15,buy,1
2021-15,19,16,buy,1
2021-16,18,17,buy,1
2021-17,20,15,buy,1
2021-18,18,17,buy,1
2021-19,14,21,sell,0
2021-20,19,16,buy,1
2021-21,14,21,sell,0
2021-22,21,14,buy,1
2021-23,21,14,buy,1
2021-24,18,17,buy,1
2021-25,19,16,buy,1
2021-26,19,16,buy,1
2021-27,17,18,sell,0
2021-28,24,11,buy,1
2021-29,19,16,buy,1
2021-30,24,11,buy,1
2021-31,23,12,buy,1
