YearWeek,buy,sell,Action,ActionID
2010-01,21,21,buy,1
2010-02,17,25,sell,0
2010-03,35,7,buy,1
2010-04,27,15,buy,1
2010-05,13,29,sell,0
2010-06,11,31,sell,0
2010-07,10,32,sell,0
2010-08,25,17,buy,1
2010-09,5,37,sell,0
2010-10,19,23,sell,0
2010-11,20,22,sell,0
2010-12,25,17,buy,1
2010-13,12,30,sell,0
2010-14,29,13,buy,1
2010-15,31,11,buy,1
2010-16,17,25,sell,0
2010-17,23,19,buy,1
2010-18,26,16,buy,1
2010-19,16,24,sell,0
2010-20,23,19,buy,1
2010-21,13,29,sell,0
2010-22,27,13,buy,1
2010-23,15,27,sell,0
2010-24,12,30,sell,0
2010-25,20,22,sell,0
2010-26,25,17,buy,1
2010-27,7,35,sell,0
2010-28,21,21,buy,1
2010-29,5,37,sell,0
2010-30,12,30,sell,0
2010-31,20,21,sell,0
2010-32,28,11,buy,1
2010-33,28,13,buy,1
2010-34,32,10,buy,1
2010-35,18,21,sell,0
2010-36,11,31,sell,0
2010-37,24,18,buy,1
2010-38,23,19,buy,1
2010-39,13,29,sell,0
2010-40,13,29,sell,0
2010-41,21,21,buy,1
2010-42,24,18,buy,1
2010-43,17,25,sell,0
2010-44,14,28,sell,0
2010-45,22,20,buy,1
2010-46,25,17,buy,1
2010-47,32,10,buy,1
2010-48,19,20,sell,0
2010-49,11,31,sell,0
2010-50,33,9,buy,1
2010-51,18,24,sell,0
2010-52,3,27,sell,0
2010-53,9,9,buy,1
2011-01,19,23,sell,0
2011-02,24,18,buy,1
2011-03,28,14,buy,1
2011-04,25,15,buy,1
2011-05,2,40,sell,0
2011-06,13,29,sell,0
2011-07,8,34,sell,0
2011-08,14,28,sell,0
2011-09,15,25,sell,0
2011-10,25,17,buy,1
2011-11,11,31,sell,0
2011-12,7,35,sell,0
2011-13,13,29,sell,0
2011-14,13,29,sell,0
2011-15,31,11,buy,1
2011-16,8,34,sell,0
2011-17,22,20,buy,1
2011-18,25,17,buy,1
2011-19,34,8,buy,1
2011-20,33,9,buy,1
2011-21,30,12,buy,1
2011-22,26,16,buy,1
2011-23,20,22,sell,0
2011-24,23,19,buy,1
2011-25,23,19,buy,1
2011-26,8,34,sell,0
2011-27,32,10,buy,1
2011-28,29,13,buy,1
2011-29,13,28,sell,0
2011-30,27,15,buy,1
2011-31,25,17,buy,1
2011-32,27,15,buy,1
2011-33,18,21,sell,0
2011-34,12,30,sell,0
2011-35,22,20,buy,1
2011-36,27,15,buy,1
2011-37,23,19,buy,1
2011-38,27,15,buy,1
2011-39,27,15,buy,1
2011-40,20,22,sell,0
2011-41,22,20,buy,1
2011-42,17,24,sell,0
2011-43,16,26,sell,0
2011-44,19,23,sell,0
2011-45,27,15,buy,1
2011-46,27,15,buy,1
2011-47,23,19,buy,1
2011-48,12,30,sell,0
2011-49,22,20,buy,1
2011-50,31,7,buy,1
2011-51,5,37,sell,0
2011-52,18,30,sell,0
2012-01,27,21,buy,1
2012-02,22,20,buy,1
2012-03,15,27,sell,0
2012-04,16,26,sell,0
2012-05,9,33,sell,0
2012-06,24,18,buy,1
2012-07,18,24,sell,0
2012-08,27,15,buy,1
2012-09,23,19,buy,1
2012-10,16,26,sell,0
2012-11,23,19,buy,1
2012-12,27,15,buy,1
2012-13,24,18,buy,1
2012-14,23,19,buy,1
2012-15,24,18,buy,1
2012-16,21,21,buy,1
2012-17,17,25,sell,0
2012-18,29,13,buy,1
2012-19,22,20,buy,1
2012-20,31,11,buy,1
2012-21,23,19,buy,1
2012-22,23,18,buy,1
2012-23,15,27,sell,0
2012-24,28,14,buy,1
2012-25,26,16,buy,1
2012-26,25,17,buy,1
2012-27,13,29,sell,0
2012-28,24,18,buy,1
2012-29,16,16,buy,1
2012-30,16,26,sell,0
2012-31,4,38,sell,0
2012-32,14,28,sell,0
2012-33,22,20,buy,1
2012-34,22,20,buy,1
2012-35,6,36,sell,0
2012-36,18,24,sell,0
2012-37,12,30,sell,0
2012-38,19,23,sell,0
2012-39,30,12,buy,1
2012-40,19,23,sell,0
2012-41,28,11,buy,1
2012-42,23,19,buy,1
2012-43,22,20,buy,1
2012-44,13,29,sell,0
2012-45,13,29,sell,0
2012-46,20,21,sell,0
2012-47,15,27,sell,0
2012-48,25,17,buy,1
2012-49,20,22,sell,0
2012-50,22,20,buy,1
2012-51,26,16,buy,1
2012-52,21,27,sell,0
2013-01,22,26,sell,0
2013-02,28,14,buy,1
2013-03,34,8,buy,1
2013-04,31,11,buy,1
2013-05,28,14,buy,1
2013-06,30,12,buy,1
2013-07,29,13,buy,1
2013-08,35,7,buy,1
2013-09,33,9,buy,1
2013-10,26,16,buy,1
2013-11,19,23,sell,0
2013-12,12,30,sell,0
2013-13,15,27,sell,0
2013-14,22,19,buy,1
2013-15,18,24,sell,0
2013-16,19,23,sell,0
2013-17,16,26,sell,0
2013-18,17,25,sell,0
2013-19,19,23,sell,0
2013-20,34,8,buy,1
2013-21,30,10,buy,1
2013-22,25,17,buy,1
2013-23,13,29,sell,0
2013-24,25,17,buy,1
2013-25,28,13,buy,1
2013-26,23,19,buy,1
2013-27,36,6,buy,1
2013-28,27,15,buy,1
2013-29,22,20,buy,1
2013-30,9,33,sell,0
2013-31,37,5,buy,1
2013-32,24,18,buy,1
2013-33,22,20,buy,1
2013-34,32,10,buy,1
2013-35,26,16,buy,1
2013-36,8,34,sell,0
2013-37,15,27,sell,0
2013-38,18,24,sell,0
2013-39,19,21,sell,0
2013-40,18,24,sell,0
2013-41,25,17,buy,1
2013-42,10,32,sell,0
2013-43,29,13,buy,1
2013-44,18,24,sell,0
2013-45,31,11,buy,1
2013-46,29,13,buy,1
2013-47,30,12,buy,1
2013-48,28,14,buy,1
2013-49,32,10,buy,1
2013-50,24,16,buy,1
2013-51,29,10,buy,1
2013-52,19,23,sell,0
2014-01,15,33,sell,0
2014-02,37,5,buy,1
2014-03,26,16,buy,1
2014-04,24,18,buy,1
2014-05,14,28,sell,0
2014-06,1,41,sell,0
2014-07,15,27,sell,0
2014-08,31,11,buy,1
2014-09,20,22,sell,0
2014-10,23,17,buy,1
2014-11,19,23,sell,0
2014-12,14,28,sell,0
2014-13,7,35,sell,0
2014-14,13,29,sell,0
2014-15,24,16,buy,1
2014-16,21,21,buy,1
2014-17,29,11,buy,1
2014-18,16,26,sell,0
2014-19,19,23,sell,0
2014-20,17,25,sell,0
2014-21,18,24,sell,0
2014-22,14,28,sell,0
2014-23,28,14,buy,1
2014-24,7,35,sell,0
2014-25,20,22,sell,0
2014-26,9,33,sell,0
2014-27,19,23,sell,0
2014-28,17,25,sell,0
2014-29,20,22,sell,0
2014-30,18,24,sell,0
2014-31,29,13,buy,1
2014-32,32,10,buy,1
2014-33,13,29,sell,0
2014-34,16,26,sell,0
2014-35,10,32,sell,0
2014-36,8,34,sell,0
2014-37,32,10,buy,1
2014-38,9,33,sell,0
2014-39,34,8,buy,1
2014-40,22,20,buy,1
2014-41,30,12,buy,1
2014-42,33,9,buy,1
2014-43,11,29,sell,0
2014-44,22,20,buy,1
2014-45,27,15,buy,1
2014-46,8,34,sell,0
2014-47,15,27,sell,0
2014-48,19,23,sell,0
2014-49,29,13,buy,1
2014-50,31,11,buy,1
2014-51,30,12,buy,1
2014-52,11,31,sell,0
2015-01,17,7,buy,1
2015-02,32,10,buy,1
2015-03,20,22,sell,0
2015-04,27,15,buy,1
2015-05,19,23,sell,0
2015-06,19,23,sell,0
2015-07,14,25,sell,0
2015-08,25,17,buy,1
2015-09,33,9,buy,1
2015-10,34,8,buy,1
2015-11,27,15,buy,1
2015-12,9,33,sell,0
2015-13,18,24,sell,0
2015-14,20,22,sell,0
2015-15,26,16,buy,1
2015-16,9,33,sell,0
2015-17,18,24,sell,0
2015-18,18,24,sell,0
2015-19,13,29,sell,0
2015-20,26,15,buy,1
2015-21,35,7,buy,1
2015-22,32,10,buy,1
2015-23,33,9,buy,1
2015-24,14,28,sell,0
2015-25,34,8,buy,1
2015-26,31,11,buy,1
2015-27,37,5,buy,1
2015-28,25,17,buy,1
2015-29,27,15,buy,1
