YearMonth,buy,sell,Action,ActionID
2010-01,105,112,sell,0
2010-02,96,100,sell,0
2010-03,114,103,buy,1
2010-04,126,84,buy,1
2010-05,95,122,sell,0
2010-06,65,145,sell,0
2010-07,99,118,sell,0
2010-08,85,132,sell,0
2010-09,67,143,sell,0
2010-10,87,130,sell,0
2010-11,109,101,buy,1
2010-12,86,131,sell,0
2011-01,103,114,sell,0
2011-02,112,84,buy,1
2011-03,117,100,buy,1
2011-04,85,125,sell,0
2011-05,100,117,sell,0
2011-06,98,112,sell,0
2011-07,69,148,sell,0
2011-08,73,144,sell,0
2011-09,91,119,sell,0
2011-10,79,138,sell,0
2011-11,106,104,buy,1
2011-12,106,111,sell,0
2012-01,91,126,sell,0
2012-02,132,71,buy,1
2012-03,114,103,buy,1
2012-04,89,121,sell,0
2012-05,88,129,sell,0
2012-06,107,103,buy,1
2012-07,86,127,sell,0
2012-08,113,104,buy,1
2012-09,92,118,sell,0
2012-10,129,88,buy,1
2012-11,90,120,sell,0
2012-12,127,90,buy,1
2013-01,109,107,buy,1
2013-02,107,89,buy,1
2013-03,90,127,sell,0
2013-04,73,137,sell,0
2013-05,130,87,buy,1
2013-06,123,86,buy,1
2013-07,127,90,buy,1
2013-08,96,121,sell,0
2013-09,100,110,sell,0
2013-10,112,105,buy,1
2013-11,121,89,buy,1
2013-12,110,105,buy,1
2014-01,92,124,sell,0
2014-02,90,105,sell,0
2014-03,113,104,buy,1
2014-04,121,89,buy,1
2014-05,111,106,buy,1
2014-06,96,114,sell,0
2014-07,132,85,buy,1
2014-08,101,116,sell,0
2014-09,143,67,buy,1
2014-10,93,124,sell,0
2014-11,118,90,buy,1
2014-12,115,101,buy,1
2015-01,96,121,sell,0
2015-02,105,90,buy,1
2015-03,111,106,buy,1
2015-04,108,101,buy,1
2015-05,137,80,buy,1
2015-06,129,81,buy,1
2015-07,112,105,buy,1
2015-08,111,106,buy,1
2015-09,97,113,sell,0
2015-10,103,114,sell,0
2015-11,123,87,buy,1
2015-12,87,130,sell,0
2016-01,103,114,sell,0
2016-02,68,135,sell,0
2016-03,112,101,buy,1
2016-04,88,122,sell,0
2016-05,135,82,buy,1
2016-06,64,146,sell,0
2016-07,109,108,buy,1
2016-08,117,100,buy,1
2016-09,112,98,buy,1
2016-10,126,91,buy,1
2016-11,135,75,buy,1
2016-12,127,90,buy,1
2017-01,110,107,buy,1
2017-02,90,105,sell,0
2017-03,92,123,sell,0
2017-04,114,96,buy,1
2017-05,104,113,sell,0
2017-06,113,97,buy,1
2017-07,104,113,sell,0
2017-08,87,130,sell,0
2017-09,97,113,sell,0
2017-10,106,111,sell,0
2017-11,109,101,buy,1
2017-12,120,97,buy,1
2018-01,93,122,sell,0
2018-02,107,89,buy,1
2018-03,104,113,sell,0
2018-04,141,69,buy,1
2018-05,94,123,sell,0
2018-06,91,119,sell,0
2018-07,116,101,buy,1
2018-08,90,127,sell,0
2018-09,118,92,buy,1
2018-10,99,116,sell,0
2018-11,103,106,sell,0
2018-12,82,135,sell,0
2019-01,116,101,buy,1
2019-02,114,82,buy,1
2019-03,102,115,sell,0
2019-04,105,105,buy,1
2019-05,98,119,sell,0
2019-06,101,109,sell,0
2019-07,121,96,buy,1
2019-08,108,109,sell,0
2019-09,114,96,buy,1
2019-10,114,103,buy,1
2019-11,137,73,buy,1
2019-12,94,123,sell,0
2020-01,126,91,buy,1
2020-02,109,94,buy,1
2020-03,99,118,sell,0
2020-04,96,114,sell,0
2020-05,113,104,buy,1
2020-06,97,113,sell,0
2020-07,102,115,sell,0
2020-08,111,106,buy,1
2020-09,96,114,sell,0
2020-10,83,134,sell,0
2020-11,96,113,sell,0
2020-12,111,106,buy,1
2021-01,99,114,sell,0
2021-02,97,97,buy,1
2021-03,119,98,buy,1
2021-04,96,111,sell,0
2021-05,106,108,sell,0
2021-06,113,95,buy,1
2021-07,107,110,sell,0
2021-08,90,127,sell,0
2021-09,104,106,sell,0
2021-10,115,102,buy,1
2021-11,106,104,buy,1
2021-12,96,121,sell,0
2022-01,109,108,buy,1
2022-02,102,94,buy,1
2022-03,126,91,buy,1
2022-04,93,117,sell,0
2022-05,118,99,buy,1
2022-06,126,84,buy,1
2022-07,110,107,buy,1
2022-08,100,117,sell,0
2022-09,110,99,buy,1
2022-10,101,115,sell,0
2022-11,103,106,sell,0
2022-12,123,94,buy,1
