YearMonth,buy,sell,Action,ActionID
2010-01,93,93,buy,1
2010-02,87,81,buy,1
2010-03,89,97,sell,0
2010-04,76,104,sell,0
2010-05,68,118,sell,0
2010-06,92,85,buy,1
2010-07,77,109,sell,0
2010-08,121,64,buy,1
2010-09,62,118,sell,0
2010-10,76,110,sell,0
2010-11,71,108,sell,0
2010-12,84,100,sell,0
2011-01,88,98,sell,0
2011-02,97,71,buy,1
2011-03,85,99,sell,0
2011-04,66,114,sell,0
2011-05,89,97,sell,0
2011-06,80,100,sell,0
2011-07,76,110,sell,0
2011-08,97,89,buy,1
2011-09,81,99,sell,0
2011-10,67,118,sell,0
2011-11,90,90,buy,1
2011-12,88,97,sell,0
2012-01,81,105,sell,0
2012-02,80,94,sell,0
2012-03,83,103,sell,0
2012-04,84,96,sell,0
2012-05,94,92,buy,1
2012-06,73,107,sell,0
2012-07,81,103,sell,0
2012-08,93,93,buy,1
2012-09,80,100,sell,0
2012-10,75,111,sell,0
2012-11,75,104,sell,0
2012-12,81,105,sell,0
2013-01,86,100,sell,0
2013-02,65,103,sell,0
2013-03,97,89,buy,1
2013-04,94,86,buy,1
2013-05,81,105,sell,0
2013-06,75,105,sell,0
2013-07,70,116,sell,0
2013-08,100,86,buy,1
2013-09,80,100,sell,0
2013-10,85,101,sell,0
2013-11,88,92,sell,0
2013-12,85,98,sell,0
2014-01,87,99,sell,0
2014-02,66,102,sell,0
2014-03,103,83,buy,1
2014-04,83,96,sell,0
2014-05,83,103,sell,0
2014-06,81,99,sell,0
2014-07,96,90,buy,1
2014-08,99,87,buy,1
2014-09,65,115,sell,0
2014-10,81,104,sell,0
2014-11,101,79,buy,1
2014-12,79,107,sell,0
2015-01,102,83,buy,1
2015-02,66,102,sell,0
2015-03,108,78,buy,1
2015-04,70,110,sell,0
2015-05,119,67,buy,1
2015-06,85,95,sell,0
2015-07,68,118,sell,0
2015-08,66,120,sell,0
2015-09,84,96,sell,0
2015-10,111,75,buy,1
2015-11,58,121,sell,0
2015-12,79,107,sell,0
2016-01,89,97,sell,0
2016-02,97,77,buy,1
2016-03,79,105,sell,0
2016-04,91,89,buy,1
2016-05,75,111,sell,0
2016-06,87,93,sell,0
2016-07,78,108,sell,0
2016-08,79,107,sell,0
2016-09,105,75,buy,1
2016-10,55,131,sell,0
2016-11,69,111,sell,0
2016-12,56,130,sell,0
2017-01,81,105,sell,0
2017-02,60,108,sell,0
2017-03,119,67,buy,1
2017-04,112,67,buy,1
2017-05,111,75,buy,1
2017-06,84,96,sell,0
2017-07,70,116,sell,0
2017-08,88,98,sell,0
2017-09,64,116,sell,0
2017-10,75,111,sell,0
2017-11,98,82,buy,1
2017-12,83,103,sell,0
2018-01,97,89,buy,1
2018-02,70,98,sell,0
2018-03,55,130,sell,0
2018-04,112,68,buy,1
2018-05,61,125,sell,0
2018-06,85,95,sell,0
2018-07,102,82,buy,1
2018-08,87,93,sell,0
2018-09,90,87,buy,1
2018-10,65,120,sell,0
2018-11,88,92,sell,0
2018-12,71,115,sell,0
2019-01,74,111,sell,0
2019-02,73,95,sell,0
2019-03,101,85,buy,1
2019-04,84,96,sell,0
2019-05,92,94,sell,0
2019-06,74,106,sell,0
2019-07,66,120,sell,0
2019-08,55,130,sell,0
2019-09,77,103,sell,0
2019-10,89,97,sell,0
2019-11,59,121,sell,0
2019-12,88,98,sell,0
2020-01,108,78,buy,1
2020-02,85,88,sell,0
2020-03,65,121,sell,0
2020-04,128,52,buy,1
2020-05,83,103,sell,0
2020-06,75,103,sell,0
2020-07,94,90,buy,1
2020-08,104,82,buy,1
2020-09,92,88,buy,1
2020-10,63,123,sell,0
2020-11,82,98,sell,0
2020-12,93,93,buy,1
2021-01,83,100,sell,0
2021-02,74,94,sell,0
2021-03,98,88,buy,1
2021-04,94,86,buy,1
2021-05,111,75,buy,1
2021-06,69,109,sell,0
2021-07,91,95,sell,0
2021-08,93,93,buy,1
2021-09,76,104,sell,0
2021-10,81,105,sell,0
2021-11,88,91,sell,0
2021-12,98,88,buy,1
2022-01,83,103,sell,0
2022-02,89,79,buy,1
2022-03,88,98,sell,0
2022-04,84,96,sell,0
2022-05,95,91,buy,1
2022-06,104,76,buy,1
2022-07,82,104,sell,0
2022-08,91,95,sell,0
2022-09,74,106,sell,0
2022-10,85,101,sell,0
2022-11,90,90,buy,1
2022-12,80,106,sell,0
