YearMonth,buy,sell,Action,ActionID
2010-01,102,115,sell,0
2010-02,76,120,sell,0
2010-03,104,113,sell,0
2010-04,110,100,buy,1
2010-05,100,117,sell,0
2010-06,83,127,sell,0
2010-07,88,129,sell,0
2010-08,84,133,sell,0
2010-09,92,118,sell,0
2010-10,85,132,sell,0
2010-11,105,105,buy,1
2010-12,92,125,sell,0
2011-01,113,104,buy,1
2011-02,96,100,sell,0
2011-03,108,109,sell,0
2011-04,107,103,buy,1
2011-05,105,112,sell,0
2011-06,88,122,sell,0
2011-07,95,122,sell,0
2011-08,77,140,sell,0
2011-09,86,124,sell,0
2011-10,89,128,sell,0
2011-11,99,111,sell,0
2011-12,86,131,sell,0
2012-01,97,120,sell,0
2012-02,106,97,buy,1
2012-03,113,104,buy,1
2012-04,107,103,buy,1
2012-05,107,110,sell,0
2012-06,86,124,sell,0
2012-07,86,131,sell,0
2012-08,81,136,sell,0
2012-09,82,128,sell,0
2012-10,101,116,sell,0
2012-11,106,104,buy,1
2012-12,126,91,buy,1
2013-01,124,93,buy,1
2013-02,79,117,sell,0
2013-03,89,128,sell,0
2013-04,111,99,buy,1
2013-05,107,110,sell,0
2013-06,87,123,sell,0
2013-07,95,122,sell,0
2013-08,105,112,sell,0
2013-09,85,125,sell,0
2013-10,89,128,sell,0
2013-11,110,100,buy,1
2013-12,95,122,sell,0
2014-01,96,121,sell,0
2014-02,87,109,sell,0
2014-03,90,127,sell,0
2014-04,89,121,sell,0
2014-05,96,121,sell,0
2014-06,84,126,sell,0
2014-07,84,133,sell,0
2014-08,104,113,sell,0
2014-09,86,124,sell,0
2014-10,104,113,sell,0
2014-11,148,62,buy,1
2014-12,148,69,buy,1
2015-01,100,117,sell,0
2015-02,63,133,sell,0
2015-03,73,144,sell,0
2015-04,94,116,sell,0
2015-05,84,133,sell,0
2015-06,143,67,buy,1
2015-07,63,154,sell,0
2015-08,95,122,sell,0
2015-09,53,157,sell,0
2015-10,96,121,sell,0
2015-11,82,128,sell,0
2015-12,102,115,sell,0
2016-01,107,110,sell,0
2016-02,109,94,buy,1
2016-03,108,109,sell,0
2016-04,76,134,sell,0
2016-05,55,162,sell,0
2016-06,112,98,buy,1
2016-07,69,148,sell,0
2016-08,101,116,sell,0
2016-09,113,97,buy,1
2016-10,88,129,sell,0
2016-11,71,139,sell,0
2016-12,96,121,sell,0
2017-01,98,119,sell,0
2017-02,96,100,sell,0
2017-03,135,82,buy,1
2017-04,104,106,sell,0
2017-05,134,83,buy,1
2017-06,76,134,sell,0
2017-07,62,155,sell,0
2017-08,109,108,buy,1
2017-09,82,128,sell,0
2017-10,124,93,buy,1
2017-11,139,71,buy,1
2017-12,105,112,sell,0
2018-01,87,130,sell,0
2018-02,73,123,sell,0
2018-03,54,163,sell,0
2018-04,127,83,buy,1
2018-05,66,151,sell,0
2018-06,70,140,sell,0
2018-07,91,126,sell,0
2018-08,75,142,sell,0
2018-09,97,113,sell,0
2018-10,85,132,sell,0
2018-11,82,128,sell,0
2018-12,102,115,sell,0
2019-01,72,145,sell,0
2019-02,94,102,sell,0
2019-03,92,125,sell,0
2019-04,104,106,sell,0
2019-05,107,110,sell,0
2019-06,98,112,sell,0
2019-07,72,145,sell,0
2019-08,67,150,sell,0
2019-09,89,121,sell,0
2019-10,113,104,buy,1
2019-11,65,145,sell,0
2019-12,82,135,sell,0
2020-01,131,86,buy,1
2020-02,92,111,sell,0
2020-03,112,105,buy,1
2020-04,128,82,buy,1
2020-05,93,124,sell,0
2020-06,52,158,sell,0
2020-07,134,83,buy,1
2020-08,89,128,sell,0
2020-09,91,119,sell,0
2020-10,99,118,sell,0
2020-11,96,114,sell,0
2020-12,106,111,sell,0
2021-01,94,123,sell,0
2021-02,98,98,buy,1
2021-03,124,93,buy,1
2021-04,103,107,sell,0
2021-05,105,112,sell,0
2021-06,84,126,sell,0
2021-07,103,114,sell,0
2021-08,94,123,sell,0
2021-09,73,137,sell,0
2021-10,115,102,buy,1
2021-11,101,109,sell,0
2021-12,82,135,sell,0
2022-01,96,121,sell,0
2022-02,70,126,sell,0
2022-03,100,117,sell,0
2022-04,103,107,sell,0
2022-05,115,102,buy,1
2022-06,104,106,sell,0
2022-07,84,133,sell,0
2022-08,82,135,sell,0
2022-09,72,138,sell,0
2022-10,105,112,sell,0
2022-11,86,124,sell,0
2022-12,99,118,sell,0
