YearWeek,buy,sell,Action,ActionID
2010-01,29,20,buy,1
2010-02,24,25,sell,0
2010-03,25,24,buy,1
2010-04,24,25,sell,0
2010-05,18,31,sell,0
2010-06,26,23,buy,1
2010-07,25,24,buy,1
2010-08,25,24,buy,1
2010-09,16,33,sell,0
2010-10,19,30,sell,0
2010-11,28,21,buy,1
2010-12,20,29,sell,0
2010-13,27,22,buy,1
2010-14,27,22,buy,1
2010-15,24,25,sell,0
2010-16,27,22,buy,1
2010-17,32,17,buy,1
2010-18,26,23,buy,1
2010-19,28,21,buy,1
2010-20,30,19,buy,1
2010-21,28,21,buy,1
2010-22,22,27,sell,0
2010-23,20,29,sell,0
2010-24,19,30,sell,0
2010-25,17,32,sell,0
2010-26,12,37,sell,0
2010-27,20,29,sell,0
2010-28,18,31,sell,0
2010-29,18,31,sell,0
2010-30,27,22,buy,1
2010-31,19,30,sell,0
2010-32,15,34,sell,0
2010-33,20,29,sell,0
2010-34,19,30,sell,0
2010-35,22,27,sell,0
2010-36,18,31,sell,0
2010-37,25,24,buy,1
2010-38,16,33,sell,0
2010-39,31,18,buy,1
2010-40,18,31,sell,0
2010-41,23,26,sell,0
2010-42,17,32,sell,0
2010-43,25,24,buy,1
2010-44,22,27,sell,0
2010-45,20,29,sell,0
2010-46,34,15,buy,1
2010-47,30,19,buy,1
2010-48,29,20,buy,1
2010-49,25,24,buy,1
2010-50,24,25,sell,0
2010-51,20,29,sell,0
2010-52,16,19,sell,0
2010-53,12,9,buy,1
2011-01,24,25,sell,0
2011-02,16,33,sell,0
2011-03,23,26,sell,0
2011-04,18,31,sell,0
2011-05,21,28,sell,0
2011-06,15,34,sell,0
2011-07,26,23,buy,1
2011-08,22,27,sell,0
2011-09,22,27,sell,0
2011-10,19,30,sell,0
2011-11,28,21,buy,1
2011-12,24,25,sell,0
2011-13,18,31,sell,0
2011-14,22,27,sell,0
2011-15,24,25,sell,0
2011-16,16,33,sell,0
2011-17,18,31,sell,0
2011-18,24,25,sell,0
2011-19,28,21,buy,1
2011-20,28,21,buy,1
2011-21,28,21,buy,1
2011-22,22,27,sell,0
2011-23,22,27,sell,0
2011-24,21,28,sell,0
2011-25,17,32,sell,0
2011-26,18,31,sell,0
2011-27,21,28,sell,0
2011-28,18,31,sell,0
2011-29,20,29,sell,0
2011-30,23,26,sell,0
2011-31,13,36,sell,0
2011-32,25,24,buy,1
2011-33,22,27,sell,0
2011-34,20,29,sell,0
2011-35,24,25,sell,0
2011-36,16,33,sell,0
2011-37,23,26,sell,0
2011-38,19,30,sell,0
2011-39,20,29,sell,0
2011-40,24,25,sell,0
2011-41,23,26,sell,0
2011-42,17,32,sell,0
2011-43,19,30,sell,0
2011-44,22,27,sell,0
2011-45,32,17,buy,1
2011-46,23,26,sell,0
2011-47,16,33,sell,0
2011-48,21,28,sell,0
2011-49,18,31,sell,0
2011-50,22,27,sell,0
2011-51,15,34,sell,0
2011-52,20,36,sell,0
2012-01,29,27,buy,1
2012-02,25,24,buy,1
2012-03,18,31,sell,0
2012-04,24,25,sell,0
2012-05,21,28,sell,0
2012-06,31,18,buy,1
2012-07,23,26,sell,0
2012-08,23,26,sell,0
2012-09,25,24,buy,1
2012-10,23,26,sell,0
2012-11,21,28,sell,0
2012-12,25,24,buy,1
2012-13,17,32,sell,0
2012-14,22,27,sell,0
2012-15,24,25,sell,0
2012-16,21,28,sell,0
2012-17,21,28,sell,0
2012-18,24,25,sell,0
2012-19,22,27,sell,0
2012-20,23,26,sell,0
2012-21,20,29,sell,0
2012-22,15,34,sell,0
2012-23,14,35,sell,0
2012-24,21,28,sell,0
2012-25,24,25,sell,0
2012-26,21,28,sell,0
2012-27,23,26,sell,0
2012-28,17,32,sell,0
2012-29,14,35,sell,0
2012-30,34,15,buy,1
2012-31,24,25,sell,0
2012-32,22,27,sell,0
2012-33,18,31,sell,0
2012-34,17,32,sell,0
2012-35,28,21,buy,1
2012-36,31,18,buy,1
2012-37,24,25,sell,0
2012-38,22,27,sell,0
2012-39,25,24,buy,1
2012-40,23,26,sell,0
2012-41,21,28,sell,0
2012-42,17,32,sell,0
2012-43,19,30,sell,0
2012-44,20,29,sell,0
2012-45,27,22,buy,1
2012-46,23,26,sell,0
2012-47,19,30,sell,0
2012-48,23,26,sell,0
2012-49,18,31,sell,0
2012-50,21,28,sell,0
2012-51,35,14,buy,1
2012-52,30,26,buy,1
2013-01,23,33,sell,0
2013-02,29,20,buy,1
2013-03,28,21,buy,1
2013-04,22,27,sell,0
2013-05,18,31,sell,0
2013-06,18,31,sell,0
2013-07,21,28,sell,0
2013-08,20,29,sell,0
2013-09,24,25,sell,0
2013-10,21,28,sell,0
2013-11,17,32,sell,0
2013-12,12,37,sell,0
2013-13,22,27,sell,0
2013-14,24,25,sell,0
2013-15,14,35,sell,0
2013-16,19,30,sell,0
2013-17,32,17,buy,1
2013-18,29,20,buy,1
2013-19,29,20,buy,1
2013-20,25,24,buy,1
2013-21,17,32,sell,0
2013-22,24,25,sell,0
2013-23,18,31,sell,0
2013-24,17,32,sell,0
2013-25,22,27,sell,0
2013-26,26,23,buy,1
2013-27,21,28,sell,0
2013-28,27,22,buy,1
2013-29,17,32,sell,0
2013-30,21,28,sell,0
2013-31,22,27,sell,0
2013-32,22,27,sell,0
2013-33,18,31,sell,0
2013-34,23,26,sell,0
2013-35,20,29,sell,0
2013-36,24,25,sell,0
2013-37,26,23,buy,1
2013-38,24,25,sell,0
2013-39,25,24,buy,1
2013-40,20,29,sell,0
2013-41,23,26,sell,0
2013-42,15,34,sell,0
2013-43,21,28,sell,0
