YearMonth,buy,sell,Action,ActionID
2010-01,97,120,sell,0
2010-02,138,58,buy,1
2010-03,149,68,buy,1
2010-04,112,98,buy,1
2010-05,109,108,buy,1
2010-06,115,95,buy,1
2010-07,130,87,buy,1
2010-08,105,112,sell,0
2010-09,141,69,buy,1
2010-10,130,87,buy,1
2010-11,105,105,buy,1
2010-12,161,56,buy,1
2011-01,119,98,buy,1
2011-02,130,66,buy,1
2011-03,131,86,buy,1
2011-04,143,67,buy,1
2011-05,122,95,buy,1
2011-06,111,99,buy,1
2011-07,110,107,buy,1
2011-08,127,90,buy,1
2011-09,120,90,buy,1
2011-10,145,72,buy,1
2011-11,98,112,sell,0
2011-12,150,67,buy,1
2012-01,114,103,buy,1
2012-02,124,79,buy,1
2012-03,123,94,buy,1
2012-04,117,93,buy,1
2012-05,80,137,sell,0
2012-06,137,73,buy,1
2012-07,126,91,buy,1
2012-08,121,96,buy,1
2012-09,127,83,buy,1
2012-10,121,96,buy,1
2012-11,110,100,buy,1
2012-12,131,86,buy,1
2013-01,131,86,buy,1
2013-02,128,68,buy,1
2013-03,132,85,buy,1
2013-04,124,86,buy,1
2013-05,148,69,buy,1
2013-06,104,106,sell,0
2013-07,156,61,buy,1
2013-08,110,107,buy,1
2013-09,115,95,buy,1
2013-10,141,76,buy,1
2013-11,111,99,buy,1
2013-12,130,87,buy,1
2014-01,110,107,buy,1
2014-02,126,70,buy,1
2014-03,118,99,buy,1
2014-04,134,76,buy,1
2014-05,130,87,buy,1
2014-06,126,84,buy,1
2014-07,111,106,buy,1
2014-08,129,88,buy,1
2014-09,113,97,buy,1
2014-10,115,102,buy,1
2014-11,149,61,buy,1
2014-12,122,95,buy,1
2015-01,128,89,buy,1
2015-02,106,90,buy,1
2015-03,128,89,buy,1
2015-04,125,85,buy,1
2015-05,122,95,buy,1
2015-06,91,119,sell,0
2015-07,126,91,buy,1
2015-08,112,105,buy,1
2015-09,118,92,buy,1
2015-10,144,73,buy,1
2015-11,101,109,sell,0
2015-12,110,107,buy,1
2016-01,114,103,buy,1
2016-02,101,102,sell,0
2016-03,115,102,buy,1
2016-04,117,93,buy,1
2016-05,126,91,buy,1
2016-06,112,98,buy,1
2016-07,131,86,buy,1
2016-08,121,96,buy,1
2016-09,119,91,buy,1
2016-10,130,87,buy,1
2016-11,119,91,buy,1
2016-12,143,74,buy,1
2017-01,130,87,buy,1
2017-02,129,67,buy,1
2017-03,128,89,buy,1
2017-04,126,84,buy,1
2017-05,154,63,buy,1
2017-06,98,112,sell,0
2017-07,117,100,buy,1
2017-08,138,79,buy,1
2017-09,122,88,buy,1
2017-10,155,62,buy,1
2017-11,114,96,buy,1
2017-12,140,77,buy,1
2018-01,124,93,buy,1
2018-02,114,82,buy,1
2018-03,104,113,sell,0
2018-04,148,62,buy,1
2018-05,149,68,buy,1
2018-06,124,86,buy,1
2018-07,137,80,buy,1
2018-08,108,109,sell,0
2018-09,126,84,buy,1
2018-10,104,113,sell,0
2018-11,103,107,sell,0
2018-12,110,107,buy,1
2019-01,143,74,buy,1
2019-02,121,75,buy,1
2019-03,147,70,buy,1
2019-04,124,86,buy,1
2019-05,125,92,buy,1
2019-06,141,69,buy,1
2019-07,142,75,buy,1
2019-08,113,104,buy,1
2019-09,110,100,buy,1
2019-10,125,92,buy,1
2019-11,129,81,buy,1
2019-12,143,74,buy,1
2020-01,118,99,buy,1
2020-02,114,89,buy,1
2020-03,147,70,buy,1
2020-04,128,82,buy,1
2020-05,126,91,buy,1
2020-06,119,91,buy,1
2020-07,113,104,buy,1
2020-08,135,82,buy,1
2020-09,115,95,buy,1
2020-10,128,89,buy,1
2020-11,123,87,buy,1
2020-12,123,94,buy,1
2021-01,126,91,buy,1
2021-02,104,92,buy,1
2021-03,123,94,buy,1
2021-04,123,87,buy,1
2021-05,116,101,buy,1
2021-06,118,92,buy,1
2021-07,115,102,buy,1
2021-08,127,90,buy,1
2021-09,128,82,buy,1
2021-10,122,95,buy,1
2021-11,116,94,buy,1
2021-12,128,89,buy,1
2022-01,133,84,buy,1
2022-02,120,76,buy,1
2022-03,136,81,buy,1
2022-04,118,92,buy,1
2022-05,131,86,buy,1
2022-06,145,65,buy,1
2022-07,126,91,buy,1
2022-08,113,104,buy,1
2022-09,126,84,buy,1
2022-10,126,91,buy,1
2022-11,128,82,buy,1
2022-12,109,108,buy,1
