YearWeek,buy,sell,Action,ActionID
2010-01,23,19,buy,1
2010-02,13,29,sell,0
2010-03,19,23,sell,0
2010-04,21,21,buy,1
2010-05,20,21,sell,0
2010-06,20,22,sell,0
2010-07,26,16,buy,1
2010-08,8,34,sell,0
2010-09,32,10,buy,1
2010-10,17,25,sell,0
2010-11,16,26,sell,0
2010-12,24,18,buy,1
2010-13,20,22,sell,0
2010-14,21,21,buy,1
2010-15,20,22,sell,0
2010-16,18,24,sell,0
2010-17,23,19,buy,1
2010-18,15,27,sell,0
2010-19,13,29,sell,0
2010-20,30,12,buy,1
2010-21,13,29,sell,0
2010-22,8,34,sell,0
2010-23,16,23,sell,0
2010-24,28,14,buy,1
2010-25,18,24,sell,0
2010-26,26,16,buy,1
2010-27,25,17,buy,1
2010-28,14,28,sell,0
2010-29,28,14,buy,1
2010-30,31,11,buy,1
2010-31,20,22,sell,0
2010-32,10,32,sell,0
2010-33,20,22,sell,0
2010-34,25,17,buy,1
2010-35,34,8,buy,1
2010-36,30,12,buy,1
2010-37,19,23,sell,0
2010-38,21,21,buy,1
2010-39,10,32,sell,0
2010-40,27,15,buy,1
2010-41,16,26,sell,0
2010-42,40,2,buy,1
2010-43,24,18,buy,1
2010-44,15,27,sell,0
2010-45,26,16,buy,1
2010-46,22,20,buy,1
2010-47,3,39,sell,0
2010-48,24,18,buy,1
2010-49,31,11,buy,1
2010-50,9,33,sell,0
2010-51,23,19,buy,1
2010-52,19,11,buy,1
2010-53,9,9,buy,1
2011-01,17,25,sell,0
2011-02,33,9,buy,1
2011-03,27,15,buy,1
2011-04,34,8,buy,1
2011-05,11,31,sell,0
2011-06,23,19,buy,1
2011-07,25,17,buy,1
2011-08,22,20,buy,1
2011-09,12,28,sell,0
2011-10,23,19,buy,1
2011-11,22,20,buy,1
2011-12,32,10,buy,1
2011-13,13,29,sell,0
2011-14,36,6,buy,1
2011-15,19,23,sell,0
2011-16,25,17,buy,1
2011-17,32,10,buy,1
2011-18,15,24,sell,0
2011-19,15,27,sell,0
2011-20,23,19,buy,1
2011-21,23,19,buy,1
2011-22,24,18,buy,1
2011-23,13,29,sell,0
2011-24,29,13,buy,1
2011-25,17,25,sell,0
2011-26,35,7,buy,1
2011-27,10,32,sell,0
2011-28,20,22,sell,0
2011-29,31,11,buy,1
2011-30,22,20,buy,1
2011-31,16,26,sell,0
2011-32,20,22,sell,0
2011-33,22,20,buy,1
2011-34,5,37,sell,0
2011-35,21,21,buy,1
2011-36,15,27,sell,0
2011-37,15,27,sell,0
2011-38,22,20,buy,1
2011-39,26,16,buy,1
2011-40,19,23,sell,0
2011-41,19,22,sell,0
2011-42,14,27,sell,0
2011-43,23,19,buy,1
2011-44,11,30,sell,0
2011-45,36,6,buy,1
2011-46,27,15,buy,1
2011-47,6,36,sell,0
2011-48,31,11,buy,1
2011-49,26,16,buy,1
2011-50,12,30,sell,0
2011-51,29,13,buy,1
2011-52,21,27,sell,0
2012-01,11,37,sell,0
2012-02,18,24,sell,0
2012-03,17,25,sell,0
2012-04,30,12,buy,1
2012-05,24,16,buy,1
2012-06,24,18,buy,1
2012-07,23,19,buy,1
2012-08,14,28,sell,0
2012-09,20,22,sell,0
2012-10,18,24,sell,0
2012-11,24,18,buy,1
2012-12,11,31,sell,0
2012-13,17,25,sell,0
2012-14,8,34,sell,0
2012-15,16,26,sell,0
2012-16,27,15,buy,1
2012-17,24,18,buy,1
2012-18,32,10,buy,1
2012-19,26,16,buy,1
2012-20,8,34,sell,0
2012-21,10,32,sell,0
2012-22,8,34,sell,0
2012-23,20,22,sell,0
2012-24,34,8,buy,1
2012-25,32,10,buy,1
2012-26,32,10,buy,1
2012-27,14,28,sell,0
2012-28,26,16,buy,1
2012-29,27,11,buy,1
2012-30,28,14,buy,1
2012-31,13,29,sell,0
2012-32,15,27,sell,0
2012-33,29,13,buy,1
2012-34,11,31,sell,0
2012-35,25,17,buy,1
2012-36,31,11,buy,1
2012-37,31,11,buy,1
2012-38,21,21,buy,1
2012-39,10,32,sell,0
2012-40,34,8,buy,1
2012-41,23,19,buy,1
2012-42,26,16,buy,1
2012-43,21,21,buy,1
2012-44,28,14,buy,1
2012-45,13,29,sell,0
2012-46,26,16,buy,1
2012-47,31,11,buy,1
2012-48,15,27,sell,0
2012-49,15,27,sell,0
2012-50,30,12,buy,1
2012-51,27,14,buy,1
2012-52,26,21,buy,1
2013-01,31,17,buy,1
2013-02,21,21,buy,1
2013-03,23,19,buy,1
2013-04,23,19,buy,1
2013-05,11,31,sell,0
2013-06,22,20,buy,1
2013-07,24,17,buy,1
2013-08,20,21,sell,0
2013-09,33,9,buy,1
2013-10,23,19,buy,1
2013-11,21,20,buy,1
2013-12,23,19,buy,1
2013-13,11,31,sell,0
2013-14,23,19,buy,1
2013-15,29,13,buy,1
2013-16,26,16,buy,1
2013-17,27,15,buy,1
2013-18,27,14,buy,1
2013-19,32,10,buy,1
2013-20,22,20,buy,1
2013-21,13,26,sell,0
2013-22,26,16,buy,1
2013-23,40,2,buy,1
2013-24,17,23,sell,0
2013-25,18,24,sell,0
2013-26,16,26,sell,0
2013-27,25,17,buy,1
2013-28,19,23,sell,0
2013-29,19,23,sell,0
2013-30,41,1,buy,1
2013-31,22,20,buy,1
2013-32,26,16,buy,1
2013-33,14,28,sell,0
2013-34,15,27,sell,0
2013-35,16,26,sell,0
2013-36,26,15,buy,1
2013-37,27,15,buy,1
2013-38,22,20,buy,1
2013-39,26,16,buy,1
2013-40,29,13,buy,1
2013-41,30,12,buy,1
2013-42,34,8,buy,1
2013-43,13,29,sell,0
2013-44,24,18,buy,1
2013-45,26,16,buy,1
2013-46,14,28,sell,0
2013-47,30,12,buy,1
2013-48,26,16,buy,1
2013-49,9,31,sell,0
2013-50,32,7,buy,1
2013-51,22,18,buy,1
2013-52,29,12,buy,1
2014-01,22,25,sell,0
2014-02,33,9,buy,1
2014-03,30,12,buy,1
2014-04,19,21,sell,0
2014-05,8,34,sell,0
2014-06,33,8,buy,1
2014-07,12,30,sell,0
2014-08,22,20,buy,1
2014-09,23,19,buy,1
2014-10,25,17,buy,1
2014-11,13,29,sell,0
2014-12,31,11,buy,1
2014-13,28,14,buy,1
2014-14,32,10,buy,1
2014-15,14,28,sell,0
2014-16,19,23,sell,0
2014-17,19,23,sell,0
2014-18,26,16,buy,1
2014-19,19,23,sell,0
2014-20,18,24,sell,0
2014-21,14,28,sell,0
2014-22,25,17,buy,1
2014-23,27,15,buy,1
2014-24,21,21,buy,1
2014-25,30,12,buy,1
2014-26,19,23,sell,0
2014-27,27,15,buy,1
2014-28,19,23,sell,0
2014-29,25,17,buy,1
2014-30,25,17,buy,1
2014-31,19,23,sell,0
2014-32,19,23,sell,0
2014-33,14,25,sell,0
2014-34,30,12,buy,1
2014-35,20,22,sell,0
2014-36,31,11,buy,1
2014-37,19,23,sell,0
2014-38,24,18,buy,1
2014-39,22,20,buy,1
2014-40,17,25,sell,0
2014-41,22,20,buy,1
2014-42,26,16,buy,1
2014-43,33,9,buy,1
2014-44,13,29,sell,0
2014-45,17,25,sell,0
2014-46,26,16,buy,1
2014-47,31,10,buy,1
2014-48,25,16,buy,1
2014-49,22,19,buy,1
2014-50,16,26,sell,0
2014-51,20,22,sell,0
2014-52,26,16,buy,1
2015-01,12,12,buy,1
2015-02,22,20,buy,1
2015-03,25,16,buy,1
2015-04,28,14,buy,1
2015-05,22,20,buy,1
2015-06,27,15,buy,1
2015-07,31,11,buy,1
2015-08,30,12,buy,1
2015-09,21,21,buy,1
2015-10,19,23,sell,0
2015-11,26,16,buy,1
2015-12,26,16,buy,1
2015-13,22,20,buy,1
2015-14,29,13,buy,1
2015-15,21,21,buy,1
2015-16,17,25,sell,0
2015-17,22,20,buy,1
2015-18,13,29,sell,0
2015-19,25,17,buy,1
2015-20,15,27,sell,0
2015-21,28,14,buy,1
2015-22,18,24,sell,0
2015-23,13,29,sell,0
2015-24,19,23,sell,0
2015-25,24,18,buy,1
2015-26,27,15,buy,1
2015-27,20,22,sell,0
