YearMonth,buy,sell,Action,ActionID
2010-01,79,76,buy,1
2010-02,88,52,buy,1
2010-03,111,44,buy,1
2010-04,87,63,buy,1
2010-05,74,81,sell,0
2010-06,59,91,sell,0
2010-07,91,64,buy,1
2010-08,93,62,buy,1
2010-09,95,55,buy,1
2010-10,95,60,buy,1
2010-11,76,74,buy,1
2010-12,104,51,buy,1
2011-01,82,73,buy,1
2011-02,94,46,buy,1
2011-03,99,56,buy,1
2011-04,93,57,buy,1
2011-05,81,74,buy,1
2011-06,77,73,buy,1
2011-07,97,58,buy,1
2011-08,68,87,sell,0
2011-09,81,69,buy,1
2011-10,83,72,buy,1
2011-11,65,85,sell,0
2011-12,74,81,sell,0
2012-01,103,52,buy,1
2012-02,98,47,buy,1
2012-03,100,55,buy,1
2012-04,82,68,buy,1
2012-05,82,73,buy,1
2012-06,89,61,buy,1
2012-07,76,79,sell,0
2012-08,106,49,buy,1
2012-09,89,61,buy,1
2012-10,69,86,sell,0
2012-11,89,61,buy,1
2012-12,89,66,buy,1
2013-01,91,64,buy,1
2013-02,86,54,buy,1
2013-03,88,67,buy,1
2013-04,98,52,buy,1
2013-05,122,33,buy,1
2013-06,73,77,sell,0
2013-07,110,45,buy,1
2013-08,91,64,buy,1
2013-09,86,64,buy,1
2013-10,87,68,buy,1
2013-11,105,45,buy,1
2013-12,90,65,buy,1
2014-01,71,84,sell,0
2014-02,98,42,buy,1
2014-03,84,71,buy,1
2014-04,76,74,buy,1
2014-05,90,65,buy,1
2014-06,118,32,buy,1
2014-07,84,71,buy,1
2014-08,91,64,buy,1
2014-09,88,62,buy,1
2014-10,103,52,buy,1
2014-11,90,60,buy,1
2014-12,101,54,buy,1
2015-01,82,73,buy,1
2015-02,105,35,buy,1
2015-03,99,56,buy,1
2015-04,84,66,buy,1
2015-05,96,59,buy,1
2015-06,72,78,sell,0
2015-07,80,75,buy,1
2015-08,85,70,buy,1
2015-09,76,74,buy,1
2015-10,89,66,buy,1
2015-11,87,63,buy,1
2015-12,70,85,sell,0
2016-01,87,68,buy,1
2016-02,94,51,buy,1
2016-03,112,43,buy,1
2016-04,74,76,sell,0
2016-05,117,38,buy,1
2016-06,96,54,buy,1
2016-07,106,49,buy,1
2016-08,95,60,buy,1
2016-09,83,67,buy,1
2016-10,77,78,sell,0
2016-11,86,64,buy,1
2016-12,85,70,buy,1
2017-01,94,61,buy,1
2017-02,94,46,buy,1
2017-03,100,55,buy,1
2017-04,82,68,buy,1
2017-05,85,70,buy,1
2017-06,80,70,buy,1
2017-07,103,52,buy,1
2017-08,91,64,buy,1
2017-09,84,66,buy,1
2017-10,96,59,buy,1
2017-11,83,67,buy,1
2017-12,97,58,buy,1
2018-01,105,50,buy,1
2018-02,98,42,buy,1
2018-03,82,73,buy,1
2018-04,73,77,sell,0
2018-05,104,51,buy,1
2018-06,102,48,buy,1
2018-07,90,65,buy,1
2018-08,103,52,buy,1
2018-09,97,53,buy,1
2018-10,68,87,sell,0
2018-11,88,62,buy,1
2018-12,72,83,sell,0
2019-01,102,53,buy,1
2019-02,91,49,buy,1
2019-03,85,70,buy,1
2019-04,90,60,buy,1
2019-05,99,56,buy,1
2019-06,95,55,buy,1
2019-07,98,57,buy,1
2019-08,68,87,sell,0
2019-09,74,76,sell,0
2019-10,101,54,buy,1
2019-11,99,51,buy,1
2019-12,92,63,buy,1
2020-01,94,61,buy,1
2020-02,98,47,buy,1
2020-03,103,52,buy,1
2020-04,104,46,buy,1
2020-05,102,53,buy,1
2020-06,91,59,buy,1
2020-07,83,72,buy,1
2020-08,87,68,buy,1
2020-09,94,56,buy,1
2020-10,72,83,sell,0
2020-11,89,61,buy,1
2020-12,79,76,buy,1
2021-01,92,63,buy,1
2021-02,85,55,buy,1
2021-03,90,65,buy,1
2021-04,86,64,buy,1
2021-05,79,76,buy,1
2021-06,87,63,buy,1
2021-07,93,62,buy,1
2021-08,86,69,buy,1
2021-09,74,76,sell,0
2021-10,95,60,buy,1
2021-11,81,69,buy,1
2021-12,102,53,buy,1
2022-01,91,64,buy,1
2022-02,89,51,buy,1
2022-03,94,61,buy,1
2022-04,99,51,buy,1
2022-05,95,60,buy,1
2022-06,102,48,buy,1
2022-07,95,60,buy,1
2022-08,101,54,buy,1
2022-09,94,56,buy,1
2022-10,92,63,buy,1
2022-11,91,59,buy,1
2022-12,92,63,buy,1
