YearMonth,buy,sell,Action,ActionID
2010-01,122,93,buy,1
2010-02,91,103,sell,0
2010-03,139,76,buy,1
2010-04,111,99,buy,1
2010-05,95,120,sell,0
2010-06,122,88,buy,1
2010-07,113,104,buy,1
2010-08,105,109,sell,0
2010-09,125,84,buy,1
2010-10,106,111,sell,0
2010-11,139,70,buy,1
2010-12,121,95,buy,1
2011-01,116,99,buy,1
2011-02,121,75,buy,1
2011-03,121,93,buy,1
2011-04,116,94,buy,1
2011-05,119,98,buy,1
2011-06,111,99,buy,1
2011-07,127,90,buy,1
2011-08,107,110,sell,0
2011-09,113,96,buy,1
2011-10,129,88,buy,1
2011-11,102,106,sell,0
2011-12,122,93,buy,1
2012-01,140,77,buy,1
2012-02,143,60,buy,1
2012-03,122,95,buy,1
2012-04,108,102,buy,1
2012-05,75,141,sell,0
2012-06,136,74,buy,1
2012-07,83,129,sell,0
2012-08,127,90,buy,1
2012-09,112,98,buy,1
2012-10,117,100,buy,1
2012-11,113,97,buy,1
2012-12,134,82,buy,1
2013-01,123,94,buy,1
2013-02,118,77,buy,1
2013-03,123,92,buy,1
2013-04,129,80,buy,1
2013-05,130,86,buy,1
2013-06,124,85,buy,1
2013-07,115,102,buy,1
2013-08,106,110,sell,0
2013-09,135,75,buy,1
2013-10,130,87,buy,1
2013-11,121,89,buy,1
2013-12,108,103,buy,1
2014-01,88,128,sell,0
2014-02,92,102,sell,0
2014-03,107,106,buy,1
2014-04,105,103,buy,1
2014-05,128,88,buy,1
2014-06,110,97,buy,1
2014-07,134,83,buy,1
2014-08,109,108,buy,1
2014-09,140,70,buy,1
2014-10,94,120,sell,0
2014-11,122,87,buy,1
2014-12,117,100,buy,1
2015-01,130,81,buy,1
2015-02,111,85,buy,1
2015-03,120,96,buy,1
2015-04,118,91,buy,1
2015-05,143,74,buy,1
2015-06,104,106,sell,0
2015-07,137,80,buy,1
2015-08,105,112,sell,0
2015-09,100,110,sell,0
2015-10,147,70,buy,1
2015-11,129,81,buy,1
2015-12,106,111,sell,0
2016-01,109,108,buy,1
2016-02,99,104,sell,0
2016-03,109,106,buy,1
2016-04,109,101,buy,1
2016-05,114,103,buy,1
2016-06,108,101,buy,1
2016-07,134,83,buy,1
2016-08,115,99,buy,1
2016-09,102,106,sell,0
2016-10,148,68,buy,1
2016-11,108,101,buy,1
2016-12,107,110,sell,0
2017-01,138,79,buy,1
2017-02,103,93,buy,1
2017-03,108,109,sell,0
2017-04,113,97,buy,1
2017-05,106,111,sell,0
2017-06,146,64,buy,1
2017-07,118,99,buy,1
2017-08,113,104,buy,1
2017-09,103,107,sell,0
2017-10,132,85,buy,1
2017-11,107,103,buy,1
2017-12,110,105,buy,1
2018-01,92,123,sell,0
2018-02,108,88,buy,1
2018-03,131,83,buy,1
2018-04,139,71,buy,1
2018-05,111,106,buy,1
2018-06,104,106,sell,0
2018-07,123,94,buy,1
2018-08,120,97,buy,1
2018-09,113,94,buy,1
2018-10,97,120,sell,0
2018-11,145,65,buy,1
2018-12,96,121,sell,0
2019-01,110,107,buy,1
2019-02,114,82,buy,1
2019-03,103,114,sell,0
2019-04,149,60,buy,1
2019-05,111,105,buy,1
2019-06,115,92,buy,1
2019-07,122,94,buy,1
2019-08,125,89,buy,1
2019-09,144,66,buy,1
2019-10,131,86,buy,1
2019-11,116,93,buy,1
2019-12,127,90,buy,1
2020-01,113,104,buy,1
2020-02,98,105,sell,0
2020-03,105,112,sell,0
2020-04,105,105,buy,1
2020-05,148,69,buy,1
2020-06,85,111,sell,0
2020-07,117,99,buy,1
2020-08,143,74,buy,1
2020-09,120,90,buy,1
2020-10,112,105,buy,1
2020-11,101,109,sell,0
2020-12,125,92,buy,1
2021-01,117,96,buy,1
2021-02,104,92,buy,1
2021-03,134,83,buy,1
2021-04,106,103,buy,1
2021-05,131,86,buy,1
2021-06,100,102,sell,0
2021-07,103,113,sell,0
2021-08,123,94,buy,1
2021-09,121,89,buy,1
2021-10,104,113,sell,0
2021-11,116,94,buy,1
2021-12,118,98,buy,1
2022-01,134,83,buy,1
2022-02,102,94,buy,1
2022-03,110,107,buy,1
2022-04,105,105,buy,1
2022-05,141,76,buy,1
2022-06,131,79,buy,1
2022-07,123,94,buy,1
2022-08,118,99,buy,1
2022-09,125,84,buy,1
2022-10,115,102,buy,1
2022-11,120,90,buy,1
2022-12,97,120,sell,0
