YearWeek,buy,sell,Action,ActionID
2010-01,32,9,buy,1
2010-02,35,7,buy,1
2010-03,13,27,sell,0
2010-04,6,36,sell,0
2010-05,12,30,sell,0
2010-06,14,27,sell,0
2010-07,14,28,sell,0
2010-08,24,16,buy,1
2010-09,26,15,buy,1
2010-10,22,19,buy,1
2010-11,24,18,buy,1
2010-12,20,22,sell,0
2010-13,32,10,buy,1
2010-14,26,13,buy,1
2010-15,7,34,sell,0
2010-16,4,38,sell,0
2010-17,33,5,buy,1
2010-18,9,33,sell,0
2010-19,18,16,buy,1
2010-20,9,33,sell,0
2010-21,13,28,sell,0
2010-22,31,11,buy,1
2010-23,23,16,buy,1
2010-24,29,13,buy,1
2010-25,28,14,buy,1
2010-26,10,29,sell,0
2010-27,28,14,buy,1
2010-28,24,17,buy,1
2010-29,16,26,sell,0
2010-30,17,18,sell,0
2010-31,21,21,buy,1
2010-32,23,15,buy,1
2010-33,16,26,sell,0
2010-34,15,27,sell,0
2010-35,17,18,sell,0
2010-36,23,17,buy,1
2010-37,20,22,sell,0
2010-38,25,14,buy,1
2010-39,16,25,sell,0
2010-40,26,16,buy,1
2010-41,13,29,sell,0
2010-42,19,23,sell,0
2010-43,23,14,buy,1
2010-44,36,6,buy,1
2010-45,28,14,buy,1
2010-46,23,19,buy,1
2010-47,28,13,buy,1
2010-48,17,25,sell,0
2010-49,5,36,sell,0
2010-50,21,18,buy,1
2010-51,18,24,sell,0
2010-52,17,9,buy,1
2010-53,7,11,sell,0
2011-01,36,6,buy,1
2011-02,23,19,buy,1
2011-03,13,26,sell,0
2011-04,20,22,sell,0
2011-05,26,16,buy,1
2011-06,17,25,sell,0
2011-07,26,16,buy,1
2011-08,18,20,sell,0
2011-09,21,17,buy,1
2011-10,20,22,sell,0
2011-11,18,24,sell,0
2011-12,17,25,sell,0
2011-13,21,18,buy,1
2011-14,18,24,sell,0
2011-15,25,14,buy,1
2011-16,26,16,buy,1
2011-17,21,19,buy,1
2011-18,29,13,buy,1
2011-19,9,31,sell,0
2011-20,26,16,buy,1
2011-21,25,17,buy,1
2011-22,25,17,buy,1
2011-23,19,23,sell,0
2011-24,17,25,sell,0
2011-25,32,10,buy,1
2011-26,12,30,sell,0
2011-27,30,12,buy,1
2011-28,34,8,buy,1
2011-29,19,23,sell,0
2011-30,19,23,sell,0
2011-31,24,18,buy,1
2011-32,12,30,sell,0
2011-33,8,34,sell,0
2011-34,20,22,sell,0
2011-35,23,19,buy,1
2011-36,12,30,sell,0
2011-37,25,17,buy,1
2011-38,20,22,sell,0
2011-39,23,19,buy,1
2011-40,20,22,sell,0
2011-41,26,16,buy,1
2011-42,16,25,sell,0
2011-43,30,12,buy,1
2011-44,30,12,buy,1
2011-45,1,38,sell,0
2011-46,16,26,sell,0
2011-47,32,10,buy,1
2011-48,31,11,buy,1
2011-49,14,25,sell,0
2011-50,12,20,sell,0
2011-51,18,24,sell,0
2011-52,32,11,buy,1
2012-01,30,18,buy,1
2012-02,28,14,buy,1
2012-03,32,10,buy,1
2012-04,12,30,sell,0
2012-05,32,10,buy,1
2012-06,17,25,sell,0
2012-07,31,11,buy,1
2012-08,28,12,buy,1
2012-09,13,25,sell,0
2012-10,25,17,buy,1
2012-11,33,9,buy,1
2012-12,27,15,buy,1
2012-13,19,22,sell,0
2012-14,15,27,sell,0
2012-15,30,12,buy,1
2012-16,24,18,buy,1
2012-17,16,25,sell,0
2012-18,9,27,sell,0
2012-19,16,26,sell,0
2012-20,14,28,sell,0
2012-21,10,32,sell,0
2012-22,16,25,sell,0
2012-23,19,23,sell,0
2012-24,29,13,buy,1
2012-25,23,19,buy,1
2012-26,33,9,buy,1
2012-27,16,26,sell,0
2012-28,20,19,buy,1
2012-29,13,16,sell,0
2012-30,4,38,sell,0
2012-31,23,16,buy,1
2012-32,32,9,buy,1
2012-33,35,7,buy,1
2012-34,29,13,buy,1
2012-35,15,27,sell,0
2012-36,7,35,sell,0
2012-37,37,5,buy,1
2012-38,23,18,buy,1
2012-39,21,21,buy,1
2012-40,10,32,sell,0
2012-41,4,38,sell,0
2012-42,37,5,buy,1
2012-43,29,13,buy,1
2012-44,13,28,sell,0
2012-45,11,28,sell,0
2012-46,29,12,buy,1
2012-47,16,25,sell,0
2012-48,16,26,sell,0
2012-49,29,13,buy,1
2012-50,24,18,buy,1
2012-51,20,22,sell,0
2012-52,31,17,buy,1
2013-01,27,21,buy,1
2013-02,28,14,buy,1
2013-03,9,33,sell,0
2013-04,19,23,sell,0
2013-05,31,11,buy,1
2013-06,26,16,buy,1
2013-07,25,13,buy,1
2013-08,31,11,buy,1
2013-09,22,20,buy,1
2013-10,22,20,buy,1
2013-11,16,25,sell,0
2013-12,17,24,sell,0
2013-13,17,25,sell,0
2013-14,24,17,buy,1
2013-15,29,13,buy,1
2013-16,27,15,buy,1
2013-17,23,19,buy,1
2013-18,11,30,sell,0
2013-19,35,7,buy,1
2013-20,34,8,buy,1
2013-21,26,10,buy,1
2013-22,6,36,sell,0
2013-23,25,17,buy,1
2013-24,27,13,buy,1
2013-25,31,10,buy,1
2013-26,22,19,buy,1
2013-27,27,15,buy,1
2013-28,25,17,buy,1
2013-29,24,15,buy,1
2013-30,5,36,sell,0
2013-31,29,13,buy,1
2013-32,10,32,sell,0
2013-33,32,10,buy,1
2013-34,22,20,buy,1
2013-35,23,19,buy,1
2013-36,24,16,buy,1
2013-37,28,14,buy,1
2013-38,18,24,sell,0
2013-39,29,13,buy,1
2013-40,26,16,buy,1
2013-41,30,12,buy,1
2013-42,13,28,sell,0
2013-43,12,28,sell,0
2013-44,24,18,buy,1
2013-45,25,17,buy,1
2013-46,36,5,buy,1
2013-47,23,18,buy,1
2013-48,26,16,buy,1
2013-49,12,26,sell,0
2013-50,13,20,sell,0
2013-51,16,14,buy,1
2013-52,15,27,sell,0
2014-01,17,29,sell,0
2014-02,16,26,sell,0
2014-03,11,31,sell,0
2014-04,16,22,sell,0
2014-05,3,37,sell,0
2014-06,9,27,sell,0
2014-07,12,30,sell,0
2014-08,24,18,buy,1
2014-09,25,17,buy,1
2014-10,25,16,buy,1
2014-11,11,31,sell,0
2014-12,7,33,sell,0
2014-13,26,16,buy,1
2014-14,34,7,buy,1
2014-15,4,38,sell,0
2014-16,29,13,buy,1
2014-17,23,13,buy,1
2014-18,15,27,sell,0
2014-19,27,15,buy,1
2014-20,18,24,sell,0
2014-21,28,11,buy,1
2014-22,36,6,buy,1
2014-23,11,31,sell,0
2014-24,17,24,sell,0
2014-25,20,13,buy,1
2014-26,20,22,sell,0
2014-27,13,26,sell,0
2014-28,31,11,buy,1
2014-29,23,19,buy,1
2014-30,16,25,sell,0
2014-31,25,17,buy,1
