YearMonth,buy,sell,Action,ActionID
2010-01,104,112,sell,0
2010-02,111,82,buy,1
2010-03,156,60,buy,1
2010-04,135,73,buy,1
2010-05,100,107,sell,0
2010-06,128,82,buy,1
2010-07,136,78,buy,1
2010-08,121,88,buy,1
2010-09,145,63,buy,1
2010-10,99,114,sell,0
2010-11,94,116,sell,0
2010-12,116,99,buy,1
2011-01,95,122,sell,0
2011-02,85,111,sell,0
2011-03,135,79,buy,1
2011-04,114,94,buy,1
2011-05,100,117,sell,0
2011-06,128,81,buy,1
2011-07,119,91,buy,1
2011-08,79,138,sell,0
2011-09,84,125,sell,0
2011-10,117,99,buy,1
2011-11,95,115,sell,0
2011-12,96,114,sell,0
2012-01,125,89,buy,1
2012-02,123,80,buy,1
2012-03,101,115,sell,0
2012-04,105,103,buy,1
2012-05,131,86,buy,1
2012-06,123,87,buy,1
2012-07,81,132,sell,0
2012-08,140,75,buy,1
2012-09,139,69,buy,1
2012-10,135,82,buy,1
2012-11,123,87,buy,1
2012-12,110,105,buy,1
2013-01,135,82,buy,1
2013-02,101,95,buy,1
2013-03,122,90,buy,1
2013-04,113,96,buy,1
2013-05,113,102,buy,1
2013-06,106,104,buy,1
2013-07,109,105,buy,1
2013-08,105,110,sell,0
2013-09,106,100,buy,1
2013-10,135,82,buy,1
2013-11,125,85,buy,1
2013-12,109,96,buy,1
2014-01,109,104,buy,1
2014-02,104,92,buy,1
2014-03,155,62,buy,1
2014-04,110,99,buy,1
2014-05,109,107,buy,1
2014-06,119,90,buy,1
2014-07,124,93,buy,1
2014-08,128,89,buy,1
2014-09,117,89,buy,1
2014-10,108,106,buy,1
2014-11,118,90,buy,1
2014-12,91,126,sell,0
2015-01,122,92,buy,1
2015-02,98,90,buy,1
2015-03,90,126,sell,0
2015-04,83,127,sell,0
2015-05,122,95,buy,1
2015-06,144,66,buy,1
2015-07,129,88,buy,1
2015-08,86,130,sell,0
2015-09,122,88,buy,1
2015-10,95,122,sell,0
2015-11,124,86,buy,1
2015-12,122,95,buy,1
2016-01,84,133,sell,0
2016-02,88,110,sell,0
2016-03,126,89,buy,1
2016-04,105,102,buy,1
2016-05,119,98,buy,1
2016-06,128,80,buy,1
2016-07,116,97,buy,1
2016-08,98,115,sell,0
2016-09,113,95,buy,1
2016-10,116,101,buy,1
2016-11,105,101,buy,1
2016-12,122,93,buy,1
2017-01,114,101,buy,1
2017-02,108,84,buy,1
2017-03,112,99,buy,1
2017-04,95,112,sell,0
2017-05,112,104,buy,1
2017-06,124,86,buy,1
2017-07,136,81,buy,1
2017-08,102,113,sell,0
2017-09,102,108,sell,0
2017-10,108,108,buy,1
2017-11,101,108,sell,0
2017-12,99,118,sell,0
2018-01,133,80,buy,1
2018-02,117,79,buy,1
2018-03,100,115,sell,0
2018-04,129,81,buy,1
2018-05,107,105,buy,1
2018-06,114,94,buy,1
2018-07,120,94,buy,1
2018-08,137,78,buy,1
2018-09,79,131,sell,0
2018-10,95,120,sell,0
2018-11,121,89,buy,1
2018-12,115,102,buy,1
2019-01,85,132,sell,0
2019-02,108,88,buy,1
2019-03,112,105,buy,1
2019-04,111,95,buy,1
2019-05,128,87,buy,1
2019-06,116,92,buy,1
2019-07,80,136,sell,0
2019-08,94,122,sell,0
2019-09,132,78,buy,1
2019-10,121,94,buy,1
2019-11,102,104,sell,0
2019-12,115,102,buy,1
2020-01,101,115,sell,0
2020-02,85,100,sell,0
2020-03,100,117,sell,0
2020-04,107,103,buy,1
2020-05,86,129,sell,0
2020-06,109,99,buy,1
2020-07,103,113,sell,0
2020-08,130,87,buy,1
2020-09,113,97,buy,1
2020-10,134,82,buy,1
2020-11,111,99,buy,1
2020-12,119,98,buy,1
2021-01,99,116,sell,0
2021-02,113,83,buy,1
2021-03,112,104,buy,1
2021-04,113,97,buy,1
2021-05,121,96,buy,1
2021-06,111,92,buy,1
2021-07,117,99,buy,1
2021-08,109,103,buy,1
2021-09,120,88,buy,1
2021-10,95,122,sell,0
2021-11,112,98,buy,1
2021-12,115,102,buy,1
2022-01,110,106,buy,1
2022-02,108,88,buy,1
2022-03,109,108,buy,1
2022-04,110,100,buy,1
2022-05,110,107,buy,1
2022-06,99,110,sell,0
2022-07,123,94,buy,1
2022-08,116,101,buy,1
2022-09,111,99,buy,1
2022-10,108,109,sell,0
2022-11,98,112,sell,0
2022-12,120,97,buy,1
