YearWeek,buy,sell,Action,ActionID
2010-01,752,716,buy,1
2010-02,712,758,sell,0
2010-03,659,811,sell,0
2010-04,683,787,sell,0
2010-05,645,800,sell,0
2010-06,707,760,sell,0
2010-07,793,671,buy,1
2010-08,704,758,sell,0
2010-09,832,634,buy,1
2010-10,760,703,buy,1
2010-11,670,800,sell,0
2010-12,778,689,buy,1
2010-13,765,705,buy,1
2010-14,757,709,buy,1
2010-15,694,765,sell,0
2010-16,752,707,buy,1
2010-17,708,758,sell,0
2010-18,624,844,sell,0
2010-19,639,784,sell,0
2010-20,607,861,sell,0
2010-21,730,693,buy,1
2010-22,707,753,sell,0
2010-23,729,712,buy,1
2010-24,767,700,buy,1
2010-25,563,906,sell,0
2010-26,620,847,sell,0
2010-27,811,659,buy,1
2010-28,704,734,sell,0
2010-29,769,694,buy,1
2010-30,707,748,sell,0
2010-31,796,672,buy,1
2010-32,772,668,buy,1
2010-33,739,730,buy,1
2010-34,757,705,buy,1
2010-35,756,650,buy,1
2010-36,775,693,buy,1
2010-37,753,712,buy,1
2010-38,805,648,buy,1
2010-39,620,848,sell,0
2010-40,723,740,sell,0
2010-41,772,679,buy,1
2010-42,742,728,buy,1
2010-43,748,712,buy,1
2010-44,798,667,buy,1
2010-45,585,878,sell,0
2010-46,728,742,sell,0
2010-47,654,807,sell,0
2010-48,754,705,buy,1
2010-49,755,710,buy,1
2010-50,705,764,sell,0
2010-51,741,718,buy,1
2010-52,525,515,buy,1
2010-53,318,306,buy,1
2011-01,710,760,sell,0
2011-02,703,767,sell,0
2011-03,757,710,buy,1
2011-04,647,822,sell,0
2011-05,768,702,buy,1
2011-06,715,754,sell,0
2011-07,756,712,buy,1
2011-08,685,778,sell,0
2011-09,701,745,sell,0
2011-10,714,754,sell,0
2011-11,723,747,sell,0
2011-12,870,590,buy,1
2011-13,798,650,buy,1
2011-14,706,762,sell,0
2011-15,679,770,sell,0
2011-16,726,741,sell,0
2011-17,717,749,sell,0
2011-18,635,821,sell,0
2011-19,673,795,sell,0
2011-20,704,766,sell,0
2011-21,756,711,buy,1
2011-22,655,813,sell,0
2011-23,662,806,sell,0
2011-24,758,702,buy,1
2011-25,701,768,sell,0
2011-26,828,639,buy,1
2011-27,721,749,sell,0
2011-28,644,822,sell,0
2011-29,730,698,buy,1
2011-30,642,827,sell,0
2011-31,513,957,sell,0
2011-32,670,800,sell,0
2011-33,727,741,sell,0
2011-34,692,775,sell,0
2011-35,719,742,sell,0
2011-36,657,801,sell,0
2011-37,734,734,buy,1
2011-38,697,773,sell,0
2011-39,663,806,sell,0
2011-40,752,711,buy,1
2011-41,764,688,buy,1
2011-42,619,832,sell,0
2011-43,711,758,sell,0
2011-44,639,825,sell,0
2011-45,737,724,buy,1
2011-46,608,862,sell,0
2011-47,699,770,sell,0
2011-48,820,643,buy,1
2011-49,670,777,sell,0
2011-50,653,762,sell,0
2011-51,734,736,sell,0
2011-52,744,913,sell,0
2012-01,944,717,buy,1
2012-02,673,796,sell,0
2012-03,847,623,buy,1
2012-04,758,710,buy,1
2012-05,721,737,sell,0
2012-06,780,689,buy,1
2012-07,829,641,buy,1
2012-08,808,661,buy,1
2012-09,709,755,sell,0
2012-10,752,718,buy,1
2012-11,743,726,buy,1
2012-12,748,722,buy,1
2012-13,736,727,buy,1
2012-14,642,822,sell,0
2012-15,637,833,sell,0
2012-16,701,768,sell,0
2012-17,684,780,sell,0
2012-18,660,805,sell,0
2012-19,740,727,buy,1
2012-20,533,937,sell,0
2012-21,612,854,sell,0
2012-22,666,793,sell,0
2012-23,769,700,buy,1
2012-24,728,736,sell,0
2012-25,744,723,buy,1
2012-26,730,740,sell,0
2012-27,692,778,sell,0
2012-28,672,790,sell,0
2012-29,595,804,sell,0
2012-30,737,729,buy,1
2012-31,768,693,buy,1
2012-32,783,673,buy,1
2012-33,810,660,buy,1
2012-34,728,741,sell,0
2012-35,683,784,sell,0
2012-36,797,673,buy,1
2012-37,775,690,buy,1
2012-38,679,765,sell,0
2012-39,635,832,sell,0
2012-40,729,741,sell,0
2012-41,709,761,sell,0
2012-42,734,735,sell,0
2012-43,684,786,sell,0
2012-44,709,761,sell,0
2012-45,660,806,sell,0
2012-46,691,776,sell,0
2012-47,728,740,sell,0
2012-48,740,729,buy,1
2012-49,729,721,buy,1
2012-50,751,719,buy,1
2012-51,754,708,buy,1
2012-52,844,831,buy,1
2013-01,853,826,buy,1
2013-02,742,720,buy,1
2013-03,738,729,buy,1
2013-04,788,676,buy,1
2013-05,687,781,sell,0
2013-06,739,731,buy,1
2013-07,694,756,sell,0
2013-08,700,761,sell,0
2013-09,731,738,sell,0
2013-10,703,763,sell,0
2013-11,706,712,sell,0
2013-12,748,712,buy,1
2013-13,728,741,sell,0
2013-14,727,737,sell,0
2013-15,777,692,buy,1
2013-16,808,662,buy,1
2013-17,844,626,buy,1
2013-18,802,657,buy,1
2013-19,758,708,buy,1
2013-20,801,662,buy,1
2013-21,735,699,buy,1
2013-22,737,727,buy,1
2013-23,670,800,sell,0
2013-24,667,786,sell,0
2013-25,636,829,sell,0
2013-26,682,786,sell,0
2013-27,772,698,buy,1
2013-28,726,718,buy,1
2013-29,750,712,buy,1
2013-30,709,755,sell,0
2013-31,735,733,buy,1
2013-32,676,792,sell,0
2013-33,713,751,sell,0
2013-34,782,682,buy,1
2013-35,715,754,sell,0
