
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-03  0.36   Ceres     Direct 443  435   878     0.50      0.50
 2: 2021-02-03  0.04  Chiron     Direct 327  317   644     0.51      0.49
 3: 2021-02-03  0.26    Juno     Direct 481  519  1000     0.48      0.52
 4: 2021-02-03  0.24 Jupiter     Direct 401  397   798     0.50      0.50
 5: 2021-02-03  0.54    Mars     Direct 526  531  1057     0.50      0.50
 6: 2021-02-03 -0.62 Mercury Retrograde 109  113   222     0.49      0.51
 7: 2021-02-03 14.17    Moon     Direct 594  619  1213     0.49      0.51
 8: 2021-02-03  0.03 Neptune     Direct 315  311   626     0.50      0.50
 9: 2021-02-03  1.00   NNode     Direct 594  619  1213     0.49      0.51
10: 2021-02-03  0.34  Pallas     Direct 418  475   893     0.47      0.53
11: 2021-02-03  0.03  Pholus     Direct 329  336   665     0.49      0.51
12: 2021-02-03  0.03   Pluto     Direct 333  333   666     0.50      0.50
13: 2021-02-03  0.12  Saturn     Direct 371  362   733     0.51      0.49
14: 2021-02-03  1.00   SNode     Direct 594  619  1213     0.49      0.51
15: 2021-02-03  1.01     Sun     Direct 594  619  1213     0.49      0.51
16: 2021-02-03  0.02  Uranus     Direct 308  319   627     0.49      0.51
17: 2021-02-03  1.25   Venus     Direct 539  568  1107     0.49      0.51
18: 2021-02-03 -0.12   Vesta Retrograde  86  107   193     0.45      0.55

DAILY PLANET ZODIAC SIGN POSITION:

    pID       Date  Planet     ZodSign Buy Sell DaysN BuyDays% SellDays%
 1:  CE 2021-02-03   Ceres      Pisces 134  107   241     0.56      0.44
 2:  CH 2021-02-03  Chiron       Aries 434  437   871     0.50      0.50
 3:  JN 2021-02-03    Juno Sagittarius  23   22    45     0.51      0.49
 4:  JU 2021-02-03 Jupiter    Aquarius  22   22    44     0.50      0.50
 5:  MA 2021-02-03    Mars      Taurus  44   27    71     0.62      0.38
 6:  ME 2021-02-03 Mercury    Aquarius  41   48    89     0.46      0.54
 7:  MO 2021-02-03    Moon       Libra  51   44    95     0.54      0.46
 8:  NE 2021-02-03 Neptune      Pisces 594  619  1213     0.49      0.51
 9:  NN 2021-02-03   NNode      Gemini 121  118   239     0.51      0.49
10:  PA 2021-02-03  Pallas    Aquarius  52   37    89     0.58      0.42
11:  PH 2021-02-03  Pholus   Capricorn 422  418   840     0.50      0.50
12:  PL 2021-02-03   Pluto   Capricorn 594  619  1213     0.49      0.51
13:  SA 2021-02-03  Saturn    Aquarius  88   58   146     0.60      0.40
14:  SN 2021-02-03   SNode Sagittarius 121  118   239     0.51      0.49
15:  SU 2021-02-03     Sun    Aquarius  47   54   101     0.47      0.53
16:  UR 2021-02-03  Uranus      Taurus 436  433   869     0.50      0.50
17:  VE 2021-02-03   Venus    Aquarius  41   31    72     0.57      0.43
18:  VS 2021-02-03   Vesta       Virgo  52   50   102     0.51      0.49

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-03    0.88   0.28   1.48         0       5         2        6    Moon  Pholus     Quintile  50   38    88     0.57      0.43
 2: 2021-02-03    0.96   0.25   2.00         0       5         2        6    Moon  Saturn    BiSeptile  45   44    89     0.51      0.49
 3: 2021-02-03    1.00   0.12   1.85         0       6         3        7    Moon   Ceres     Quincunx  47   40    87     0.54      0.46
 4: 2021-02-03    0.40   0.01   0.90         0      23         4       24     Sun   Vesta   BiQuintile   8   10    18     0.44      0.56
 5: 2021-02-03    0.08   0.00   0.19         0      23         4       24   Vesta  Saturn SesquiSquare  38   29    67     0.57      0.43
 6: 2021-02-03    0.93   0.15   1.70         4       9         6        6    Moon Mercury        Trine  44   43    87     0.51      0.49
 7: 2021-02-03    1.04   0.20   1.98         3       9         6        7    Moon Neptune   BiQuintile  42   47    89     0.47      0.53
 8: 2021-02-03    1.03   0.14   1.92         3       9         6        7    Moon   Pluto       Square  48   44    92     0.52      0.48
 9: 2021-02-03    0.39   0.02   0.91         0      23         6       24   Venus   NNode SesquiSquare  12   13    25     0.48      0.52
10: 2021-02-03    0.39   0.02   0.91         0      23         6       24   Venus   SNode   SemiSquare  12   13    25     0.48      0.52
11: 2021-02-03    0.21   0.01   0.51         0      23         7       24 Mercury   Pluto  SemiSextile  20   15    35     0.57      0.43
12: 2021-02-03    1.05   0.19   1.99         5      11         8        7    Moon   Vesta SemiQuintile  45   44    89     0.51      0.49
13: 2021-02-03    1.01   0.13   1.87         7      13        10        7    Moon Jupiter    BiSeptile  42   48    90     0.47      0.53
14: 2021-02-03    1.03   0.25   1.99         9      15        12        7    Moon    Juno   SemiSquare  38   48    86     0.44      0.56
15: 2021-02-03    1.00   0.12   1.85        10      16        13        7    Moon   Ceres   BiQuintile  42   49    91     0.46      0.54
16: 2021-02-03    0.08   0.00   0.18         0      23        16       24    Mars    Juno     Quincunx  12    9    21     0.57      0.43
17: 2021-02-03    1.04   0.15   1.93        15      21        18        7    Moon   NNode SesquiSquare  44   48    92     0.48      0.52
18: 2021-02-03    1.04   0.15   1.93        15      21        18        7    Moon   SNode   SemiSquare  44   48    92     0.48      0.52
19: 2021-02-03    0.95   0.09   1.74        15      21        18        7    Moon     Sun    BiSeptile  44   40    84     0.52      0.48
20: 2021-02-03    0.26   0.01   0.56         0      23        19       24 Mercury  Uranus     Quintile  13   11    24     0.54      0.46
21: 2021-02-03    0.93   0.05   1.66        16      22        19        7    Moon   Venus       Square  37   49    86     0.43      0.57
22: 2021-02-03    0.78   0.22   1.55        19      23        22        5    Moon Neptune SesquiSquare  44   45    89     0.49      0.51
23: 2021-02-03    0.84   0.09   1.68        20      23        23        4    Moon  Pholus      Sextile  49   39    88     0.56      0.44
24: 2021-02-03    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 594  619  1213     0.49      0.51
25: 2021-02-03    0.22   0.07   0.36         0      23        23       24  Pallas Neptune  SemiSextile   3    1     4     0.75      0.25
26: 2021-02-03    0.95   0.94   0.96         0      23        NA       24  Chiron  Pholus       Square 227  226   453     0.50      0.50
