
DAILY PLANET SPEED PHASE:

          Date speed  Planet SpeedPhase  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06  0.37   Ceres     Direct 5116 4651  9767     0.52      0.48
 2: 2021-02-06  0.04  Chiron     Direct 3884 3563  7447     0.52      0.48
 3: 2021-02-06  0.25    Juno     Direct 5068 4643  9711     0.52      0.48
 4: 2021-02-06  0.24 Jupiter     Direct 4465 3993  8458     0.53      0.47
 5: 2021-02-06  0.54    Mars     Direct 5967 5428 11395     0.52      0.48
 6: 2021-02-06 -1.04 Mercury Retrograde 1319 1143  2462     0.54      0.46
 7: 2021-02-06 14.02    Moon     Direct 6736 6146 12882     0.52      0.48
 8: 2021-02-06  0.03 Neptune     Direct 3450 3112  6562     0.53      0.47
 9: 2021-02-06  1.00   NNode     Direct 6736 6146 12882     0.52      0.48
10: 2021-02-06  0.34  Pallas     Direct 5075 4522  9597     0.53      0.47
11: 2021-02-06  0.03  Pholus     Direct 3761 3475  7236     0.52      0.48
12: 2021-02-06  0.03   Pluto     Direct 3488 3179  6667     0.52      0.48
13: 2021-02-06  0.12  Saturn     Direct 4007 3634  7641     0.52      0.48
14: 2021-02-06  1.00   SNode     Direct 6736 6146 12882     0.52      0.48
15: 2021-02-06  1.01     Sun     Direct 6736 6146 12882     0.52      0.48
16: 2021-02-06  0.02  Uranus     Direct 3704 3351  7055     0.53      0.47
17: 2021-02-06  1.25   Venus     Direct 6132 5585 11717     0.52      0.48
18: 2021-02-06 -0.14   Vesta Retrograde 1185 1129  2314     0.51      0.49

DAILY PLANET ZODIAC SIGN POSITION:

          Date  Planet     ZodSign  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06   Ceres      Pisces  647  665  1312     0.49      0.51
 2: 2021-02-06  Chiron       Aries 1201 1134  2335     0.51      0.49
 3: 2021-02-06    Juno Sagittarius  797  765  1562     0.51      0.49
 4: 2021-02-06 Jupiter    Aquarius  564  508  1072     0.53      0.47
 5: 2021-02-06    Mars      Taurus  521  502  1023     0.51      0.49
 6: 2021-02-06 Mercury    Aquarius  565  526  1091     0.52      0.48
 7: 2021-02-06    Moon Sagittarius  543  524  1067     0.51      0.49
 8: 2021-02-06 Neptune      Pisces 1273 1073  2346     0.54      0.46
 9: 2021-02-06   NNode      Gemini  488  459   947     0.52      0.48
10: 2021-02-06  Pallas    Aquarius  894  828  1722     0.52      0.48
11: 2021-02-06  Pholus   Capricorn  310  269   579     0.54      0.46
12: 2021-02-06   Pluto   Capricorn 1714 1446  3160     0.54      0.46
13: 2021-02-06  Saturn    Aquarius  427  399   826     0.52      0.48
14: 2021-02-06   SNode Sagittarius  488  459   947     0.52      0.48
15: 2021-02-06     Sun    Aquarius  543  508  1051     0.52      0.48
16: 2021-02-06  Uranus      Taurus  331  271   602     0.55      0.45
17: 2021-02-06   Venus    Aquarius  509  506  1015     0.50      0.50
18: 2021-02-06   Vesta       Virgo  556  470  1026     0.54      0.46

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  buy sell daysN BuyDays% SellDays%
 1: 2021-02-06    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 5466 4893 10359     0.53      0.47
 2: 2021-02-06    0.08   0.00   0.15         0      23        12       24  Pallas  Pholus   SemiSquare  143  111   254     0.56      0.44
 3: 2021-02-06    0.12   0.00   0.28         0      23         9       24   Vesta  Pallas     Quincunx  131  116   247     0.53      0.47
 4: 2021-02-06    0.91   0.01   1.60         0       6         3        7    Moon   Venus      Sextile  381  351   732     0.52      0.48
 5: 2021-02-06    0.32   0.01   0.75         0      23         7       24   Venus  Saturn  Conjunction   58   65   123     0.47      0.53
 6: 2021-02-06    0.30   0.02   0.59         0      23        12       24   Venus  Chiron      Sextile  139  133   272     0.51      0.49
 7: 2021-02-06    0.98   0.03   1.72        10      16        13        7    Moon   Ceres    BiSeptile  420  356   776     0.54      0.46
 8: 2021-02-06    1.00   0.03   1.78         8      14        11        7    Moon   Pluto   SemiSquare  411  356   767     0.54      0.46
 9: 2021-02-06    0.87   0.04   1.70         0       5         2        6    Moon  Pholus  SemiSextile  382  394   776     0.49      0.51
10: 2021-02-06    0.98   0.07   1.77         4      10         7        7    Moon  Pallas     Quintile  384  382   766     0.50      0.50
11: 2021-02-06    1.09   0.09   1.98         8      14        11        7    Moon Mercury     Quintile  396  351   747     0.53      0.47
12: 2021-02-06    1.02   0.10   1.85         2       8         5        7    Moon  Uranus     Quincunx  410  369   779     0.53      0.47
13: 2021-02-06    0.20   0.11   0.30         0      23        NA       24 Jupiter  Pholus SemiQuintile  151  154   305     0.50      0.50
14: 2021-02-06    0.97   0.11   1.78        17      23        20        7    Moon    Mars     Quincunx  381  356   737     0.52      0.48
15: 2021-02-06    1.02   0.14   1.89         1       7         4        7    Moon  Chiron        Trine  400  360   760     0.53      0.47
16: 2021-02-06    0.95   0.14   1.78         0       6         3        7    Moon     Sun     Quintile  407  324   731     0.56      0.44
17: 2021-02-06    1.00   0.15   1.86        10      16        13        7    Moon Jupiter      Sextile  412  355   767     0.54      0.46
18: 2021-02-06    0.91   0.15   1.90        19      23        22        5    Moon   NNode   Opposition  205  181   386     0.53      0.47
19: 2021-02-06    0.91   0.15   1.90        19      23        22        5    Moon   SNode  Conjunction  205  181   386     0.53      0.47
20: 2021-02-06    1.02   0.17   1.91         1       7         4        7    Moon Neptune    BiSeptile  409  359   768     0.53      0.47
21: 2021-02-06    0.22   0.18   0.25         0      23        NA       24  Saturn  Chiron      Sextile    3    6     9     0.33      0.67
22: 2021-02-06    1.02   0.20   1.94         0       6         3        7    Moon  Saturn      Sextile  418  347   765     0.55      0.45
23: 2021-02-06    0.82   0.23   1.41         0      23        NA       24   Venus  Uranus       Square  112  113   225     0.50      0.50
24: 2021-02-06    1.01   0.24   1.95        16      22        19        7    Moon    Juno  Conjunction  188  183   371     0.51      0.49
25: 2021-02-06    0.57   0.27   0.88         0      23        NA       24     Sun   Ceres SemiQuintile  168  144   312     0.54      0.46
26: 2021-02-06    0.87   0.28   1.47        13      18        15        6    Moon  Uranus   BiQuintile  411  360   771     0.53      0.47
27: 2021-02-06    1.03   0.36   1.70         0      23        NA       24   Venus   Vesta SesquiSquare  103   80   183     0.56      0.44
28: 2021-02-06    0.97   0.39   1.56         0      23        NA       24   Venus  Pholus  SemiSextile  144  117   261     0.55      0.45
29: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   NNode        Trine  134  116   250     0.54      0.46
30: 2021-02-06    0.97   0.46   1.48         0      23        NA       24     Sun   SNode      Sextile  134  117   251     0.53      0.47
31: 2021-02-06    0.70   0.56   0.85         0      23        NA       24  Pallas Neptune  SemiSextile  153  128   281     0.54      0.46
32: 2021-02-06    0.66   0.57   0.74         0      23        NA       24   Vesta Neptune   Opposition   85   70   155     0.55      0.45
33: 2021-02-06    0.81   0.68   0.95         0      23        NA       24    Mars    Juno     Quincunx  113   94   207     0.55      0.45
34: 2021-02-06    0.82   0.70   0.95         0      23        NA       24   Vesta  Saturn SesquiSquare  213  195   408     0.52      0.48
35: 2021-02-06    0.77   0.73   0.81         0      23        NA       24  Saturn  Pholus  SemiSextile   76   66   142     0.54      0.46
36: 2021-02-06    1.28   0.74   1.81         0      23        NA       24 Mercury  Chiron   SemiSquare  135  126   261     0.52      0.48
37: 2021-02-06    0.92   0.75   1.08         0      23        NA       24   Ceres   Pluto      Sextile  122   92   214     0.57      0.43
38: 2021-02-06    0.81   0.80   0.83         0      23        NA       24  Chiron  Uranus  SemiSextile 1399 1201  2600     0.54      0.46
39: 2021-02-06    0.99   0.85   1.13         0      23        NA       24  Pallas  Chiron   SemiSquare  131  100   231     0.57      0.43
40: 2021-02-06    0.99   0.98   0.99         0      23        NA       24  Chiron  Pholus       Square  299  217   516     0.58      0.42
41: 2021-02-06    1.03   0.98   1.08         0      23        NA       24  Saturn  Uranus       Square   43   39    82     0.52      0.48
          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  buy sell daysN BuyDays% SellDays%
