
DAILY PLANET SPEED PHASE:

          Date Speed  Planet SpeedPhase  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-11  0.37   Ceres     Direct 1671 1707  3378     0.49      0.51
 2: 2021-02-11  0.05  Chiron     Direct 1258 1272  2530     0.50      0.50
 3: 2021-02-11  0.24    Juno     Direct 1699 1718  3417     0.50      0.50
 4: 2021-02-11  0.24 Jupiter     Direct 1434 1503  2937     0.49      0.51
 5: 2021-02-11  0.55    Mars     Direct 1973 2005  3978     0.50      0.50
 6: 2021-02-11 -1.14 Mercury Retrograde  445  412   857     0.52      0.48
 7: 2021-02-11 13.36    Moon     Direct 2219 2281  4500     0.49      0.51
 8: 2021-02-11  0.03 Neptune     Direct 1180 1160  2340     0.50      0.50
 9: 2021-02-11  1.00   NNode     Direct 2219 2281  4500     0.49      0.51
10: 2021-02-11  0.34  Pallas     Direct 1654 1691  3345     0.49      0.51
11: 2021-02-11  0.03  Pholus     Direct 1197 1171  2368     0.51      0.49
12: 2021-02-11  0.03   Pluto     Direct 1177 1169  2346     0.50      0.50
13: 2021-02-11  0.12  Saturn     Direct 1309 1320  2629     0.50      0.50
14: 2021-02-11  1.00   SNode     Direct 2219 2281  4500     0.49      0.51
15: 2021-02-11  1.01     Sun     Direct 2219 2281  4500     0.49      0.51
16: 2021-02-11  0.02  Uranus     Direct 1227 1256  2483     0.49      0.51
17: 2021-02-11  1.25   Venus     Direct 2018 2061  4079     0.49      0.51
18: 2021-02-11 -0.17   Vesta Retrograde  355  425   780     0.46      0.54

DAILY PLANET ZODIAC SIGN POSITION:

    pID       Date  Planet     ZodSign  Buy Sell DaysN BuyDays% SellDays%
 1:  CE 2021-02-11   Ceres      Pisces  225  255   480     0.47      0.53
 2:  CH 2021-02-11  Chiron       Aries  308  299   607     0.51      0.49
 3:  JN 2021-02-11    Juno Sagittarius  279  261   540     0.52      0.48
 4:  JU 2021-02-11 Jupiter    Aquarius  141  163   304     0.46      0.54
 5:  MA 2021-02-11    Mars      Taurus  198  214   412     0.48      0.52
 6:  ME 2021-02-11 Mercury    Aquarius  199  175   374     0.53      0.47
 7:  MO 2021-02-11    Moon    Aquarius  190  178   368     0.52      0.48
 8:  NE 2021-02-11 Neptune      Pisces 1241 1170  2411     0.51      0.49
 9:  NN 2021-02-11   NNode      Gemini   82   93   175     0.47      0.53
10:  PA 2021-02-11  Pallas    Aquarius  237  249   486     0.49      0.51
11:  PH 2021-02-11  Pholus   Capricorn  314  291   605     0.52      0.48
12:  PL 2021-02-11   Pluto   Capricorn 1630 1622  3252     0.50      0.50
13:  SA 2021-02-11  Saturn    Aquarius   51   57   108     0.47      0.53
14:  SN 2021-02-11   SNode Sagittarius   82   93   175     0.47      0.53
15:  SU 2021-02-11     Sun    Aquarius  179  193   372     0.48      0.52
16:  UR 2021-02-11  Uranus      Taurus  304  301   605     0.50      0.50
17:  VE 2021-02-11   Venus    Aquarius  153  168   321     0.48      0.52
18:  VS 2021-02-11   Vesta       Virgo  158  168   326     0.48      0.52

DAILY PLANETS ASPECTS:

          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
 1: 2021-02-11    1.10   0.28   1.92         0       3         0        4    Moon Jupiter  Conjunction   81   83   164     0.49      0.51
 2: 2021-02-11    0.77   0.11   1.58         0       4         1        5    Moon   Vesta   BiQuintile  153  170   323     0.47      0.53
 3: 2021-02-11    0.90   0.23   1.88         0       5         2        6    Moon Neptune SemiQuintile  168  164   332     0.51      0.49
 4: 2021-02-11    0.96   0.18   1.81         3       9         6        7    Moon    Juno      Sextile  151  171   322     0.47      0.53
 5: 2021-02-11    0.90   0.23   1.58         5      10         7        6    Moon Mercury  Conjunction   74   84   158     0.47      0.53
 6: 2021-02-11    0.96   0.07   1.74         4      10         7        7    Moon   NNode        Trine  166  168   334     0.50      0.50
 7: 2021-02-11    0.96   0.07   1.74         4      10         7        7    Moon   SNode      Sextile  166  168   334     0.50      0.50
 8: 2021-02-11    0.92   0.05   1.63         7      13        10        7    Moon    Mars       Square  162  161   323     0.50      0.50
 9: 2021-02-11    0.27   0.02   0.55         0      23        11       24 Mercury   NNode        Trine  172  165   337     0.51      0.49
10: 2021-02-11    0.27   0.02   0.55         0      23        11       24 Mercury   SNode      Sextile  171  166   337     0.51      0.49
11: 2021-02-11    1.10   0.25   1.96         9      16        12        8    Moon Neptune  SemiSextile  170  163   333     0.51      0.49
12: 2021-02-11    0.97   0.07   1.75         9      15        12        7    Moon   Vesta     Quincunx  154  173   327     0.47      0.53
13: 2021-02-11    0.94   0.11   1.72        11      17        14        7    Moon   Ceres SemiQuintile  167  157   324     0.52      0.48
14: 2021-02-11    0.97   0.17   1.83        11      17        14        7    Moon  Pholus   SemiSquare  165  166   331     0.50      0.50
15: 2021-02-11    0.28   0.00   0.64         0      23        15       24   Venus Jupiter  Conjunction   34   26    60     0.57      0.43
16: 2021-02-11    1.10   0.21   1.99        12      19        16        8    Moon  Chiron   SemiSquare  175  157   332     0.53      0.47
17: 2021-02-11    1.07   0.21   1.95        13      20        17        8    Moon  Pallas  Conjunction   76   91   167     0.46      0.54
18: 2021-02-11    1.01   0.05   1.98        16      23        19        8    Moon     Sun  Conjunction   79   80   159     0.50      0.50
19: 2021-02-11    0.88   0.20   1.84        19      23        22        5    Moon  Uranus     Quintile  160  168   328     0.49      0.51
20: 2021-02-11    0.69   0.05   1.35         0      23        23       24 Mercury    Juno      Sextile   56   55   111     0.50      0.50
21: 2021-02-11    0.95   0.13   1.77        20      23        23        4    Moon   Pluto  SemiSextile  175  165   340     0.51      0.49
22: 2021-02-11    0.00   0.00   0.00         0      23        23       24   NNode   SNode   Opposition 2219 2281  4500     0.49      0.51
23: 2021-02-11    0.78   0.62   0.95         0      23        NA       24   Ceres   Pluto      Sextile   56   53   109     0.51      0.49
24: 2021-02-11    0.70   0.69   0.71         0      23        NA       24  Chiron  Uranus  SemiSextile 1354 1341  2695     0.50      0.50
25: 2021-02-11    0.74   0.60   0.88         0      23        NA       24    Juno   NNode   Opposition   15   17    32     0.47      0.53
26: 2021-02-11    0.74   0.60   0.88         0      23        NA       24    Juno   SNode  Conjunction   15   17    32     0.47      0.53
27: 2021-02-11    1.07   0.98   1.17         0      23        NA       24 Jupiter Neptune SemiQuintile   69   66   135     0.51      0.49
28: 2021-02-11    1.05   0.70   1.40         0      23        NA       24    Mars   Vesta        Trine   45   52    97     0.46      0.54
29: 2021-02-11    1.39   0.83   1.95         0      16        NA       17 Mercury    Mars       Square   55   56   111     0.50      0.50
30: 2021-02-11    0.48   0.34   0.63         0      23        NA       24  Pallas  Chiron   SemiSquare   45   40    85     0.53      0.47
31: 2021-02-11    0.14   0.11   0.18         0      23        NA       24  Saturn  Chiron      Sextile    7    7    14     0.50      0.50
32: 2021-02-11    0.56   0.51   0.60         0      23        NA       24  Saturn  Uranus       Square    3    3     6     0.50      0.50
33: 2021-02-11    1.11   0.79   1.43         0      23        NA       24     Sun  Pallas  Conjunction   32   40    72     0.44      0.56
34: 2021-02-11    1.07   0.65   1.49         0      23        NA       24   Venus   Ceres   SemiSquare   58   66   124     0.47      0.53
35: 2021-02-11    1.22   0.64   1.81         0      23        NA       24   Venus Neptune SemiQuintile   55   72   127     0.43      0.57
36: 2021-02-11    1.09   0.50   1.68         0      23        NA       24   Venus  Pholus SemiQuintile   51   72   123     0.41      0.59
37: 2021-02-11    0.91   0.23   1.60         0      23        NA       24   Venus   Vesta   BiQuintile   32   26    58     0.55      0.45
38: 2021-02-11    0.76   0.57   0.96         0      23        NA       24   Vesta Jupiter   BiQuintile   38   38    76     0.50      0.50
39: 2021-02-11    0.32   0.21   0.41         0      23        NA       24   Vesta Neptune   Opposition   36   34    70     0.51      0.49
          Date meanOrb minOrb maxOrb startHour endHour exactHour effHours PlanetX PlanetY       Aspect  Buy Sell DaysN BuyDays% SellDays%
