PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUSA_a0,1,178,-0.002,0.032,-0.004,-0.002,0.028,-0.08,0.1,0.181,0.212,0.371,0.002
MAJU_a103,1,213,0.001,0.022,0,0.001,0.015,-0.106,0.067,0.173,-0.194,3.368,0.002
MEMA_a30,1,440,0.002,0.024,0.002,0.002,0.018,-0.08,0.16,0.24,0.79,5.998,0.001
MOMA_a90,1,917,0.001,0.025,0.001,0.001,0.018,-0.232,0.132,0.364,-1.051,11.591,0.001
MONE_a120,1,926,0.002,0.022,0.001,0.001,0.016,-0.15,0.111,0.261,0.207,6.03,0.001
NEPL_a60,1,1400,0,0.027,-0.001,0,0.021,-0.245,0.11,0.355,-0.471,5.654,0.001
SUPL_a60,1,277,0.002,0.023,0.001,0.001,0.015,-0.086,0.123,0.209,0.491,4.522,0.001
VEUR_a0,1,130,0.002,0.023,0.001,0.002,0.018,-0.063,0.086,0.149,0.182,1.183,0.002
MOPL_a180,1,478,0.001,0.021,0.001,0.001,0.016,-0.106,0.1,0.206,-0.055,3.961,0.001
MOSU_a120,1,879,0.001,0.023,0.001,0.001,0.016,-0.145,0.11,0.255,-0.091,3.936,0.001
MOUR_a150,1,933,0.001,0.024,0.001,0.001,0.017,-0.232,0.236,0.468,-0.049,19.623,0.001
SUUR_a30,1,278,0.001,0.021,0,0,0.015,-0.066,0.091,0.156,0.626,2.383,0.001
MOVE_a150,1,888,0.002,0.021,0.002,0.002,0.016,-0.083,0.094,0.176,0.088,2.554,0.001
MOMA_a103,1,912,0.001,0.023,0.001,0.001,0.018,-0.083,0.147,0.23,0.479,3.523,0.001
MOME_a135,1,866,0.001,0.022,0.002,0.001,0.017,-0.152,0.094,0.246,-0.736,5.628,0.001
MASA_a103,1,217,0.002,0.024,0.001,0.001,0.015,-0.106,0.162,0.268,0.911,9.949,0.002
MONE_a135,1,939,0.001,0.024,0.001,0.001,0.017,-0.12,0.318,0.438,2.23,33.021,0.001
MOJU_a150,1,932,0,0.024,0.001,0.001,0.016,-0.162,0.318,0.479,1.882,34.847,0.001
MOSA_a150,1,926,0.002,0.028,0.001,0.002,0.017,-0.471,0.318,0.789,-3.364,98.812,0.001
MOSU_a135,1,879,0.001,0.022,0.001,0.001,0.017,-0.091,0.103,0.194,0.171,2.453,0.001
MANE_a30,1,236,0.002,0.017,0.002,0.001,0.014,-0.046,0.061,0.107,0.13,1.051,0.001
MOME_a150,1,865,0.002,0.023,0.002,0.002,0.015,-0.245,0.093,0.337,-1.462,16.818,0.001
MOMA_a120,1,895,0.001,0.022,0.001,0.001,0.016,-0.082,0.117,0.2,0.329,2.923,0.001
MONE_a150,1,924,0.001,0.024,0.001,0.001,0.016,-0.232,0.236,0.468,0.12,18.001,0.001
MOJU_a135,1,975,0,0.029,0,0,0.016,-0.471,0.236,0.707,-4.276,77.774,0.001
MOPL_a150,1,942,0,0.022,0.001,0,0.015,-0.232,0.132,0.364,-1.06,15.17,0.001
MOSA_a135,1,948,0,0.023,0.001,0,0.016,-0.087,0.236,0.323,1.34,14.032,0.001
MENE_a0,1,148,0.001,0.025,0.004,0.001,0.019,-0.112,0.094,0.206,-0.424,2.97,0.002
MOSU_a150,1,879,0.002,0.023,0.002,0.002,0.016,-0.152,0.103,0.255,-0.288,4.133,0.001
MOUR_a180,1,465,0,0.02,0,0,0.016,-0.076,0.092,0.168,0.245,1.904,0.001
MOVE_a180,1,429,0.001,0.024,0.001,0,0.019,-0.087,0.094,0.182,0.004,1.583,0.001
MAPL_a90,1,274,0,0.022,0.001,0.001,0.014,-0.089,0.094,0.182,-0.344,3.699,0.001
MEPL_a60,1,309,0,0.022,0.001,0,0.016,-0.091,0.074,0.165,0.014,1.55,0.001
MOJU_a90,1,902,0.001,0.025,0,0.001,0.017,-0.15,0.13,0.28,-0.221,5.959,0.001
MOSA_a90,1,932,0.001,0.022,0,0,0.016,-0.162,0.123,0.285,-0.276,6.551,0.001
MOPL_a103,1,937,0.002,0.021,0.002,0.002,0.016,-0.076,0.103,0.18,0.421,2.205,0.001
MOUR_a135,1,932,0.001,0.026,0.001,0.001,0.017,-0.245,0.318,0.562,0.996,32.928,0.001
MEUR_a30,1,320,-0.001,0.024,0,-0.001,0.016,-0.125,0.137,0.263,0.173,6.528,0.001
MOVE_a135,1,881,0.001,0.025,0.001,0.001,0.016,-0.245,0.16,0.405,-0.603,14.004,0.001
MOMA_a180,1,452,0,0.023,0,0,0.016,-0.119,0.137,0.256,0.053,5.807,0.001
MOPL_a90,1,938,0.002,0.025,0.002,0.001,0.017,-0.089,0.236,0.324,1.678,13.158,0.001
MOUR_a120,1,936,0.001,0.025,0,0,0.016,-0.245,0.123,0.368,-0.623,13.884,0.001
