PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM01,Ceres,Saratan,167,171,338,0.49,0.51
CE_AM02,Ceres,Butain,193,166,359,0.54,0.46
CE_AM03,Ceres,Turaija,200,186,386,0.52,0.48
CE_AM04,Ceres,Dabaran,192,193,385,0.5,0.5
CE_AM05,Ceres,Haq'a,182,154,336,0.54,0.46
CE_AM06,Ceres,Han'a,146,129,275,0.53,0.47
CE_AM07,Ceres,Dira,170,177,347,0.49,0.51
CE_AM08,Ceres,Natra,173,141,314,0.55,0.45
CE_AM09,Ceres,Tarf(a),184,195,379,0.49,0.51
CE_AM10,Ceres,Gabha,147,134,281,0.52,0.48
CE_AM11,Ceres,Zubra,193,190,383,0.5,0.5
CE_AM12,Ceres,Sarfa,146,134,280,0.52,0.48
CE_AM13,Ceres,Auwa,202,171,373,0.54,0.46
CE_AM14,Ceres,Simak,122,123,245,0.5,0.5
CE_AM15,Ceres,Gafr,164,107,271,0.61,0.39
CE_AM16,Ceres,Zubana,178,149,327,0.54,0.46
CE_AM17,Ceres,Iklik,189,153,342,0.55,0.45
CE_AM18,Ceres,Qualb,197,181,378,0.52,0.48
CE_AM19,Ceres,Saula,202,203,405,0.5,0.5
CE_AM20,Ceres,Na'a'im,220,186,406,0.54,0.46
CE_AM21,Ceres,Balda,227,161,388,0.59,0.41
CE_AM22,Ceres,Dabih,197,189,386,0.51,0.49
CE_AM23,Ceres,Bula,174,151,325,0.54,0.46
CE_AM24,Ceres,Su'ud,234,207,441,0.53,0.47
CE_AM25,Ceres,Ahbija,222,217,439,0.51,0.49
CE_AM26,Ceres,Muqaddam,238,245,483,0.49,0.51
CE_AM27,Ceres,Mu'ahhar,216,204,420,0.51,0.49
CE_AM28,Ceres,Risa,230,196,426,0.54,0.46
CH_AM01,Chiron,Saratan,359,248,607,0.59,0.41
CH_AM04,Chiron,Dabaran,128,135,263,0.49,0.51
CH_AM05,Chiron,Haq'a,335,339,674,0.5,0.5
CH_AM06,Chiron,Han'a,268,264,532,0.5,0.5
CH_AM07,Chiron,Dira,221,208,429,0.52,0.48
CH_AM08,Chiron,Natra,194,176,370,0.52,0.48
CH_AM09,Chiron,Tarf(a),155,162,317,0.49,0.51
CH_AM10,Chiron,Gabha,135,145,280,0.48,0.52
CH_AM11,Chiron,Zubra,117,114,231,0.51,0.49
CH_AM12,Chiron,Sarfa,88,110,198,0.44,0.56
CH_AM13,Chiron,Auwa,100,87,187,0.53,0.47
CH_AM14,Chiron,Simak,121,121,242,0.5,0.5
CH_AM15,Chiron,Gafr,77,108,185,0.42,0.58
CH_AM16,Chiron,Zubana,55,72,127,0.43,0.57
CH_AM17,Chiron,Iklik,108,128,236,0.46,0.54
CH_AM18,Chiron,Qualb,133,114,247,0.54,0.46
CH_AM19,Chiron,Saula,137,116,253,0.54,0.46
CH_AM20,Chiron,Na'a'im,125,121,246,0.51,0.49
CH_AM21,Chiron,Balda,139,143,282,0.49,0.51
CH_AM22,Chiron,Dabih,155,162,317,0.49,0.51
CH_AM23,Chiron,Bula,223,192,415,0.54,0.46
CH_AM24,Chiron,Su'ud,265,218,483,0.55,0.45
CH_AM25,Chiron,Ahbija,328,292,620,0.53,0.47
CH_AM26,Chiron,Muqaddam,381,274,655,0.58,0.42
CH_AM27,Chiron,Mu'ahhar,444,373,817,0.54,0.46
CH_AM28,Chiron,Risa,514,391,905,0.57,0.43
JN_AM01,Juno,Saratan,148,137,285,0.52,0.48
JN_AM02,Juno,Butain,117,118,235,0.5,0.5
JN_AM03,Juno,Turaija,124,123,247,0.5,0.5
JN_AM04,Juno,Dabaran,100,72,172,0.58,0.42
JN_AM05,Juno,Haq'a,122,117,239,0.51,0.49
JN_AM06,Juno,Han'a,105,100,205,0.51,0.49
JN_AM07,Juno,Dira,109,100,209,0.52,0.48
JN_AM08,Juno,Natra,140,129,269,0.52,0.48
JN_AM09,Juno,Tarf(a),80,86,166,0.48,0.52
JN_AM10,Juno,Gabha,118,105,223,0.53,0.47
JN_AM11,Juno,Zubra,157,155,312,0.5,0.5
JN_AM12,Juno,Sarfa,188,158,346,0.54,0.46
JN_AM13,Juno,Auwa,153,160,313,0.49,0.51
JN_AM14,Juno,Simak,244,203,447,0.55,0.45
