PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",1004,861,1865,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,4298,3981,8279,0.52,0.48
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",1480,1340,2820,0.52,0.48
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",367,327,694,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,3455,3175,6630,0.52,0.48
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",1454,1391,2845,0.51,0.49
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",317,317,634,0.5,0.5
CE_a120_0,Ceres,Trine,0,3531,3134,6665,0.53,0.47
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",1443,1319,2762,0.52,0.48
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",293,300,593,0.49,0.51
CE_a135_0,Ceres,SesquiSquare,0,3566,3223,6789,0.53,0.47
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",1418,1359,2777,0.51,0.49
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",308,330,638,0.48,0.52
CE_a144_0,Ceres,BiQuintile,0,3576,3153,6729,0.53,0.47
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",1400,1225,2625,0.53,0.47
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",326,296,622,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,3576,3321,6897,0.52,0.48
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",937,831,1768,0.53,0.47
CE_a180_0,Ceres,Opposition,0,4365,4011,8376,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1621,1515,3136,0.52,0.48
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",541,481,1022,0.53,0.47
CE_a30_0,Ceres,SemiSextile,0,3140,2846,5986,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1590,1406,2996,0.53,0.47
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",589,540,1129,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,3123,2896,6019,0.52,0.48
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",1650,1568,3218,0.51,0.49
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",470,420,890,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,3182,2854,6036,0.53,0.47
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",1516,1462,2978,0.51,0.49
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",412,374,786,0.52,0.48
CE_a60_0,Ceres,Sextile,0,3374,3006,6380,0.53,0.47
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",1546,1431,2977,0.52,0.48
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",361,304,665,0.54,0.46
CE_a72_0,Ceres,Quintile,0,3395,3107,6502,0.52,0.48
"CE_a90_(0,1]",Ceres,Square,"(0,1]",1300,1169,2469,0.53,0.47
"CE_a90_(1,5]",Ceres,Square,"(1,5]",387,383,770,0.5,0.5
CE_a90_0,Ceres,Square,0,3615,3290,6905,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",1006,857,1863,0.54,0.46
CH_a0_0,Chiron,Conjunction,0,4296,3985,8281,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1460,1322,2782,0.52,0.48
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",293,274,567,0.52,0.48
CH_a103_0,Chiron,BiSeptile,0,3549,3246,6795,0.52,0.48
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",1270,1251,2521,0.5,0.5
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",289,249,538,0.54,0.46
CH_a120_0,Chiron,Trine,0,3743,3342,7085,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",1314,1229,2543,0.52,0.48
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",342,291,633,0.54,0.46
CH_a135_0,Chiron,SesquiSquare,0,3646,3322,6968,0.52,0.48
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",1384,1287,2671,0.52,0.48
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",445,369,814,0.55,0.45
CH_a144_0,Chiron,BiQuintile,0,3473,3186,6659,0.52,0.48
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",1349,1176,2525,0.53,0.47
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",441,451,892,0.49,0.51
CH_a150_0,Chiron,Quincunx,0,3512,3215,6727,0.52,0.48
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",1270,1210,2480,0.51,0.49
CH_a180_0,Chiron,Opposition,0,4032,3632,7664,0.53,0.47
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",748,601,1349,0.55,0.45
CH_a30_0,Chiron,SemiSextile,0,2477,2417,4894,0.51,0.49
CH_a30_1,Chiron,SemiSextile,1,2077,1824,3901,0.53,0.47
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",1690,1606,3296,0.51,0.49
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",435,389,824,0.53,0.47
CH_a36_0,Chiron,SemiQuintile,0,3177,2847,6024,0.53,0.47
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",1599,1424,3023,0.53,0.47
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",367,373,740,0.5,0.5
CH_a45_0,Chiron,SemiSquare,0,3336,3045,6381,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",1632,1474,3106,0.53,0.47
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",393,343,736,0.53,0.47
CH_a60_0,Chiron,Sextile,0,3277,3025,6302,0.52,0.48
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",1609,1400,3009,0.53,0.47
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",366,292,658,0.56,0.44
CH_a72_0,Chiron,Quintile,0,3327,3150,6477,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",1333,1255,2588,0.52,0.48
"CH_a90_(1,5]",Chiron,Square,"(1,5]",402,347,749,0.54,0.46
CH_a90_0,Chiron,Square,0,3567,3240,6807,0.52,0.48
