PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",532,431,963,0.55,0.45
CE_a0_0,Ceres,Conjunction,0,4828,4441,9269,0.52,0.48
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",1058,912,1970,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,4302,3960,8262,0.52,0.48
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",974,900,1874,0.52,0.48
CE_a120_0,Ceres,Trine,0,4386,3972,8358,0.52,0.48
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",995,925,1920,0.52,0.48
CE_a135_0,Ceres,SesquiSquare,0,4365,3947,8312,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",910,920,1830,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,4450,3952,8402,0.53,0.47
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",890,793,1683,0.53,0.47
CE_a150_0,Ceres,Quincunx,0,4470,4079,8549,0.52,0.48
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",491,415,906,0.54,0.46
CE_a180_0,Ceres,Opposition,0,4869,4457,9326,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1213,1107,2320,0.52,0.48
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",236,205,441,0.54,0.46
CE_a30_0,Ceres,SemiSextile,0,3911,3560,7471,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1196,1096,2292,0.52,0.48
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",253,214,467,0.54,0.46
CE_a36_0,Ceres,SemiQuintile,0,3911,3562,7473,0.52,0.48
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1245,1222,2467,0.5,0.5
CE_a45_0,Ceres,SemiSquare,0,4115,3650,7765,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1106,1113,2219,0.5,0.5
