PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1711,1521,3232,0.53,0.47
CE_FIX,Ceres,Fixed,1822,1740,3562,0.51,0.49
CE_MUT,Ceres,Mutable,1883,1648,3531,0.53,0.47
CH_CAR,Chiron,Cardinal,1524,1394,2918,0.52,0.48
CH_FIX,Chiron,Fixed,1647,1456,3103,0.53,0.47
CH_MUT,Chiron,Mutable,2245,2059,4304,0.52,0.48
JN_CAR,Juno,Cardinal,1816,1678,3494,0.52,0.48
JN_FIX,Juno,Fixed,1827,1645,3472,0.53,0.47
JN_MUT,Juno,Mutable,1773,1586,3359,0.53,0.47
JU_CAR,Jupiter,Cardinal,1814,1691,3505,0.52,0.48
JU_FIX,Jupiter,Fixed,1803,1661,3464,0.52,0.48
JU_MUT,Jupiter,Mutable,1799,1557,3356,0.54,0.46
MA_CAR,Mars,Cardinal,1877,1693,3570,0.53,0.47
MA_FIX,Mars,Fixed,1795,1618,3413,0.53,0.47
MA_MUT,Mars,Mutable,1744,1598,3342,0.52,0.48
ME_CAR,Mercury,Cardinal,1789,1663,3452,0.52,0.48
ME_FIX,Mercury,Fixed,1829,1631,3460,0.53,0.47
ME_MUT,Mercury,Mutable,1798,1615,3413,0.53,0.47
MO_CAR,Moon,Cardinal,1778,1675,3453,0.51,0.49
MO_FIX,Moon,Fixed,1844,1596,3440,0.54,0.46
MO_MUT,Moon,Mutable,1794,1638,3432,0.52,0.48
NE_CAR,Neptune,Cardinal,1720,1788,3508,0.49,0.51
NE_FIX,Neptune,Fixed,1820,1554,3374,0.54,0.46
NE_MUT,Neptune,Mutable,1876,1567,3443,0.54,0.46
NN_CAR,NNode,Cardinal,1888,1630,3518,0.54,0.46
NN_FIX,NNode,Fixed,1695,1606,3301,0.51,0.49
NN_MUT,NNode,Mutable,1833,1673,3506,0.52,0.48
PA_CAR,Pallas,Cardinal,1828,1677,3505,0.52,0.48
PA_FIX,Pallas,Fixed,1729,1566,3295,0.52,0.48
PA_MUT,Pallas,Mutable,1859,1666,3525,0.53,0.47
PH_CAR,Pholus,Cardinal,1602,1524,3126,0.51,0.49
PH_FIX,Pholus,Fixed,1395,1339,2734,0.51,0.49
PH_MUT,Pholus,Mutable,2419,2046,4465,0.54,0.46
PL_CAR,Pluto,Cardinal,2302,1868,4170,0.55,0.45
PL_FIX,Pluto,Fixed,1459,1444,2903,0.5,0.5
PL_MUT,Pluto,Mutable,1655,1597,3252,0.51,0.49
SA_CAR,Saturn,Cardinal,1989,1743,3732,0.53,0.47
SA_FIX,Saturn,Fixed,1798,1664,3462,0.52,0.48
SA_MUT,Saturn,Mutable,1629,1502,3131,0.52,0.48
SN_CAR,SNode,Cardinal,1888,1630,3518,0.54,0.46
SN_FIX,SNode,Fixed,1695,1606,3301,0.51,0.49
SN_MUT,SNode,Mutable,1833,1673,3506,0.52,0.48
SU_CAR,Sun,Cardinal,1795,1593,3388,0.53,0.47
SU_FIX,Sun,Fixed,1859,1664,3523,0.53,0.47
SU_MUT,Sun,Mutable,1762,1652,3414,0.52,0.48
UR_CAR,Uranus,Cardinal,1979,1782,3761,0.53,0.47
UR_FIX,Uranus,Fixed,1515,1427,2942,0.51,0.49
UR_MUT,Uranus,Mutable,1922,1700,3622,0.53,0.47
VE_CAR,Venus,Cardinal,1805,1647,3452,0.52,0.48
VE_FIX,Venus,Fixed,1818,1657,3475,0.52,0.48
VE_MUT,Venus,Mutable,1793,1605,3398,0.53,0.47
VS_CAR,Vesta,Cardinal,1781,1615,3396,0.52,0.48
VS_FIX,Vesta,Fixed,1771,1665,3436,0.52,0.48
VS_MUT,Vesta,Mutable,1864,1629,3493,0.53,0.47
