PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,a0,"(0,3]",287,272,559,0.51,0.49
CE_a0_0,Ceres,a0,0,5008,4556,9564,0.52,0.48
"CE_a103_(0,3]",Ceres,a103,"(0,3]",557,505,1062,0.52,0.48
CE_a103_0,Ceres,a103,0,4738,4323,9061,0.52,0.48
"CE_a120_(0,3]",Ceres,a120,"(0,3]",544,542,1086,0.5,0.5
CE_a120_0,Ceres,a120,0,4751,4286,9037,0.53,0.47
"CE_a135_(0,3]",Ceres,a135,"(0,3]",523,500,1023,0.51,0.49
CE_a135_0,Ceres,a135,0,4772,4328,9100,0.52,0.48
"CE_a144_(0,3]",Ceres,a144,"(0,3]",613,538,1151,0.53,0.47
CE_a144_0,Ceres,a144,0,4682,4290,8972,0.52,0.48
"CE_a150_(0,3]",Ceres,a150,"(0,3]",618,527,1145,0.54,0.46
CE_a150_0,Ceres,a150,0,4677,4301,8978,0.52,0.48
"CE_a180_(0,3]",Ceres,a180,"(0,3]",280,235,515,0.54,0.46
CE_a180_0,Ceres,a180,0,5015,4593,9608,0.52,0.48
"CE_a30_(0,3]",Ceres,a30,"(0,3]",582,532,1114,0.52,0.48
CE_a30_0,Ceres,a30,0,4713,4296,9009,0.52,0.48
"CE_a36_(0,3]",Ceres,a36,"(0,3]",620,562,1182,0.52,0.48
CE_a36_0,Ceres,a36,0,4675,4266,8941,0.52,0.48
"CE_a45_(0,3]",Ceres,a45,"(0,3]",664,580,1244,0.53,0.47
CE_a45_0,Ceres,a45,0,4631,4248,8879,0.52,0.48
"CE_a60_(0,3]",Ceres,a60,"(0,3]",582,541,1123,0.52,0.48
CE_a60_0,Ceres,a60,0,4713,4287,9000,0.52,0.48
"CE_a72_(0,2]",Ceres,a72,"(0,2]",619,538,1157,0.54,0.46
CE_a72_0,Ceres,a72,0,4676,4290,8966,0.52,0.48
"CE_a90_(0,3]",Ceres,a90,"(0,3]",567,506,1073,0.53,0.47
CE_a90_0,Ceres,a90,0,4728,4322,9050,0.52,0.48
"CH_a0_(0,2]",Chiron,a0,"(0,2]",472,412,884,0.53,0.47
CH_a0_0,Chiron,a0,0,4823,4416,9239,0.52,0.48
"CH_a103_(0,3]",Chiron,a103,"(0,3]",979,846,1825,0.54,0.46
CH_a103_0,Chiron,a103,0,4316,3982,8298,0.52,0.48
"CH_a120_(0,3]",Chiron,a120,"(0,3]",826,773,1599,0.52,0.48
CH_a120_0,Chiron,a120,0,4469,4055,8524,0.52,0.48
"CH_a135_(0,4]",Chiron,a135,"(0,4]",890,839,1729,0.51,0.49
CH_a135_0,Chiron,a135,0,4405,3989,8394,0.52,0.48
"CH_a144_(0,4]",Chiron,a144,"(0,4]",947,795,1742,0.54,0.46
CH_a144_0,Chiron,a144,0,4348,4033,8381,0.52,0.48
"CH_a150_(0,3]",Chiron,a150,"(0,3]",928,786,1714,0.54,0.46
CH_a150_0,Chiron,a150,0,4367,4042,8409,0.52,0.48
"CH_a180_(0,3]",Chiron,a180,"(0,3]",597,549,1146,0.52,0.48
CH_a180_0,Chiron,a180,0,4698,4279,8977,0.52,0.48
"CH_a30_(0,3]",Chiron,a30,"(0,3]",882,786,1668,0.53,0.47
CH_a30_0,Chiron,a30,0,4413,4042,8455,0.52,0.48
"CH_a36_(0,3]",Chiron,a36,"(0,3]",914,825,1739,0.53,0.47
CH_a36_0,Chiron,a36,0,4381,4003,8384,0.52,0.48
"CH_a45_(0,3]",Chiron,a45,"(0,3]",842,780,1622,0.52,0.48
CH_a45_0,Chiron,a45,0,4453,4048,8501,0.52,0.48
"CH_a60_(0,4]",Chiron,a60,"(0,4]",922,804,1726,0.53,0.47
CH_a60_0,Chiron,a60,0,4373,4024,8397,0.52,0.48
"CH_a72_(0,3]",Chiron,a72,"(0,3]",888,761,1649,0.54,0.46
CH_a72_0,Chiron,a72,0,4407,4067,8474,0.52,0.48
"CH_a90_(0,4]",Chiron,a90,"(0,4]",806,713,1519,0.53,0.47
CH_a90_0,Chiron,a90,0,4489,4115,8604,0.52,0.48
