PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",97,87,184,0.53,0.47
CE_a0_0,Ceres,Conjunction,0,647,683,1330,0.49,0.51
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",123,154,277,0.44,0.56
CE_a103_0,Ceres,BiSeptile,0,621,616,1237,0.5,0.5
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",80,106,186,0.43,0.57
CE_a120_0,Ceres,Trine,0,664,664,1328,0.5,0.5
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",143,179,322,0.44,0.56
CE_a135_0,Ceres,SesquiSquare,0,601,591,1192,0.5,0.5
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",140,154,294,0.48,0.52
CE_a144_0,Ceres,BiQuintile,0,604,616,1220,0.5,0.5
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",142,140,282,0.5,0.5
CE_a150_0,Ceres,Quincunx,0,602,630,1232,0.49,0.51
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",58,63,121,0.48,0.52
CE_a180_0,Ceres,Opposition,0,686,707,1393,0.49,0.51
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",177,187,364,0.49,0.51
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",35,26,61,0.57,0.43
CE_a30_0,Ceres,SemiSextile,0,532,557,1089,0.49,0.51
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",174,143,317,0.55,0.45
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",93,88,181,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,477,539,1016,0.47,0.53
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",250,224,474,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,494,546,1040,0.48,0.52
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",205,205,410,0.5,0.5
CE_a60_0,Ceres,Sextile,0,539,565,1104,0.49,0.51
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",149,145,294,0.51,0.49
CE_a72_0,Ceres,Quintile,0,595,625,1220,0.49,0.51
"CE_a90_(0,3]",Ceres,Square,"(0,3]",105,105,210,0.5,0.5
CE_a90_0,Ceres,Square,0,639,665,1304,0.49,0.51
CH_a0_0,Chiron,Conjunction,0,744,770,1514,0.49,0.51
CH_a103_0,Chiron,BiSeptile,0,744,770,1514,0.49,0.51
CH_a120_0,Chiron,Trine,0,744,770,1514,0.49,0.51
CH_a135_0,Chiron,SesquiSquare,0,744,770,1514,0.49,0.51
CH_a144_0,Chiron,BiQuintile,0,744,770,1514,0.49,0.51
CH_a150_0,Chiron,Quincunx,0,744,770,1514,0.49,0.51
CH_a180_0,Chiron,Opposition,0,744,770,1514,0.49,0.51
CH_a30_0,Chiron,SemiSextile,0,140,156,296,0.47,0.53
CH_a30_1,Chiron,SemiSextile,1,604,614,1218,0.5,0.5
CH_a36_0,Chiron,SemiQuintile,0,744,770,1514,0.49,0.51
CH_a45_0,Chiron,SemiSquare,0,744,770,1514,0.49,0.51
CH_a60_0,Chiron,Sextile,0,744,770,1514,0.49,0.51
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",315,329,644,0.49,0.51
CH_a72_0,Chiron,Quintile,0,429,441,870,0.49,0.51
"CH_a90_(0,1]",Chiron,Square,"(0,1]",252,240,492,0.51,0.49
CH_a90_0,Chiron,Square,0,492,530,1022,0.48,0.52
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",66,63,129,0.51,0.49
JN_a0_0,Juno,Conjunction,0,678,707,1385,0.49,0.51
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",221,214,435,0.51,0.49
JN_a103_0,Juno,BiSeptile,0,523,556,1079,0.48,0.52
"JN_a120_(0,3]",Juno,Trine,"(0,3]",171,187,358,0.48,0.52
JN_a120_0,Juno,Trine,0,573,583,1156,0.5,0.5
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",137,153,290,0.47,0.53
JN_a135_0,Juno,SesquiSquare,0,607,617,1224,0.5,0.5
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",172,169,341,0.5,0.5
JN_a144_0,Juno,BiQuintile,0,572,601,1173,0.49,0.51
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",197,197,394,0.5,0.5
JN_a150_0,Juno,Quincunx,0,547,573,1120,0.49,0.51
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",137,98,235,0.58,0.42
JN_a180_0,Juno,Opposition,0,607,672,1279,0.47,0.53
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",100,110,210,0.48,0.52
JN_a30_0,Juno,SemiSextile,0,644,660,1304,0.49,0.51
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",111,111,222,0.5,0.5
JN_a36_0,Juno,SemiQuintile,0,633,659,1292,0.49,0.51
"JN_a45_(0,3]",Juno,SemiSquare,"(0,3]",130,124,254,0.51,0.49
