PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",199,217,416,0.48,0.52
"CE_(3,4]",Ceres,"(3,4]",181,192,373,0.49,0.51
"CE_(4,8]",Ceres,"(4,8]",163,180,343,0.48,0.52
"CE_[0,2]",Ceres,"[0,2]",377,392,769,0.49,0.51
"CH_(1,2]",Chiron,"(1,2]",315,320,635,0.5,0.5
"CH_(2,3]",Chiron,"(2,3]",107,102,209,0.51,0.49
CH_1,Chiron,1,388,432,820,0.47,0.53
"CH_[0,1)",Chiron,"[0,1)",110,127,237,0.46,0.54
"JN_(2,3]",Juno,"(2,3]",241,241,482,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",152,165,317,0.48,0.52
"JN_(4,9]",Juno,"(4,9]",165,153,318,0.52,0.48
"JN_[0,2]",Juno,"[0,2]",362,422,784,0.46,0.54
"JU_(1,2]",Jupiter,"(1,2]",308,367,675,0.46,0.54
"JU_(2,3]",Jupiter,"(2,3]",185,174,359,0.52,0.48
"JU_(3,7]",Jupiter,"(3,7]",123,140,263,0.47,0.53
"JU_[0,1]",Jupiter,"[0,1]",304,300,604,0.5,0.5
"MA_(2,3]",Mars,"(2,3]",224,204,428,0.52,0.48
"MA_(3,5]",Mars,"(3,5]",356,404,760,0.47,0.53
"MA_(5,11]",Mars,"(5,11]",134,143,277,0.48,0.52
"MA_[0,2]",Mars,"[0,2]",206,230,436,0.47,0.53
"ME_(3,4]",Mercury,"(3,4]",193,201,394,0.49,0.51
"ME_(4,6]",Mercury,"(4,6]",290,316,606,0.48,0.52
"ME_(6,13]",Mercury,"(6,13]",117,109,226,0.52,0.48
"ME_[0,3]",Mercury,"[0,3]",320,355,675,0.47,0.53
"MO_(13,15]",Moon,"(13,15]",319,294,613,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",211,254,465,0.45,0.55
"MO_(17,27]",Moon,"(17,27]",137,147,284,0.48,0.52
"MO_[5,13]",Moon,"[5,13]",253,286,539,0.47,0.53
"NE_(0,1]",Neptune,"(0,1]",22,20,42,0.52,0.48
NE_0,Neptune,0,898,961,1859,0.48,0.52
"NN_(2,3]",NNode,"(2,3]",281,286,567,0.5,0.5
"NN_(3,6]",NNode,"(3,6]",221,247,468,0.47,0.53
NN_2,NNode,2,292,344,636,0.46,0.54
"NN_[1,2)",NNode,"[1,2)",126,104,230,0.55,0.45
"PA_(1,2]",Pallas,"(1,2]",199,239,438,0.45,0.55
"PA_(2,3]",Pallas,"(2,3]",275,270,545,0.5,0.5
"PA_(3,8]",Pallas,"(3,8]",176,184,360,0.49,0.51
"PA_[0,1]",Pallas,"[0,1]",270,288,558,0.48,0.52
"PH_(0,1]",Pholus,"(0,1]",166,166,332,0.5,0.5
PH_0,Pholus,0,754,815,1569,0.48,0.52
"SA_(1,2]",Saturn,"(1,2]",298,311,609,0.49,0.51
"SA_(2,4]",Saturn,"(2,4]",97,132,229,0.42,0.58
SA_1,Saturn,1,267,246,513,0.52,0.48
"SA_[0,1)",Saturn,"[0,1)",258,292,550,0.47,0.53
"SN_(2,5]",SNode,"(2,5]",227,272,499,0.45,0.55
SN_2,SNode,2,285,305,590,0.48,0.52
"SN_[0,1]",SNode,"[0,1]",408,404,812,0.5,0.5
"SU_(3,4]",Sun,"(3,4]",206,203,409,0.5,0.5
"SU_(4,5]",Sun,"(4,5]",153,176,329,0.47,0.53
"SU_(5,11]",Sun,"(5,11]",183,191,374,0.49,0.51
"SU_[0,3]",Sun,"[0,3]",378,411,789,0.48,0.52
"UR_(1,3]",Uranus,"(1,3]",243,264,507,0.48,0.52
UR_0,Uranus,0,347,406,753,0.46,0.54
UR_1,Uranus,1,330,311,641,0.51,0.49
"VE_(3,4]",Venus,"(3,4]",167,218,385,0.43,0.57
"VE_(4,6]",Venus,"(4,6]",335,315,650,0.52,0.48
"VE_(6,12]",Venus,"(6,12]",121,124,245,0.49,0.51
"VE_[0,3]",Venus,"[0,3]",297,324,621,0.48,0.52
"VS_(2,3]",Vesta,"(2,3]",213,229,442,0.48,0.52
"VS_(3,4]",Vesta,"(3,4]",186,198,384,0.48,0.52
"VS_(4,10]",Vesta,"(4,10]",226,229,455,0.5,0.5
"VS_[0,2]",Vesta,"[0,2]",295,325,620,0.48,0.52
