PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,252,230,482,0.52,0.48
CE_POS,Ceres,Positive,360,394,754,0.48,0.52
CH_NEG,Chiron,Negative,160,182,342,0.47,0.53
CH_POS,Chiron,Positive,452,442,894,0.51,0.49
JN_NEG,Juno,Negative,265,294,559,0.47,0.53
JN_POS,Juno,Positive,347,330,677,0.51,0.49
JU_NEG,Jupiter,Negative,379,394,773,0.49,0.51
JU_POS,Jupiter,Positive,233,230,463,0.5,0.5
MA_NEG,Mars,Negative,267,257,524,0.51,0.49
MA_POS,Mars,Positive,345,367,712,0.48,0.52
ME_NEG,Mercury,Negative,300,306,606,0.5,0.5
ME_POS,Mercury,Positive,312,318,630,0.5,0.5
MO_NEG,Moon,Negative,309,310,619,0.5,0.5
MO_POS,Moon,Positive,303,314,617,0.49,0.51
NE_NEG,Neptune,Negative,612,624,1236,0.5,0.5
NN_NEG,NNode,Negative,294,272,566,0.52,0.48
NN_POS,NNode,Positive,318,352,670,0.47,0.53
PA_NEG,Pallas,Negative,275,312,587,0.47,0.53
PA_POS,Pallas,Positive,337,312,649,0.52,0.48
PH_NEG,Pholus,Negative,440,423,863,0.51,0.49
PH_POS,Pholus,Positive,172,201,373,0.46,0.54
PL_NEG,Pluto,Negative,612,624,1236,0.5,0.5
SA_NEG,Saturn,Negative,461,528,989,0.47,0.53
SA_POS,Saturn,Positive,151,96,247,0.61,0.39
SN_NEG,SNode,Negative,294,272,566,0.52,0.48
SN_POS,SNode,Positive,318,352,670,0.47,0.53
SU_NEG,Sun,Negative,303,312,615,0.49,0.51
SU_POS,Sun,Positive,309,312,621,0.5,0.5
UR_NEG,Uranus,Negative,454,438,892,0.51,0.49
UR_POS,Uranus,Positive,158,186,344,0.46,0.54
VE_NEG,Venus,Negative,281,295,576,0.49,0.51
VE_POS,Venus,Positive,331,329,660,0.5,0.5
VS_NEG,Vesta,Negative,392,355,747,0.52,0.48
VS_POS,Vesta,Positive,220,269,489,0.45,0.55
