PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,a0,"(0,3]",36,18,54,0.67,0.33
CE_a0_0,Ceres,a0,0,569,600,1169,0.49,0.51
"CE_a103_(0,3]",Ceres,a103,"(0,3]",82,73,155,0.53,0.47
CE_a103_0,Ceres,a103,0,523,545,1068,0.49,0.51
"CE_a120_(0,3]",Ceres,a120,"(0,3]",88,101,189,0.47,0.53
CE_a120_0,Ceres,a120,0,517,517,1034,0.5,0.5
"CE_a135_(0,3]",Ceres,a135,"(0,3]",60,73,133,0.45,0.55
CE_a135_0,Ceres,a135,0,545,545,1090,0.5,0.5
"CE_a144_(0,3]",Ceres,a144,"(0,3]",62,75,137,0.45,0.55
CE_a144_0,Ceres,a144,0,543,543,1086,0.5,0.5
"CE_a150_(0,3]",Ceres,a150,"(0,3]",70,65,135,0.52,0.48
CE_a150_0,Ceres,a150,0,535,553,1088,0.49,0.51
"CE_a180_(0,3]",Ceres,a180,"(0,3]",34,33,67,0.51,0.49
CE_a180_0,Ceres,a180,0,571,585,1156,0.49,0.51
"CE_a30_(0,3]",Ceres,a30,"(0,3]",64,69,133,0.48,0.52
CE_a30_0,Ceres,a30,0,541,549,1090,0.5,0.5
"CE_a36_(0,3]",Ceres,a36,"(0,3]",49,67,116,0.42,0.58
CE_a36_0,Ceres,a36,0,556,551,1107,0.5,0.5
"CE_a45_(0,3]",Ceres,a45,"(0,3]",72,67,139,0.52,0.48
CE_a45_0,Ceres,a45,0,533,551,1084,0.49,0.51
"CE_a60_(0,3]",Ceres,a60,"(0,3]",53,53,106,0.5,0.5
CE_a60_0,Ceres,a60,0,552,565,1117,0.49,0.51
"CE_a72_(0,2]",Ceres,a72,"(0,2]",49,53,102,0.48,0.52
CE_a72_0,Ceres,a72,0,556,565,1121,0.5,0.5
"CE_a90_(0,3]",Ceres,a90,"(0,3]",68,71,139,0.49,0.51
CE_a90_0,Ceres,a90,0,537,547,1084,0.5,0.5
"CH_a0_(0,2]",Chiron,a0,"(0,2]",32,38,70,0.46,0.54
CH_a0_0,Chiron,a0,0,573,580,1153,0.5,0.5
"CH_a103_(0,3]",Chiron,a103,"(0,3]",135,141,276,0.49,0.51
CH_a103_0,Chiron,a103,0,470,477,947,0.5,0.5
"CH_a120_(0,3]",Chiron,a120,"(0,3]",88,97,185,0.48,0.52
CH_a120_0,Chiron,a120,0,517,521,1038,0.5,0.5
"CH_a135_(0,4]",Chiron,a135,"(0,4]",66,121,187,0.35,0.65
CH_a135_0,Chiron,a135,0,539,497,1036,0.52,0.48
"CH_a144_(0,4]",Chiron,a144,"(0,4]",83,93,176,0.47,0.53
CH_a144_0,Chiron,a144,0,522,525,1047,0.5,0.5
"CH_a150_(0,3]",Chiron,a150,"(0,3]",76,74,150,0.51,0.49
CH_a150_0,Chiron,a150,0,529,544,1073,0.49,0.51
"CH_a180_(0,3]",Chiron,a180,"(0,3]",46,27,73,0.63,0.37
CH_a180_0,Chiron,a180,0,559,591,1150,0.49,0.51
"CH_a30_(0,3]",Chiron,a30,"(0,3]",96,82,178,0.54,0.46
CH_a30_0,Chiron,a30,0,509,536,1045,0.49,0.51
"CH_a36_(0,3]",Chiron,a36,"(0,3]",118,108,226,0.52,0.48
CH_a36_0,Chiron,a36,0,487,510,997,0.49,0.51
