PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CEPH_a144,1,50,0.004,0.052,-0.001,0.002,0.04,-0.096,0.178,0.275,0.706,1.247,0.007
CHPH_a90,1,456,0.002,0.047,0.001,0.001,0.033,-0.208,0.247,0.456,0.446,4.358,0.002
CHUR_a30,1,1035,0.005,0.064,-0.001,0,0.035,-0.208,0.934,1.143,4.304,49.691,0.002
JNNN_a135,1,23,0.017,0.051,0.013,0.017,0.04,-0.087,0.119,0.206,0.137,-0.341,0.011
JNSN_a45,1,23,0.017,0.051,0.013,0.017,0.04,-0.087,0.119,0.206,0.137,-0.341,0.011
JUNE_a135,1,2,-0.043,0.061,-0.043,-0.043,0.064,-0.087,0,0.087,0,-2.75,0.043
JUUR_a180,1,2,-0.043,0.061,-0.043,-0.043,0.064,-0.087,0,0.087,0,-2.75,0.043
MACE_a45,1,102,0.013,0.053,0.005,0.01,0.038,-0.114,0.247,0.362,0.937,2.805,0.005
MAPL_a120,1,15,0.012,0.042,0.005,0.013,0.028,-0.087,0.093,0.18,-0.326,0.213,0.011
MEJN_a90,1,44,0.009,0.039,0.006,0.007,0.028,-0.087,0.101,0.188,0.271,0.202,0.006
MENN_a45,1,13,-0.024,0.037,-0.013,-0.023,0.03,-0.087,0.032,0.119,-0.381,-1.135,0.01
MEPA_a144,1,31,0.017,0.054,0.012,0.014,0.034,-0.087,0.149,0.236,0.492,0.275,0.01
MESN_a135,1,13,-0.024,0.037,-0.013,-0.023,0.03,-0.087,0.032,0.119,-0.381,-1.135,0.01
MEVS_a0,1,25,-0.007,0.029,-0.003,-0.006,0.027,-0.087,0.043,0.13,-0.512,0.63,0.006
MOCE_a135,1,91,0.007,0.109,-0.003,-0.001,0.034,-0.129,0.934,1.063,6.675,54.498,0.011
MOJN_a72,1,92,0.017,0.065,0.007,0.009,0.033,-0.114,0.404,0.518,2.875,13.753,0.007
MOMA_a180,1,44,0.005,0.049,-0.001,0.003,0.028,-0.114,0.183,0.297,0.735,3.096,0.007
NNCH_a144,1,92,0.049,0.149,0.015,0.025,0.062,-0.161,0.934,1.095,2.926,12.541,0.016
NNPL_a144,1,60,0.02,0.07,0.002,0.015,0.058,-0.114,0.247,0.362,0.914,1.088,0.009
NNSA_a120,1,10,0.026,0.092,0.004,0.017,0.079,-0.087,0.219,0.306,0.683,-0.59,0.029
NNSN_a180,1,1216,0.004,0.061,0,0,0.034,-0.208,0.934,1.143,4.303,52.366,0.002
PACH_a45,1,30,0.004,0.067,-0.002,-0.005,0.044,-0.087,0.219,0.306,1.32,1.771,0.012
PANE_a60,1,68,-0.005,0.063,-0.003,-0.006,0.035,-0.208,0.219,0.427,0.02,3.751,0.008
PAPH_a135,1,28,0.002,0.066,-0.004,-0.005,0.035,-0.087,0.219,0.306,1.518,2.395,0.012
SNCH_a36,1,92,0.049,0.149,0.015,0.025,0.062,-0.161,0.934,1.095,2.926,12.541,0.016
SNPL_a36,1,60,0.02,0.07,0.002,0.015,0.058,-0.114,0.247,0.362,0.914,1.088,0.009
SNSA_a60,1,10,0.026,0.092,0.004,0.017,0.079,-0.087,0.219,0.306,0.683,-0.59,0.029
SUNE_a150,1,27,-0.002,0.041,0.004,-0.003,0.025,-0.087,0.107,0.194,0.156,0.725,0.008
SUPA_a150,1,22,-0.001,0.037,0,0.001,0.025,-0.087,0.085,0.172,-0.265,0.67,0.008
SUSA_a72,1,29,0.013,0.045,0.017,0.016,0.027,-0.105,0.093,0.198,-1.008,1.016,0.008
URNE_a45,1,624,0.006,0.069,0,0.001,0.034,-0.208,0.934,1.143,5.502,61.431,0.003
URPH_a120,1,370,-0.001,0.049,-0.001,-0.002,0.035,-0.208,0.233,0.441,0.282,3.896,0.003
VECE_a45,1,24,-0.011,0.035,-0.007,-0.009,0.033,-0.087,0.045,0.132,-0.518,-0.624,0.007
VEMA_a0,1,12,-0.008,0.046,-0.003,-0.01,0.028,-0.087,0.091,0.178,0.163,-0.092,0.013
VEPL_a120,1,25,0.001,0.043,-0.005,0,0.032,-0.088,0.119,0.208,0.366,1.081,0.009
VSJN_a90,1,65,-0.011,0.032,-0.009,-0.009,0.027,-0.113,0.055,0.168,-0.563,0.827,0.004
