PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",551,529,1080,0.51,0.49
CE_a0_0,Ceres,Conjunction,0,2600,2352,4952,0.53,0.47
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",885,787,1672,0.53,0.47
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",224,192,416,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,2042,1902,3944,0.52,0.48
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",875,859,1734,0.5,0.5
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",208,185,393,0.53,0.47
CE_a120_0,Ceres,Trine,0,2068,1837,3905,0.53,0.47
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",891,829,1720,0.52,0.48
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",216,179,395,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,2044,1873,3917,0.52,0.48
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",838,848,1686,0.5,0.5
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",242,227,469,0.52,0.48
CE_a144_0,Ceres,BiQuintile,0,2071,1806,3877,0.53,0.47
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",894,844,1738,0.51,0.49
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",181,188,369,0.49,0.51
CE_a150_0,Ceres,Quincunx,0,2076,1849,3925,0.53,0.47
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",598,518,1116,0.54,0.46
CE_a180_0,Ceres,Opposition,0,2553,2363,4916,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",982,908,1890,0.52,0.48
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",320,291,611,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,1849,1682,3531,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",910,869,1779,0.51,0.49
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",378,362,740,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,1863,1650,3513,0.53,0.47
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",992,939,1931,0.51,0.49
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",293,273,566,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,1866,1669,3535,0.53,0.47
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",864,868,1732,0.5,0.5
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",236,203,439,0.54,0.46
CE_a60_0,Ceres,Sextile,0,2051,1810,3861,0.53,0.47
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",947,818,1765,0.54,0.46
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",178,188,366,0.49,0.51
CE_a72_0,Ceres,Quintile,0,2026,1875,3901,0.52,0.48
"CE_a90_(0,1]",Ceres,Square,"(0,1]",801,716,1517,0.53,0.47
"CE_a90_(1,5]",Ceres,Square,"(1,5]",217,172,389,0.56,0.44
CE_a90_0,Ceres,Square,0,2133,1993,4126,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",701,638,1339,0.52,0.48
CH_a0_0,Chiron,Conjunction,0,2450,2243,4693,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",924,841,1765,0.52,0.48
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",206,178,384,0.54,0.46
CH_a103_0,Chiron,BiSeptile,0,2021,1862,3883,0.52,0.48
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",719,695,1414,0.51,0.49
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",161,150,311,0.52,0.48
CH_a120_0,Chiron,Trine,0,2271,2036,4307,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",728,674,1402,0.52,0.48
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",176,167,343,0.51,0.49
CH_a135_0,Chiron,SesquiSquare,0,2247,2040,4287,0.52,0.48
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",755,721,1476,0.51,0.49
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",181,153,334,0.54,0.46
CH_a144_0,Chiron,BiQuintile,0,2215,2007,4222,0.52,0.48
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",849,729,1578,0.54,0.46
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",150,141,291,0.52,0.48
CH_a150_0,Chiron,Quincunx,0,2152,2011,4163,0.52,0.48
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",579,521,1100,0.53,0.47
CH_a180_0,Chiron,Opposition,0,2572,2360,4932,0.52,0.48
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",601,518,1119,0.54,0.46
CH_a30_0,Chiron,SemiSextile,0,1086,1085,2171,0.5,0.5
CH_a30_1,Chiron,SemiSextile,1,1464,1278,2742,0.53,0.47
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",989,935,1924,0.51,0.49
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",260,266,526,0.49,0.51
CH_a36_0,Chiron,SemiQuintile,0,1902,1680,3582,0.53,0.47
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",886,801,1687,0.53,0.47
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",220,229,449,0.49,0.51
CH_a45_0,Chiron,SemiSquare,0,2045,1851,3896,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",1019,1029,2048,0.5,0.5
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",286,238,524,0.55,0.45
CH_a60_0,Chiron,Sextile,0,1846,1614,3460,0.53,0.47
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",1098,981,2079,0.53,0.47
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",307,236,543,0.57,0.43
CH_a72_0,Chiron,Quintile,0,1746,1664,3410,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",854,812,1666,0.51,0.49
"CH_a90_(1,5]",Chiron,Square,"(1,5]",236,179,415,0.57,0.43
CH_a90_0,Chiron,Square,0,2061,1890,3951,0.52,0.48
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",608,552,1160,0.52,0.48
JN_a0_0,Juno,Conjunction,0,2543,2329,4872,0.52,0.48
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",984,911,1895,0.52,0.48
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",212,174,386,0.55,0.45
JN_a103_0,Juno,BiSeptile,0,1955,1796,3751,0.52,0.48
"JN_a120_(0,1]",Juno,Trine,"(0,1]",1022,862,1884,0.54,0.46
"JN_a120_(1,4]",Juno,Trine,"(1,4]",249,225,474,0.53,0.47
JN_a120_0,Juno,Trine,0,1880,1794,3674,0.51,0.49
"JN_a135_(0,1]",Juno,SesquiSquare,"(0,1]",949,823,1772,0.54,0.46
"JN_a135_(1,4]",Juno,SesquiSquare,"(1,4]",199,166,365,0.55,0.45
JN_a135_0,Juno,SesquiSquare,0,2003,1892,3895,0.51,0.49
"JN_a144_(0,1]",Juno,BiQuintile,"(0,1]",922,874,1796,0.51,0.49
"JN_a144_(1,5]",Juno,BiQuintile,"(1,5]",238,196,434,0.55,0.45
JN_a144_0,Juno,BiQuintile,0,1991,1811,3802,0.52,0.48
"JN_a150_(0,1]",Juno,Quincunx,"(0,1]",926,861,1787,0.52,0.48
"JN_a150_(1,4]",Juno,Quincunx,"(1,4]",236,222,458,0.52,0.48
JN_a150_0,Juno,Quincunx,0,1989,1798,3787,0.53,0.47
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",623,585,1208,0.52,0.48
JN_a180_0,Juno,Opposition,0,2528,2296,4824,0.52,0.48
"JN_a30_(0,1]",Juno,SemiSextile,"(0,1]",948,903,1851,0.51,0.49
"JN_a30_(1,5]",Juno,SemiSextile,"(1,5]",219,202,421,0.52,0.48
JN_a30_0,Juno,SemiSextile,0,1984,1776,3760,0.53,0.47
"JN_a36_(0,1]",Juno,SemiQuintile,"(0,1]",878,737,1615,0.54,0.46
"JN_a36_(1,4]",Juno,SemiQuintile,"(1,4]",216,197,413,0.52,0.48
JN_a36_0,Juno,SemiQuintile,0,2057,1947,4004,0.51,0.49
"JN_a45_(0,1]",Juno,SemiSquare,"(0,1]",844,778,1622,0.52,0.48
"JN_a45_(1,4]",Juno,SemiSquare,"(1,4]",197,179,376,0.52,0.48
JN_a45_0,Juno,SemiSquare,0,2110,1924,4034,0.52,0.48
"JN_a60_(0,1]",Juno,Sextile,"(0,1]",856,861,1717,0.5,0.5
"JN_a60_(1,6]",Juno,Sextile,"(1,6]",234,209,443,0.53,0.47
JN_a60_0,Juno,Sextile,0,2061,1811,3872,0.53,0.47
"JN_a72_(0,1]",Juno,Quintile,"(0,1]",952,804,1756,0.54,0.46
"JN_a72_(1,4]",Juno,Quintile,"(1,4]",236,222,458,0.52,0.48
