PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,a0,"(0,2]",284,262,546,0.52,0.48
CE_a0_0,Ceres,a0,0,2834,2592,5426,0.52,0.48
"CE_a103_(0,3]",Ceres,a103,"(0,3]",628,510,1138,0.55,0.45
CE_a103_0,Ceres,a103,0,2490,2344,4834,0.52,0.48
"CE_a120_(0,3]",Ceres,a120,"(0,3]",546,538,1084,0.5,0.5
CE_a120_0,Ceres,a120,0,2572,2316,4888,0.53,0.47
"CE_a135_(0,3]",Ceres,a135,"(0,3]",655,571,1226,0.53,0.47
CE_a135_0,Ceres,a135,0,2463,2283,4746,0.52,0.48
"CE_a144_(0,3]",Ceres,a144,"(0,3]",585,614,1199,0.49,0.51
CE_a144_0,Ceres,a144,0,2533,2240,4773,0.53,0.47
"CE_a150_(0,3]",Ceres,a150,"(0,3]",560,519,1079,0.52,0.48
CE_a150_0,Ceres,a150,0,2558,2335,4893,0.52,0.48
"CE_a180_(0,2]",Ceres,a180,"(0,2]",304,253,557,0.55,0.45
CE_a180_0,Ceres,a180,0,2814,2601,5415,0.52,0.48
"CE_a30_(0,1]",Ceres,a30,"(0,1]",749,672,1421,0.53,0.47
"CE_a30_(1,3]",Ceres,a30,"(1,3]",130,126,256,0.51,0.49
CE_a30_0,Ceres,a30,0,2239,2056,4295,0.52,0.48
"CE_a36_(0,1]",Ceres,a36,"(0,1]",650,659,1309,0.5,0.5
"CE_a36_(1,4]",Ceres,a36,"(1,4]",192,167,359,0.53,0.47
CE_a36_0,Ceres,a36,0,2276,2028,4304,0.53,0.47
"CE_a45_(0,3]",Ceres,a45,"(0,3]",789,700,1489,0.53,0.47
CE_a45_0,Ceres,a45,0,2329,2154,4483,0.52,0.48
"CE_a60_(0,3]",Ceres,a60,"(0,3]",668,643,1311,0.51,0.49
CE_a60_0,Ceres,a60,0,2450,2211,4661,0.53,0.47
"CE_a72_(0,3]",Ceres,a72,"(0,3]",611,593,1204,0.51,0.49
CE_a72_0,Ceres,a72,0,2507,2261,4768,0.53,0.47
"CE_a90_(0,3]",Ceres,a90,"(0,3]",524,411,935,0.56,0.44
CE_a90_0,Ceres,a90,0,2594,2443,5037,0.51,0.49
"CH_a0_(0,1]",Chiron,a0,"(0,1]",257,227,484,0.53,0.47
CH_a0_0,Chiron,a0,0,2861,2627,5488,0.52,0.48
"CH_a103_(0,1]",Chiron,a103,"(0,1]",21,20,41,0.51,0.49
CH_a103_0,Chiron,a103,0,3097,2834,5931,0.52,0.48
CH_a120_0,Chiron,a120,0,3118,2854,5972,0.52,0.48
CH_a135_0,Chiron,a135,0,3118,2854,5972,0.52,0.48
CH_a144_0,Chiron,a144,0,3118,2854,5972,0.52,0.48
CH_a150_0,Chiron,a150,0,3118,2854,5972,0.52,0.48
CH_a180_0,Chiron,a180,0,3118,2854,5972,0.52,0.48
CH_a30_0,Chiron,a30,0,1445,1476,2921,0.49,0.51
CH_a30_1,Chiron,a30,1,1673,1378,3051,0.55,0.45
"CH_a36_(0,2]",Chiron,a36,"(0,2]",432,450,882,0.49,0.51
CH_a36_0,Chiron,a36,0,2686,2404,5090,0.53,0.47
"CH_a45_(0,2]",Chiron,a45,"(0,2]",396,387,783,0.51,0.49
CH_a45_0,Chiron,a45,0,2722,2467,5189,0.52,0.48
"CH_a60_(0,1]",Chiron,a60,"(0,1]",539,537,1076,0.5,0.5
CH_a60_0,Chiron,a60,0,2579,2317,4896,0.53,0.47
"CH_a72_(0,1]",Chiron,a72,"(0,1]",590,523,1113,0.53,0.47
CH_a72_0,Chiron,a72,0,2528,2331,4859,0.52,0.48
"CH_a90_(0,1]",Chiron,a90,"(0,1]",331,293,624,0.53,0.47
CH_a90_0,Chiron,a90,0,2787,2561,5348,0.52,0.48
"JN_a0_(0,2]",Juno,a0,"(0,2]",352,306,658,0.53,0.47
JN_a0_0,Juno,a0,0,2766,2548,5314,0.52,0.48
"JN_a103_(0,4]",Juno,a103,"(0,4]",739,685,1424,0.52,0.48
JN_a103_0,Juno,a103,0,2379,2169,4548,0.52,0.48
"JN_a120_(0,3]",Juno,a120,"(0,3]",878,737,1615,0.54,0.46
JN_a120_0,Juno,a120,0,2240,2117,4357,0.51,0.49
"JN_a135_(0,3]",Juno,a135,"(0,3]",733,627,1360,0.54,0.46
JN_a135_0,Juno,a135,0,2385,2227,4612,0.52,0.48
"JN_a144_(0,3]",Juno,a144,"(0,3]",788,697,1485,0.53,0.47
JN_a144_0,Juno,a144,0,2330,2157,4487,0.52,0.48
"JN_a150_(0,3]",Juno,a150,"(0,3]",746,721,1467,0.51,0.49
JN_a150_0,Juno,a150,0,2372,2133,4505,0.53,0.47
"JN_a180_(0,3]",Juno,a180,"(0,3]",424,411,835,0.51,0.49
JN_a180_0,Juno,a180,0,2694,2443,5137,0.52,0.48
"JN_a30_(0,3]",Juno,a30,"(0,3]",623,588,1211,0.51,0.49
JN_a30_0,Juno,a30,0,2495,2266,4761,0.52,0.48
"JN_a36_(0,3]",Juno,a36,"(0,3]",554,464,1018,0.54,0.46
JN_a36_0,Juno,a36,0,2564,2390,4954,0.52,0.48
"JN_a45_(0,3]",Juno,a45,"(0,3]",609,532,1141,0.53,0.47
JN_a45_0,Juno,a45,0,2509,2322,4831,0.52,0.48
"JN_a60_(0,3]",Juno,a60,"(0,3]",669,641,1310,0.51,0.49
JN_a60_0,Juno,a60,0,2449,2213,4662,0.53,0.47
"JN_a72_(0,3]",Juno,a72,"(0,3]",707,595,1302,0.54,0.46
JN_a72_0,Juno,a72,0,2411,2259,4670,0.52,0.48
"JN_a90_(0,3]",Juno,a90,"(0,3]",670,587,1257,0.53,0.47
JN_a90_0,Juno,a90,0,2448,2267,4715,0.52,0.48
"JU_a0_(0,2]",Jupiter,a0,"(0,2]",242,233,475,0.51,0.49
JU_a0_0,Jupiter,a0,0,2876,2621,5497,0.52,0.48
"JU_a103_(0,2]",Jupiter,a103,"(0,2]",572,482,1054,0.54,0.46
JU_a103_0,Jupiter,a103,0,2546,2372,4918,0.52,0.48
"JU_a120_(0,3]",Jupiter,a120,"(0,3]",597,533,1130,0.53,0.47
JU_a120_0,Jupiter,a120,0,2521,2321,4842,0.52,0.48
"JU_a135_(0,3]",Jupiter,a135,"(0,3]",536,490,1026,0.52,0.48
JU_a135_0,Jupiter,a135,0,2582,2364,4946,0.52,0.48
"JU_a144_(0,3]",Jupiter,a144,"(0,3]",567,564,1131,0.5,0.5
JU_a144_0,Jupiter,a144,0,2551,2290,4841,0.53,0.47
"JU_a150_(0,3]",Jupiter,a150,"(0,3]",591,575,1166,0.51,0.49
JU_a150_0,Jupiter,a150,0,2527,2279,4806,0.53,0.47
"JU_a180_(0,2]",Jupiter,a180,"(0,2]",319,302,621,0.51,0.49
JU_a180_0,Jupiter,a180,0,2799,2552,5351,0.52,0.48
"JU_a30_(0,3]",Jupiter,a30,"(0,3]",470,469,939,0.5,0.5
JU_a30_0,Jupiter,a30,0,2648,2385,5033,0.53,0.47
"JU_a36_(0,3]",Jupiter,a36,"(0,3]",477,491,968,0.49,0.51
JU_a36_0,Jupiter,a36,0,2641,2363,5004,0.53,0.47
"JU_a45_(0,2]",Jupiter,a45,"(0,2]",587,469,1056,0.56,0.44
JU_a45_0,Jupiter,a45,0,2531,2385,4916,0.51,0.49
"JU_a60_(0,3]",Jupiter,a60,"(0,3]",496,495,991,0.5,0.5
JU_a60_0,Jupiter,a60,0,2622,2359,4981,0.53,0.47
"JU_a72_(0,3]",Jupiter,a72,"(0,3]",552,474,1026,0.54,0.46
JU_a72_0,Jupiter,a72,0,2566,2380,4946,0.52,0.48
"JU_a90_(0,3]",Jupiter,a90,"(0,3]",510,476,986,0.52,0.48
JU_a90_0,Jupiter,a90,0,2608,2378,4986,0.52,0.48
"MA_a0_(0,3]",Mars,a0,"(0,3]",468,411,879,0.53,0.47
MA_a0_0,Mars,a0,0,2650,2443,5093,0.52,0.48
"MA_a103_(0,1]",Mars,a103,"(0,1]",727,661,1388,0.52,0.48
"MA_a103_(1,4]",Mars,a103,"(1,4]",106,88,194,0.55,0.45
MA_a103_0,Mars,a103,0,2285,2105,4390,0.52,0.48
"MA_a120_(0,1]",Mars,a120,"(0,1]",637,638,1275,0.5,0.5
"MA_a120_(1,3]",Mars,a120,"(1,3]",100,84,184,0.54,0.46
MA_a120_0,Mars,a120,0,2381,2132,4513,0.53,0.47
"MA_a135_(0,4]",Mars,a135,"(0,4]",754,690,1444,0.52,0.48
MA_a135_0,Mars,a135,0,2364,2164,4528,0.52,0.48
"MA_a144_(0,1]",Mars,a144,"(0,1]",723,642,1365,0.53,0.47
"MA_a144_(1,4]",Mars,a144,"(1,4]",100,106,206,0.49,0.51
MA_a144_0,Mars,a144,0,2295,2106,4401,0.52,0.48
"MA_a150_(0,1]",Mars,a150,"(0,1]",701,662,1363,0.51,0.49
"MA_a150_(1,4]",Mars,a150,"(1,4]",107,99,206,0.52,0.48
MA_a150_0,Mars,a150,0,2310,2093,4403,0.52,0.48
"MA_a180_(0,3]",Mars,a180,"(0,3]",430,405,835,0.51,0.49
MA_a180_0,Mars,a180,0,2688,2449,5137,0.52,0.48
"MA_a30_(0,1]",Mars,a30,"(0,1]",758,716,1474,0.51,0.49
"MA_a30_(1,3]",Mars,a30,"(1,3]",131,102,233,0.56,0.44
MA_a30_0,Mars,a30,0,2229,2036,4265,0.52,0.48
"MA_a36_(0,1]",Mars,a36,"(0,1]",679,610,1289,0.53,0.47
"MA_a36_(1,4]",Mars,a36,"(1,4]",129,126,255,0.51,0.49
MA_a36_0,Mars,a36,0,2310,2118,4428,0.52,0.48
"MA_a45_(0,1]",Mars,a45,"(0,1]",749,649,1398,0.54,0.46
"MA_a45_(1,4]",Mars,a45,"(1,4]",92,90,182,0.51,0.49
MA_a45_0,Mars,a45,0,2277,2115,4392,0.52,0.48
"MA_a60_(0,1]",Mars,a60,"(0,1]",635,619,1254,0.51,0.49
"MA_a60_(1,5]",Mars,a60,"(1,5]",130,104,234,0.56,0.44
MA_a60_0,Mars,a60,0,2353,2131,4484,0.52,0.48
"MA_a72_(0,1]",Mars,a72,"(0,1]",718,669,1387,0.52,0.48
"MA_a72_(1,4]",Mars,a72,"(1,4]",71,76,147,0.48,0.52
MA_a72_0,Mars,a72,0,2329,2109,4438,0.52,0.48
"MA_a90_(0,4]",Mars,a90,"(0,4]",770,687,1457,0.53,0.47
MA_a90_0,Mars,a90,0,2348,2167,4515,0.52,0.48
"ME_a0_(0,1]",Mercury,a0,"(0,1]",686,678,1364,0.5,0.5
"ME_a0_(1,4]",Mercury,a0,"(1,4]",99,114,213,0.46,0.54
ME_a0_0,Mercury,a0,0,2333,2062,4395,0.53,0.47
"ME_a103_(0,1]",Mercury,a103,"(0,1]",738,699,1437,0.51,0.49
"ME_a103_(1,4]",Mercury,a103,"(1,4]",106,106,212,0.5,0.5
ME_a103_0,Mercury,a103,0,2274,2049,4323,0.53,0.47
"ME_a120_(0,1]",Mercury,a120,"(0,1]",788,672,1460,0.54,0.46
"ME_a120_(1,3]",Mercury,a120,"(1,3]",142,110,252,0.56,0.44
ME_a120_0,Mercury,a120,0,2188,2072,4260,0.51,0.49
"ME_a135_(0,3]",Mercury,a135,"(0,3]",779,709,1488,0.52,0.48
ME_a135_0,Mercury,a135,0,2339,2145,4484,0.52,0.48
"ME_a144_(0,1]",Mercury,a144,"(0,1]",696,625,1321,0.53,0.47
"ME_a144_(1,4]",Mercury,a144,"(1,4]",71,99,170,0.42,0.58
ME_a144_0,Mercury,a144,0,2351,2130,4481,0.52,0.48
"ME_a150_(0,4]",Mercury,a150,"(0,4]",732,655,1387,0.53,0.47
ME_a150_0,Mercury,a150,0,2386,2199,4585,0.52,0.48
"ME_a180_(0,3]",Mercury,a180,"(0,3]",365,366,731,0.5,0.5
ME_a180_0,Mercury,a180,0,2753,2488,5241,0.53,0.47
"ME_a30_(0,1]",Mercury,a30,"(0,1]",1025,867,1892,0.54,0.46
"ME_a30_(1,5]",Mercury,a30,"(1,5]",224,183,407,0.55,0.45
ME_a30_0,Mercury,a30,0,1869,1804,3673,0.51,0.49
"ME_a36_(0,1]",Mercury,a36,"(0,1]",920,848,1768,0.52,0.48
"ME_a36_(1,4]",Mercury,a36,"(1,4]",191,226,417,0.46,0.54
ME_a36_0,Mercury,a36,0,2007,1780,3787,0.53,0.47
"ME_a45_(0,1]",Mercury,a45,"(0,1]",922,919,1841,0.5,0.5
"ME_a45_(1,4]",Mercury,a45,"(1,4]",185,199,384,0.48,0.52
ME_a45_0,Mercury,a45,0,2011,1736,3747,0.54,0.46
"ME_a60_(0,1]",Mercury,a60,"(0,1]",981,890,1871,0.52,0.48
"ME_a60_(1,4]",Mercury,a60,"(1,4]",191,173,364,0.52,0.48
ME_a60_0,Mercury,a60,0,1946,1791,3737,0.52,0.48
"ME_a72_(0,1]",Mercury,a72,"(0,1]",810,699,1509,0.54,0.46
"ME_a72_(1,4]",Mercury,a72,"(1,4]",162,166,328,0.49,0.51
ME_a72_0,Mercury,a72,0,2146,1989,4135,0.52,0.48
"ME_a90_(0,1]",Mercury,a90,"(0,1]",641,623,1264,0.51,0.49
"ME_a90_(1,4]",Mercury,a90,"(1,4]",147,112,259,0.57,0.43
ME_a90_0,Mercury,a90,0,2330,2119,4449,0.52,0.48
"MO_a0_(0,1]",Moon,a0,"(0,1]",1057,960,2017,0.52,0.48
"MO_a0_(1,6]",Moon,a0,"(1,6]",400,367,767,0.52,0.48
MO_a0_0,Moon,a0,0,1661,1527,3188,0.52,0.48
"MO_a103_(0,1]",Moon,a103,"(0,1]",1211,1083,2294,0.53,0.47
"MO_a103_(1,2]",Moon,a103,"(1,2]",747,667,1414,0.53,0.47
"MO_a103_(2,7]",Moon,a103,"(2,7]",370,333,703,0.53,0.47
MO_a103_0,Moon,a103,0,790,771,1561,0.51,0.49
"MO_a120_(0,1]",Moon,a120,"(0,1]",1148,1057,2205,0.52,0.48
"MO_a120_(1,2]",Moon,a120,"(1,2]",693,656,1349,0.51,0.49
"MO_a120_(2,8]",Moon,a120,"(2,8]",406,353,759,0.53,0.47
MO_a120_0,Moon,a120,0,871,788,1659,0.53,0.47
"MO_a135_(0,1]",Moon,a135,"(0,1]",1128,1050,2178,0.52,0.48
"MO_a135_(1,2]",Moon,a135,"(1,2]",677,645,1322,0.51,0.49
"MO_a135_(2,7]",Moon,a135,"(2,7]",411,356,767,0.54,0.46
MO_a135_0,Moon,a135,0,902,803,1705,0.53,0.47
"MO_a144_(0,1]",Moon,a144,"(0,1]",1098,1013,2111,0.52,0.48
"MO_a144_(1,2]",Moon,a144,"(1,2]",694,652,1346,0.52,0.48
"MO_a144_(2,7]",Moon,a144,"(2,7]",387,363,750,0.52,0.48
MO_a144_0,Moon,a144,0,939,826,1765,0.53,0.47
"MO_a150_(0,1]",Moon,a150,"(0,1]",1128,1049,2177,0.52,0.48
"MO_a150_(1,2]",Moon,a150,"(1,2]",682,633,1315,0.52,0.48
"MO_a150_(2,7]",Moon,a150,"(2,7]",385,377,762,0.51,0.49
MO_a150_0,Moon,a150,0,923,795,1718,0.54,0.46
"MO_a180_(0,1]",Moon,a180,"(0,1]",1024,902,1926,0.53,0.47
