MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,76,58,134,0.57,0.43
F_02_TAU,Full,Taurus,85,91,176,0.48,0.52
F_03_GEM,Full,Gemini,69,78,147,0.47,0.53
F_04_CAN,Full,Cancer,93,55,148,0.63,0.37
F_05_LEO,Full,Leo,95,81,176,0.54,0.46
F_06_VIR,Full,Virgo,95,62,157,0.61,0.39
F_07_LIB,Full,Libra,76,64,140,0.54,0.46
F_08_SCO,Full,Scorpio,89,75,164,0.54,0.46
F_09_SAG,Full,Sagittarius,110,89,199,0.55,0.45
F_10_CAP,Full,Capricorn,83,74,157,0.53,0.47
F_11_AQU,Full,Aquarius,86,81,167,0.51,0.49
F_12_PIS,Full,Pisces,68,67,135,0.5,0.5
N_01_ARI,New,Aries,54,49,103,0.52,0.48
N_02_TAU,New,Taurus,76,101,177,0.43,0.57
N_03_GEM,New,Gemini,79,90,169,0.47,0.53
N_04_CAN,New,Cancer,109,67,176,0.62,0.38
N_05_LEO,New,Leo,97,94,191,0.51,0.49
N_06_VIR,New,Virgo,93,84,177,0.53,0.47
N_07_LIB,New,Libra,72,93,165,0.44,0.56
N_08_SCO,New,Scorpio,81,77,158,0.51,0.49
N_09_SAG,New,Sagittarius,92,78,170,0.54,0.46
N_10_CAP,New,Capricorn,80,78,158,0.51,0.49
N_11_AQU,New,Aquarius,84,64,148,0.57,0.43
N_12_PIS,New,Pisces,51,64,115,0.44,0.56
