PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",462,424,886,0.52,0.48
"CE_(3,4]",Ceres,"(3,4]",379,356,735,0.52,0.48
"CE_(4,8]",Ceres,"(4,8]",308,265,573,0.54,0.46
"CE_[0,2]",Ceres,"[0,2]",928,855,1783,0.52,0.48
"CH_(1,2]",Chiron,"(1,2]",793,679,1472,0.54,0.46
"CH_(2,3]",Chiron,"(2,3]",217,188,405,0.54,0.46
CH_1,Chiron,1,866,818,1684,0.51,0.49
"CH_[0,1)",Chiron,"[0,1)",201,215,416,0.48,0.52
"JN_(2,3]",Juno,"(2,3]",447,432,879,0.51,0.49
"JN_(3,4]",Juno,"(3,4]",389,371,760,0.51,0.49
"JN_(4,9]",Juno,"(4,9]",389,348,737,0.53,0.47
"JN_[0,2]",Juno,"[0,2]",852,749,1601,0.53,0.47
"JU_(1,2]",Jupiter,"(1,2]",704,609,1313,0.54,0.46
"JU_(2,3]",Jupiter,"(2,3]",457,412,869,0.53,0.47
"JU_(3,7]",Jupiter,"(3,7]",359,336,695,0.52,0.48
"JU_[0,1]",Jupiter,"[0,1]",557,543,1100,0.51,0.49
"MA_(2,3]",Mars,"(2,3]",444,437,881,0.5,0.5
"MA_(3,5]",Mars,"(3,5]",747,670,1417,0.53,0.47
"MA_(5,11]",Mars,"(5,11]",266,271,537,0.5,0.5
"MA_[0,2]",Mars,"[0,2]",620,522,1142,0.54,0.46
"ME_(3,4]",Mercury,"(3,4]",439,374,813,0.54,0.46
"ME_(4,6]",Mercury,"(4,6]",637,642,1279,0.5,0.5
"ME_(6,13]",Mercury,"(6,13]",258,239,497,0.52,0.48
"ME_[0,3]",Mercury,"[0,3]",743,645,1388,0.54,0.46
"MO_(13,15]",Moon,"(13,15]",593,544,1137,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",496,481,977,0.51,0.49
"MO_(17,27]",Moon,"(17,27]",379,310,689,0.55,0.45
"MO_[5,13]",Moon,"[5,13]",609,565,1174,0.52,0.48
NE_0,Neptune,0,2077,1900,3977,0.52,0.48
"NN_(2,3]",NNode,"(2,3]",554,489,1043,0.53,0.47
"NN_(3,6]",NNode,"(3,6]",453,463,916,0.49,0.51
NN_2,NNode,2,712,621,1333,0.53,0.47
"NN_[1,2)",NNode,"[1,2)",358,327,685,0.52,0.48
"PA_(1,2]",Pallas,"(1,2]",501,483,984,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",517,413,930,0.56,0.44
"PA_(3,8]",Pallas,"(3,8]",409,415,824,0.5,0.5
"PA_[0,1]",Pallas,"[0,1]",650,589,1239,0.52,0.48
"PH_(0,1]",Pholus,"(0,1]",936,839,1775,0.53,0.47
PH_0,Pholus,0,1141,1061,2202,0.52,0.48
"SA_(1,2]",Saturn,"(1,2]",497,500,997,0.5,0.5
"SA_(2,4]",Saturn,"(2,4]",274,232,506,0.54,0.46
SA_1,Saturn,1,845,741,1586,0.53,0.47
"SA_[0,1)",Saturn,"[0,1)",461,427,888,0.52,0.48
"SN_(2,5]",SNode,"(2,5]",475,494,969,0.49,0.51
SN_2,SNode,2,507,426,933,0.54,0.46
"SN_[0,1]",SNode,"[0,1]",1095,980,2075,0.53,0.47
"SU_(3,4]",Sun,"(3,4]",448,412,860,0.52,0.48
"SU_(4,5]",Sun,"(4,5]",356,324,680,0.52,0.48
"SU_(5,11]",Sun,"(5,11]",413,386,799,0.52,0.48
"SU_[0,3]",Sun,"[0,3]",860,778,1638,0.53,0.47
"UR_(1,3]",Uranus,"(1,3]",631,633,1264,0.5,0.5
UR_0,Uranus,0,755,649,1404,0.54,0.46
UR_1,Uranus,1,691,618,1309,0.53,0.47
"VE_(3,4]",Venus,"(3,4]",452,418,870,0.52,0.48
"VE_(4,6]",Venus,"(4,6]",669,592,1261,0.53,0.47
"VE_(6,12]",Venus,"(6,12]",294,256,550,0.53,0.47
"VE_[0,3]",Venus,"[0,3]",662,634,1296,0.51,0.49
"VS_(2,3]",Vesta,"(2,3]",459,440,899,0.51,0.49
"VS_(3,4]",Vesta,"(3,4]",408,365,773,0.53,0.47
"VS_(4,10]",Vesta,"(4,10]",536,489,1025,0.52,0.48
"VS_[0,2]",Vesta,"[0,2]",674,606,1280,0.53,0.47
