PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",216,160,376,0.57,0.43
CE_a0_0,Ceres,Conjunction,0,1815,1683,3498,0.52,0.48
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",412,384,796,0.52,0.48
CE_a103_0,Ceres,BiSeptile,0,1619,1459,3078,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",458,422,880,0.52,0.48
CE_a120_0,Ceres,Trine,0,1573,1421,2994,0.53,0.47
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",371,322,693,0.54,0.46
CE_a135_0,Ceres,SesquiSquare,0,1660,1521,3181,0.52,0.48
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",433,347,780,0.56,0.44
CE_a144_0,Ceres,BiQuintile,0,1598,1496,3094,0.52,0.48
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",384,371,755,0.51,0.49
CE_a150_0,Ceres,Quincunx,0,1647,1472,3119,0.53,0.47
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",207,171,378,0.55,0.45
CE_a180_0,Ceres,Opposition,0,1824,1672,3496,0.52,0.48
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",389,362,751,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,1642,1481,3123,0.53,0.47
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",392,349,741,0.53,0.47
CE_a36_0,Ceres,SemiQuintile,0,1639,1494,3133,0.52,0.48
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",440,397,837,0.53,0.47
CE_a45_0,Ceres,SemiSquare,0,1591,1446,3037,0.52,0.48
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",361,331,692,0.52,0.48
CE_a60_0,Ceres,Sextile,0,1670,1512,3182,0.52,0.48
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",345,334,679,0.51,0.49
CE_a72_0,Ceres,Quintile,0,1686,1509,3195,0.53,0.47
"CE_a90_(0,4]",Ceres,Square,"(0,4]",367,307,674,0.54,0.46
CE_a90_0,Ceres,Square,0,1664,1536,3200,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",298,320,618,0.48,0.52
CH_a0_0,Chiron,Conjunction,0,1733,1523,3256,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",560,519,1079,0.52,0.48
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",121,98,219,0.55,0.45
CH_a103_0,Chiron,BiSeptile,0,1350,1226,2576,0.52,0.48
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",461,440,901,0.51,0.49
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",119,108,227,0.52,0.48
CH_a120_0,Chiron,Trine,0,1451,1295,2746,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",444,450,894,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",105,106,211,0.5,0.5
CH_a135_0,Chiron,SesquiSquare,0,1482,1287,2769,0.54,0.46
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",474,445,919,0.52,0.48
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",133,120,253,0.53,0.47
CH_a144_0,Chiron,BiQuintile,0,1424,1278,2702,0.53,0.47
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",504,471,975,0.52,0.48
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",115,80,195,0.59,0.41
CH_a150_0,Chiron,Quincunx,0,1412,1292,2704,0.52,0.48
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",298,324,622,0.48,0.52
