PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(1,2]",Ceres,"(1,2]",550,522,1072,0.51,0.49
"CE_(2,6]",Ceres,"(2,6]",315,255,570,0.55,0.45
CE_1,Ceres,1,722,672,1394,0.52,0.48
"CE_[0,1)",Ceres,"[0,1)",410,367,777,0.53,0.47
"CH_(1,2]",Chiron,"(1,2]",566,491,1057,0.54,0.46
"CH_(2,3]",Chiron,"(2,3]",450,405,855,0.53,0.47
"CH_(3,9]",Chiron,"(3,9]",405,351,756,0.54,0.46
"CH_[0,1]",Chiron,"[0,1]",576,569,1145,0.5,0.5
"JN_(1,2]",Juno,"(1,2]",537,504,1041,0.52,0.48
"JN_(2,6]",Juno,"(2,6]",263,205,468,0.56,0.44
JN_1,Juno,1,745,701,1446,0.52,0.48
"JN_[0,1)",Juno,"[0,1)",452,406,858,0.53,0.47
"JU_(2,7]",Jupiter,"(2,7]",416,408,824,0.5,0.5
JU_2,Jupiter,2,625,555,1180,0.53,0.47
"JU_[0,1]",Jupiter,"[0,1]",956,853,1809,0.53,0.47
"MA_(1,5]",Mars,"(1,5]",501,452,953,0.53,0.47
MA_0,Mars,0,616,568,1184,0.52,0.48
MA_1,Mars,1,880,796,1676,0.53,0.47
"ME_(1,2]",Mercury,"(1,2]",84,87,171,0.49,0.51
ME_0,Mercury,0,967,845,1812,0.53,0.47
ME_1,Mercury,1,946,884,1830,0.52,0.48
"NE_(1,2]",Neptune,"(1,2]",500,453,953,0.52,0.48
"NE_(2,3]",Neptune,"(2,3]",442,432,874,0.51,0.49
"NE_(3,10]",Neptune,"(3,10]",575,512,1087,0.53,0.47
"NE_[0,1]",Neptune,"[0,1]",480,419,899,0.53,0.47
"NN_(1,2]",NNode,"(1,2]",622,514,1136,0.55,0.45
"NN_(2,3]",NNode,"(2,3]",334,309,643,0.52,0.48
"NN_(3,7]",NNode,"(3,7]",146,143,289,0.51,0.49
"NN_[0,1]",NNode,"[0,1]",895,850,1745,0.51,0.49
"PA_(1,2]",Pallas,"(1,2]",604,553,1157,0.52,0.48
"PA_(2,7]",Pallas,"(2,7]",393,325,718,0.55,0.45
PA_1,Pallas,1,709,645,1354,0.52,0.48
"PA_[0,1)",Pallas,"[0,1)",291,293,584,0.5,0.5
"PH_(1,2]",Pholus,"(1,2]",543,482,1025,0.53,0.47
"PH_(2,3]",Pholus,"(2,3]",417,386,803,0.52,0.48
"PH_(3,11]",Pholus,"(3,11]",466,459,925,0.5,0.5
"PH_[0,1]",Pholus,"[0,1]",571,489,1060,0.54,0.46
"PL_(2,3]",Pluto,"(2,3]",420,370,790,0.53,0.47
"PL_(3,4]",Pluto,"(3,4]",267,261,528,0.51,0.49
"PL_(4,10]",Pluto,"(4,10]",190,176,366,0.52,0.48
"PL_[0,2]",Pluto,"[0,2]",1120,1009,2129,0.53,0.47
"SA_(1,2]",Saturn,"(1,2]",546,516,1062,0.51,0.49
"SA_(2,3]",Saturn,"(2,3]",377,330,707,0.53,0.47
"SA_(3,9]",Saturn,"(3,9]",304,285,589,0.52,0.48
"SA_[0,1]",Saturn,"[0,1]",770,685,1455,0.53,0.47
"SN_(2,3]",SNode,"(2,3]",625,497,1122,0.56,0.44
"SN_(3,4]",SNode,"(3,4]",319,330,649,0.49,0.51
"SN_(4,8]",SNode,"(4,8]",172,150,322,0.53,0.47
"SN_[1,2]",SNode,"[1,2]",881,839,1720,0.51,0.49
"SU_(1,4]",Sun,"(1,4]",360,338,698,0.52,0.48
SU_0,Sun,0,680,605,1285,0.53,0.47
SU_1,Sun,1,957,873,1830,0.52,0.48
"UR_(1,2]",Uranus,"(1,2]",522,473,995,0.52,0.48
"UR_(2,3]",Uranus,"(2,3]",519,442,961,0.54,0.46
"UR_(3,10]",Uranus,"(3,10]",510,463,973,0.52,0.48
"UR_[0,1]",Uranus,"[0,1]",446,438,884,0.5,0.5
"VE_(1,3]",Venus,"(1,3]",250,220,470,0.53,0.47
VE_0,Venus,0,802,733,1535,0.52,0.48
VE_1,Venus,1,945,863,1808,0.52,0.48
"VS_(0,1]",Vesta,"(0,1]",830,740,1570,0.53,0.47
"VS_(1,2]",Vesta,"(1,2]",479,432,911,0.53,0.47
"VS_(2,6]",Vesta,"(2,6]",139,137,276,0.5,0.5
VS_0,Vesta,0,549,507,1056,0.52,0.48
