PlanetTriplicity,Planet,Triplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,530,512,1042,0.51,0.49
CE_FIX,Ceres,Fixed,680,662,1342,0.51,0.49
CE_MUT,Ceres,Mutable,792,647,1439,0.55,0.45
CH_CAR,Chiron,Cardinal,301,321,622,0.48,0.52
CH_FIX,Chiron,Fixed,652,510,1162,0.56,0.44
CH_MUT,Chiron,Mutable,1049,990,2039,0.51,0.49
JN_CAR,Juno,Cardinal,675,591,1266,0.53,0.47
JN_FIX,Juno,Fixed,725,627,1352,0.54,0.46
JN_MUT,Juno,Mutable,602,603,1205,0.5,0.5
JU_CAR,Juno,Cardinal,681,582,1263,0.54,0.46
JU_FIX,Juno,Fixed,640,621,1261,0.51,0.49
JU_MUT,Juno,Mutable,681,618,1299,0.52,0.48
MA_CAR,Mars,Cardinal,709,616,1325,0.54,0.46
MA_FIX,Mars,Fixed,662,607,1269,0.52,0.48
MA_MUT,Mars,Mutable,631,598,1229,0.51,0.49
ME_CAR,Mercury,Cardinal,676,604,1280,0.53,0.47
ME_FIX,Mercury,Fixed,681,620,1301,0.52,0.48
ME_MUT,Mercury,Mutable,645,597,1242,0.52,0.48
MO_CAR,Moon,Cardinal,655,626,1281,0.51,0.49
MO_FIX,Moon,Fixed,698,573,1271,0.55,0.45
MO_MUT,Moon,Mutable,649,622,1271,0.51,0.49
NE_FIX,Neptune,Fixed,774,623,1397,0.55,0.45
NE_MUT,Neptune,Mutable,1228,1198,2426,0.51,0.49
NN_CAR,North Node,Cardinal,612,624,1236,0.5,0.5
NN_FIX,North Node,Fixed,620,586,1206,0.51,0.49
NN_MUT,North Node,Mutable,770,611,1381,0.56,0.44
PA_CAR,Pallas,Cardinal,668,620,1288,0.52,0.48
PA_FIX,Pallas,Fixed,648,570,1218,0.53,0.47
PA_MUT,Pallas,Mutable,686,631,1317,0.52,0.48
PH_CAR,Pholus,Cardinal,289,311,600,0.48,0.52
PH_FIX,Pholus,Fixed,22,15,37,0.59,0.41
PH_MUT,Pholus,Mutable,1691,1495,3186,0.53,0.47
PL_CAR,Pluto,Cardinal,1695,1572,3267,0.52,0.48
PL_MUT,Pluto,Mutable,307,249,556,0.55,0.45
SA_CAR,Saturn,Cardinal,713,684,1397,0.51,0.49
SA_FIX,Saturn,Fixed,569,515,1084,0.52,0.48
SA_MUT,Saturn,Mutable,720,622,1342,0.54,0.46
SN_CAR,South Node,Cardinal,612,624,1236,0.5,0.5
SN_FIX,South Node,Fixed,620,586,1206,0.51,0.49
SN_MUT,South Node,Mutable,770,611,1381,0.56,0.44
SU_CAR,Sun,Cardinal,718,558,1276,0.56,0.44
SU_FIX,Sun,Fixed,615,655,1270,0.48,0.52
SU_MUT,Sun,Mutable,669,608,1277,0.52,0.48
UR_CAR,Uranus,Cardinal,1040,968,2008,0.52,0.48
UR_FIX,Uranus,Fixed,304,316,620,0.49,0.51
UR_MUT,Uranus,Mutable,658,537,1195,0.55,0.45
VE_CAR,Venus,Cardinal,670,612,1282,0.52,0.48
VE_FIX,Venus,Fixed,665,600,1265,0.53,0.47
VE_MUT,Venus,Mutable,667,609,1276,0.52,0.48
VS_CAR,Vesta,Cardinal,615,553,1168,0.53,0.47
VS_FIX,Vesta,Fixed,693,681,1374,0.5,0.5
VS_MUT,Vesta,Mutable,694,587,1281,0.54,0.46
