PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_JU_a103,1,119,0.001,0.007,0.001,0.001,0.006,-0.021,0.02,0.041,-0.293,0.925,0.001
CE_NN_a36,1,94,0,0.005,0,0,0.005,-0.012,0.011,0.023,-0.048,-0.507,0.001
CE_PA_a36,1,365,0,0.006,0.001,0,0.006,-0.022,0.023,0.044,-0.066,1.225,0
CE_SN_a144,1,94,0,0.005,0,0,0.005,-0.012,0.011,0.023,-0.048,-0.507,0.001
CH_PL_a45,1,306,0,0.012,0.001,0.001,0.008,-0.074,0.074,0.147,-0.131,8.636,0.001
CH_UR_a36,1,250,0,0.007,0.001,0.001,0.005,-0.03,0.02,0.05,-0.856,2.586,0
JN_CE_a150,1,183,0,0.007,0.001,0,0.007,-0.025,0.018,0.043,-0.643,0.974,0.001
JU_PL_a45,1,127,0.001,0.008,0.001,0.001,0.007,-0.021,0.026,0.047,0.142,0.661,0.001
MA_JN_a0,1,59,-0.001,0.007,-0.001,-0.001,0.006,-0.024,0.017,0.042,-0.254,1.538,0.001
MA_NE_a150,1,91,-0.001,0.007,-0.001,-0.001,0.005,-0.023,0.02,0.044,0.031,1.259,0.001
MA_PA_a180,1,35,0,0.008,0.001,0,0.008,-0.025,0.012,0.037,-0.83,0.861,0.001
MA_SN_a72,1,78,0,0.009,0,0,0.007,-0.038,0.02,0.058,-0.99,3.306,0.001
ME_SU_a0,1,245,0,0.009,0,0,0.005,-0.063,0.039,0.103,-1.216,11.134,0.001
ME_VS_a60,1,118,-0.001,0.008,0.001,0,0.006,-0.025,0.014,0.039,-0.671,0.372,0.001
MO_CH_a0,1,145,0,0.009,0,0,0.006,-0.058,0.024,0.082,-1.591,9.834,0.001
MO_PL_a45,1,276,0,0.009,0,0,0.005,-0.058,0.074,0.132,0.982,24.939,0.001
NN_PH_a120,1,150,0,0.005,0,0,0.005,-0.015,0.017,0.032,0.091,0.736,0
NN_SN_a180,1,3814,0.001,0.08,0,0,0.006,-0.829,4.829,5.658,57.888,3522.743,0.001
PA_NE_a30,1,154,0,0.008,0.001,0,0.006,-0.03,0.022,0.052,-0.348,1.296,0.001
PA_NN_a72,1,95,-0.001,0.006,-0.001,-0.001,0.006,-0.015,0.017,0.032,0,-0.092,0.001
PA_PH_a45,1,130,0,0.009,0,0,0.008,-0.023,0.029,0.052,0.006,0.433,0.001
SN_PH_a60,1,150,0,0.005,0,0,0.005,-0.015,0.017,0.032,0.091,0.736,0
SU_UR_a72,1,95,-0.001,0.006,0,0,0.007,-0.018,0.016,0.034,-0.235,-0.117,0.001
SU_VS_a60,1,104,0,0.008,0,0,0.007,-0.032,0.016,0.048,-0.424,1.139,0.001
UR_PH_a103,1,668,0,0.01,0,0,0.007,-0.074,0.074,0.147,-0.956,14.595,0
VE_PA_a90,1,89,0.001,0.007,0.002,0.001,0.006,-0.022,0.023,0.044,-0.142,1.175,0.001
VE_PH_a135,1,73,0.002,0.007,0.001,0.001,0.005,-0.017,0.022,0.038,0.56,0.784,0.001
VS_PL_a150,1,96,0,0.007,0.001,0,0.006,-0.033,0.015,0.048,-1.171,3.445,0.001
MO_JU_a90,1,253,0,0.01,0,0,0.007,-0.074,0.039,0.113,-1.416,13.318,0.001
VE_NE_a60,1,82,0,0.009,0,0,0.007,-0.026,0.033,0.059,0.368,1.762,0.001
MO_PH_a72,1,282,0,0.008,0,0,0.006,-0.026,0.024,0.049,-0.226,1.53,0
MO_UR_a30,1,284,0,0.008,0,0,0.006,-0.026,0.036,0.061,0.209,2.057,0
MO_SU_a103,1,268,0,0.007,0,0,0.006,-0.04,0.026,0.066,-0.646,3.436,0
MO_ME_a103,1,258,-0.001,0.008,0,0,0.006,-0.03,0.034,0.064,-0.135,2.82,0
MO_NN_a45,1,286,-0.001,0.008,-0.001,0,0.006,-0.033,0.023,0.056,-0.675,2.081,0
MO_SN_a135,1,286,-0.001,0.008,-0.001,0,0.006,-0.033,0.023,0.056,-0.675,2.081,0
MO_VE_a60,1,266,0.018,0.296,0,0,0.007,-0.063,4.829,4.892,16.104,258.558,0.018
VE_UR_a36,1,91,0.001,0.008,0,0.001,0.006,-0.019,0.037,0.057,1.048,4.01,0.001
MO_PA_a30,1,279,0,0.009,0,0.001,0.007,-0.064,0.027,0.091,-1.507,9.465,0.001
MO_NE_a0,1,136,0,0.008,0.001,0.001,0.006,-0.026,0.024,0.049,-0.46,1.592,0.001
MO_MA_a150,1,276,0,0.007,0,0,0.006,-0.024,0.021,0.045,-0.121,0.914,0
MO_JN_a150,1,277,0.019,0.29,0.001,0.001,0.006,-0.028,4.829,4.857,16.442,269.554,0.017
CE_PL_a60,1,107,0.001,0.006,0,0,0.006,-0.018,0.014,0.032,0.003,0.003,0.001
ME_PA_a135,1,45,-0.001,0.011,0,0,0.008,-0.026,0.03,0.055,0.002,0.797,0.002
ME_SA_a60,1,98,0,0.008,0.001,0.001,0.007,-0.041,0.016,0.057,-1.478,6.615,0.001
ME_VE_a45,1,197,0.001,0.009,0,0.001,0.006,-0.046,0.044,0.09,-0.453,8.132,0.001
MO_JN_a120,1,280,0.001,0.008,0,0.001,0.007,-0.023,0.03,0.052,0.119,0.725,0
MO_MA_a120,1,280,0,0.008,0,0,0.007,-0.041,0.03,0.071,-0.445,3.478,0
MO_ME_a72,1,272,0,0.008,0,0,0.005,-0.046,0.024,0.07,-0.647,4.633,0
SU_NN_a60,1,95,0,0.006,0,0,0.004,-0.025,0.022,0.047,-0.147,2.277,0.001
SU_PH_a180,1,44,0.001,0.008,0,0.001,0.006,-0.016,0.021,0.038,0.281,0.372,0.001
SU_SN_a120,1,94,0,0.007,0,0,0.005,-0.025,0.022,0.047,-0.145,2.22,0.001
VE_CH_a72,1,99,0,0.008,0,0,0.008,-0.035,0.018,0.052,-0.935,2.27,0.001
VE_MA_a90,1,107,0,0.007,0,0,0.006,-0.016,0.029,0.045,0.881,1.78,0.001
VE_SA_a103,1,115,-0.001,0.009,-0.002,-0.001,0.008,-0.028,0.044,0.072,0.726,4.62,0.001
VS_JU_a103,1,75,-0.001,0.013,0.001,0,0.007,-0.046,0.044,0.09,-0.724,4.209,0.001
VS_UR_a135,1,81,0,0.007,0,0,0.007,-0.017,0.014,0.031,-0.039,-0.505,0.001
MO_CE_a30,1,280,-0.003,0.05,0,0,0.006,-0.829,0.026,0.854,-16.133,263.773,0.003
SU_NE_a103,1,97,0.002,0.01,0.001,0.001,0.005,-0.019,0.074,0.093,3.523,22.13,0.001
MO_CH_a45,1,282,0.017,0.288,0,0,0.006,-0.032,4.829,4.861,16.597,274.621,0.017
MO_NE_a36,1,280,0.017,0.289,0,0,0.006,-0.063,4.829,4.892,16.532,272.529,0.017
MO_PL_a90,1,290,-0.003,0.049,0,0,0.006,-0.829,0.022,0.851,-16.31,270.853,0.003
MO_JU_a135,1,309,0,0.008,0,0,0.006,-0.025,0.044,0.07,0.813,6.126,0
MO_VS_a120,1,284,0,0.009,0,0,0.006,-0.063,0.037,0.101,-1.425,11.539,0.001
MA_CE_a150,1,100,0,0.008,0,0,0.007,-0.033,0.018,0.051,-1.114,3.378,0.001
VE_JN_a90,1,85,0.048,0.532,0.001,0.001,0.005,-0.829,4.829,5.658,8.464,73.564,0.058
ME_CE_a103,1,103,0.001,0.007,0,0,0.006,-0.013,0.023,0.036,0.631,0.625,0.001
ME_MA_a45,1,158,-0.001,0.007,-0.001,-0.001,0.007,-0.016,0.017,0.033,0.055,-0.09,0.001
MO_CE_a36,1,271,-0.003,0.051,0,0,0.006,-0.829,0.034,0.862,-15.747,252.493,0.003
MO_PA_a72,1,292,0,0.007,0,0,0.005,-0.027,0.033,0.061,0.281,3.65,0
MO_NN_a0,1,143,0.033,0.404,0,0,0.006,-0.058,4.829,4.887,11.7,135.913,0.034
MO_SN_a180,1,143,0.033,0.404,0,0,0.006,-0.058,4.829,4.887,11.7,135.913,0.034
MO_SU_a60,1,271,0,0.008,0,0,0.006,-0.032,0.023,0.054,-0.505,2.117,0
MO_PH_a120,1,281,-0.003,0.05,0,0,0.006,-0.829,0.033,0.862,-15.967,260.442,0.003
MO_NE_a45,1,282,-0.003,0.05,0,0,0.007,-0.829,0.033,0.862,-15.969,260.772,0.003
MO_JU_a144,1,305,0,0.008,0,0,0.006,-0.025,0.044,0.069,0.717,5.021,0
MO_ME_a60,1,275,0,0.008,0,0,0.006,-0.035,0.029,0.063,-0.732,3.177,0
MO_SA_a120,1,275,-0.001,0.009,0,0,0.006,-0.064,0.024,0.088,-2.413,15.221,0.001
JU_CH_a90,1,145,0,0.005,0,0,0.005,-0.012,0.014,0.026,0.061,-0.346,0
SU_PA_a135,1,74,0.001,0.015,0.001,0,0.006,-0.074,0.074,0.147,0.026,14.484,0.002
ME_JN_a45,1,98,-0.001,0.009,-0.001,0,0.006,-0.041,0.017,0.058,-1.8,6.935,0.001
MO_PL_a103,1,284,-0.003,0.05,0,0,0.006,-0.829,0.036,0.864,-15.988,261.848,0.003
MO_CE_a45,1,274,0,0.009,0.001,0,0.006,-0.074,0.039,0.113,-1.766,17.812,0.001
MO_CH_a60,1,277,-0.003,0.05,0,0,0.006,-0.829,0.036,0.864,-15.865,256.994,0.003
MO_MA_a103,1,267,-0.003,0.051,0.001,0,0.006,-0.829,0.034,0.862,-15.57,247.492,0.003
MO_JN_a103,1,274,0,0.008,0,0,0.006,-0.046,0.033,0.079,-0.649,4.704,0.001
JN_PL_a150,1,67,0,0.007,-0.001,0,0.005,-0.02,0.015,0.036,-0.209,1.065,0.001
MO_JU_a150,1,298,0,0.008,0,0,0.006,-0.035,0.037,0.072,0.084,4.119,0
VE_CE_a60,1,107,-0.001,0.007,0,0,0.006,-0.019,0.021,0.04,-0.232,0.585,0.001
ME_CH_a120,1,107,-0.001,0.01,-0.001,0,0.007,-0.074,0.02,0.094,-3.837,27.068,0.001
MO_VS_a103,1,277,0,0.007,0,0,0.006,-0.031,0.033,0.064,0.11,3.019,0
MO_PH_a135,1,277,0,0.008,0.001,0,0.006,-0.041,0.036,0.077,-0.374,4.324,0
MO_SU_a45,1,260,0.001,0.007,0.001,0.001,0.006,-0.033,0.022,0.055,-0.658,2.045,0
MO_PA_a90,1,270,0,0.008,0,0,0.006,-0.046,0.021,0.067,-0.963,5.409,0
MO_NE_a60,1,279,0,0.007,0,0,0.006,-0.024,0.036,0.06,0.034,2.567,0
MO_CH_a72,1,292,0.001,0.008,0.001,0.001,0.006,-0.027,0.027,0.054,-0.457,1.925,0
MO_UR_a36,1,285,0,0.008,0,0.001,0.006,-0.058,0.024,0.082,-1.432,9.617,0
MO_MA_a90,1,264,0.018,0.297,0,0,0.006,-0.035,4.829,4.864,16.045,256.624,0.018
MO_SA_a103,1,286,0,0.008,0,0,0.006,-0.024,0.044,0.069,1.057,5.679,0
MO_VE_a0,1,129,0.001,0.007,0.001,0.001,0.006,-0.023,0.029,0.051,0.078,1.701,0.001
MO_ME_a45,1,271,0,0.008,0,0,0.006,-0.032,0.016,0.048,-0.885,1.748,0
MO_CE_a60,1,282,0,0.008,0,0.001,0.006,-0.038,0.026,0.064,-0.681,2.618,0
MO_JN_a90,1,283,-0.001,0.007,0,0,0.006,-0.023,0.025,0.047,-0.141,1.064,0
MO_PH_a144,1,276,0,0.008,0,0,0.007,-0.025,0.026,0.051,-0.071,1.35,0
MO_PL_a120,1,286,0,0.008,0,0,0.006,-0.04,0.037,0.078,-0.424,4.378,0
ME_JU_a150,1,54,0.001,0.007,0.002,0.001,0.007,-0.015,0.016,0.031,0.035,-0.277,0.001
MO_SU_a36,1,266,0.001,0.007,0,0.001,0.006,-0.03,0.039,0.07,0.236,3.832,0
VE_PH_a144,1,79,0,0.006,0,0,0.005,-0.011,0.023,0.034,0.638,1.249,0.001
VE_PL_a120,1,91,-0.001,0.008,-0.001,-0.001,0.005,-0.027,0.029,0.056,0.225,2.759,0.001
MO_VS_a90,1,272,0,0.008,-0.001,0,0.006,-0.058,0.033,0.091,-1.216,10.404,0
MO_UR_a45,1,292,0,0.008,0,0,0.006,-0.058,0.033,0.091,-1.105,8.896,0
MO_NN_a30,1,284,0.001,0.008,0.001,0.001,0.006,-0.063,0.027,0.09,-1.742,14.842,0
MO_SN_a150,1,284,0.001,0.008,0.001,0.001,0.006,-0.063,0.027,0.09,-1.742,14.842,0
MO_NE_a72,1,283,0,0.008,0,0,0.006,-0.027,0.027,0.054,-0.12,1.532,0
MO_PA_a103,1,266,0.001,0.007,0.001,0.001,0.006,-0.025,0.029,0.054,-0.189,2.089,0
