PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",1044,997,2041,0.51,0.49
"CE_(5,7]",Ceres,"(5,7]",1699,1585,3284,0.52,0.48
"CE_(7,13]",Ceres,"(7,13]",732,666,1398,0.52,0.48
"CE_[0,4]",Ceres,"[0,4]",1901,1764,3665,0.52,0.48
"CH_(4,5]",Chiron,"(4,5]",1006,1075,2081,0.48,0.52
"CH_(5,7]",Chiron,"(5,7]",1834,1607,3441,0.53,0.47
"CH_(7,13]",Chiron,"(7,13]",823,728,1551,0.53,0.47
"CH_[0,4]",Chiron,"[0,4]",1713,1602,3315,0.52,0.48
"JN_(4,5]",Juno,"(4,5]",1041,992,2033,0.51,0.49
"JN_(5,7]",Juno,"(5,7]",1725,1573,3298,0.52,0.48
"JN_(7,14]",Juno,"(7,14]",731,711,1442,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",1879,1736,3615,0.52,0.48
"JU_(4,5]",Jupiter,"(4,5]",1049,985,2034,0.52,0.48
"JU_(5,7]",Jupiter,"(5,7]",1705,1602,3307,0.52,0.48
"JU_(7,12]",Jupiter,"(7,12]",737,680,1417,0.52,0.48
"JU_[0,4]",Jupiter,"[0,4]",1885,1745,3630,0.52,0.48
"MA_(4,5]",Mars,"(4,5]",1077,996,2073,0.52,0.48
"MA_(5,7]",Mars,"(5,7]",1619,1455,3074,0.53,0.47
"MA_(7,13]",Mars,"(7,13]",695,697,1392,0.5,0.5
"MA_[0,4]",Mars,"[0,4]",1985,1864,3849,0.52,0.48
"ME_(4,5]",Mercury,"(4,5]",1073,962,2035,0.53,0.47
"ME_(5,7]",Mercury,"(5,7]",1596,1573,3169,0.5,0.5
"ME_(7,14]",Mercury,"(7,14]",687,603,1290,0.53,0.47
"ME_[0,4]",Mercury,"[0,4]",2020,1874,3894,0.52,0.48
"MO_(13,15]",Moon,"(13,15]",1527,1437,2964,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",1306,1230,2536,0.51,0.49
"MO_(17,27]",Moon,"(17,27]",935,847,1782,0.52,0.48
"MO_[5,13]",Moon,"[5,13]",1608,1498,3106,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",1110,1027,2137,0.52,0.48
"NE_(5,6]",Neptune,"(5,6]",876,848,1724,0.51,0.49
"NE_(6,13]",Neptune,"(6,13]",1240,1059,2299,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",2150,2078,4228,0.51,0.49
"NN_(5,6]",NNode,"(5,6]",1171,1016,2187,0.54,0.46
"NN_(6,7]",NNode,"(6,7]",986,896,1882,0.52,0.48
"NN_(7,13]",NNode,"(7,13]",1044,1046,2090,0.5,0.5
"NN_[1,5]",NNode,"[1,5]",2175,2054,4229,0.51,0.49
"PA_(4,5]",Pallas,"(4,5]",1028,967,1995,0.52,0.48
"PA_(5,7]",Pallas,"(5,7]",1695,1553,3248,0.52,0.48
"PA_(7,13]",Pallas,"(7,13]",756,714,1470,0.51,0.49
"PA_[0,4]",Pallas,"[0,4]",1897,1778,3675,0.52,0.48
"PH_(4,5]",Pholus,"(4,5]",1075,1015,2090,0.51,0.49
"PH_(5,6]",Pholus,"(5,6]",911,880,1791,0.51,0.49
"PH_(6,13]",Pholus,"(6,13]",1303,1230,2533,0.51,0.49
"PH_[0,4]",Pholus,"[0,4]",2087,1887,3974,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",1118,1061,2179,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",917,907,1824,0.5,0.5
"PL_(6,14]",Pluto,"(6,14]",1245,1115,2360,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",2096,1929,4025,0.52,0.48
"SA_(4,5]",Saturn,"(4,5]",1022,970,1992,0.51,0.49
"SA_(5,7]",Saturn,"(5,7]",1602,1479,3081,0.52,0.48
"SA_(7,14]",Saturn,"(7,14]",686,624,1310,0.52,0.48
"SA_[0,4]",Saturn,"[0,4]",2066,1939,4005,0.52,0.48
"SN_(5,6]",SNode,"(5,6]",1190,1080,2270,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",942,904,1846,0.51,0.49
"SN_(7,13]",SNode,"(7,13]",1142,1067,2209,0.52,0.48
"SN_[1,5]",SNode,"[1,5]",2102,1961,4063,0.52,0.48
"SU_(4,5]",Sun,"(4,5]",1090,1037,2127,0.51,0.49
"SU_(5,7]",Sun,"(5,7]",1649,1556,3205,0.51,0.49
"SU_(7,14]",Sun,"(7,14]",731,659,1390,0.53,0.47
"SU_[0,4]",Sun,"[0,4]",1906,1760,3666,0.52,0.48
"UR_(4,5]",Uranus,"(4,5]",1110,946,2056,0.54,0.46
"UR_(5,7]",Uranus,"(5,7]",1696,1622,3318,0.51,0.49
"UR_(7,15]",Uranus,"(7,15]",862,809,1671,0.52,0.48
"UR_[0,4]",Uranus,"[0,4]",1708,1635,3343,0.51,0.49
"VE_(4,5]",Venus,"(4,5]",1048,990,2038,0.51,0.49
"VE_(5,7]",Venus,"(5,7]",1723,1600,3323,0.52,0.48
"VE_(7,14]",Venus,"(7,14]",886,822,1708,0.52,0.48
"VE_[0,4]",Venus,"[0,4]",1719,1600,3319,0.52,0.48
"VS_(4,5]",Vesta,"(4,5]",1096,995,2091,0.52,0.48
"VS_(5,7]",Vesta,"(5,7]",1648,1583,3231,0.51,0.49
"VS_(7,13]",Vesta,"(7,13]",732,659,1391,0.53,0.47
"VS_[0,4]",Vesta,"[0,4]",1900,1775,3675,0.52,0.48
