PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,191,183,374,0.51,0.49
CE_Z01_2ARI,Ceres,AriesD2,182,178,360,0.51,0.49
CE_Z01_3ARI,Ceres,AriesD3,188,154,342,0.55,0.45
CE_Z02_1TAU,Ceres,TaurusD1,182,156,338,0.54,0.46
CE_Z02_2TAU,Ceres,TaurusD2,169,176,345,0.49,0.51
CE_Z02_3TAU,Ceres,TaurusD3,160,161,321,0.5,0.5
CE_Z03_1GEM,Ceres,GeminiD1,165,169,334,0.49,0.51
CE_Z03_2GEM,Ceres,GeminiD2,178,127,305,0.58,0.42
CE_Z03_3GEM,Ceres,GeminiD3,159,172,331,0.48,0.52
CE_Z04_1CAN,Ceres,CancerD1,141,143,284,0.5,0.5
CE_Z04_2CAN,Ceres,CancerD2,168,149,317,0.53,0.47
CE_Z04_3CAN,Ceres,CancerD3,151,150,301,0.5,0.5
CE_Z05_1LEO,Ceres,LeoD1,163,110,273,0.6,0.4
CE_Z05_2LEO,Ceres,LeoD2,166,153,319,0.52,0.48
CE_Z05_3LEO,Ceres,LeoD1,84,109,193,0.44,0.56
CE_Z06_1VIR,Ceres,VirgoD1,186,158,344,0.54,0.46
CE_Z06_2VIR,Ceres,VirgoD2,139,146,285,0.49,0.51
CE_Z06_3VIR,Ceres,VirgoD3,153,128,281,0.54,0.46
CE_Z07_1LIB,Ceres,LibraD1,190,147,337,0.56,0.44
CE_Z07_2LIB,Ceres,LibraD2,129,107,236,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,163,182,345,0.47,0.53
CE_Z08_1SCO,Ceres,ScorpioD1,142,129,271,0.52,0.48
CE_Z08_2SCO,Ceres,ScorpioD2,166,185,351,0.47,0.53
CE_Z08_3SCO,Ceres,ScorpioD3,166,150,316,0.53,0.47
CE_Z09_1SAG,Ceres,SagittariusD1,222,213,435,0.51,0.49
CE_Z09_2SAG,Ceres,SagittariusD2,205,193,398,0.52,0.48
CE_Z09_3SAG,Ceres,SagittariusD3,188,189,377,0.5,0.5
CE_Z10_1CAP,Ceres,CapricornD1,159,195,354,0.45,0.55
CE_Z10_2CAP,Ceres,CapricornD2,180,185,365,0.49,0.51
CE_Z10_3CAP,Ceres,CapricornD3,225,195,420,0.54,0.46
CE_Z11_1AQU,Ceres,AquariusD1,195,182,377,0.52,0.48
CE_Z11_2AQU,Ceres,AquariusD2,188,179,367,0.51,0.49
CE_Z11_3AQU,Ceres,AquariusD3,191,224,415,0.46,0.54
