PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",1284,1199,2483,0.52,0.48
"CE_(3,4]",Ceres,"(3,4]",953,887,1840,0.52,0.48
"CE_(4,8]",Ceres,"(4,8]",706,643,1349,0.52,0.48
"CE_[0,2]",Ceres,"[0,2]",2504,2350,4854,0.52,0.48
"CH_(1,2]",Chiron,"(1,2]",1497,1338,2835,0.53,0.47
"CH_(2,3]",Chiron,"(2,3]",460,400,860,0.53,0.47
CH_1,Chiron,1,2375,2256,4631,0.51,0.49
"CH_[0,1)",Chiron,"[0,1)",1115,1085,2200,0.51,0.49
"JN_(2,3]",Juno,"(2,3]",1223,1207,2430,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",1013,963,1976,0.51,0.49
"JN_(4,9]",Juno,"(4,9]",978,913,1891,0.52,0.48
"JN_[0,2]",Juno,"[0,2]",2233,1996,4229,0.53,0.47
"JU_(1,2]",Jupiter,"(1,2]",1582,1485,3067,0.52,0.48
"JU_(2,3]",Jupiter,"(2,3]",1355,1174,2529,0.54,0.46
"JU_(3,7]",Jupiter,"(3,7]",864,846,1710,0.51,0.49
"JU_[0,1]",Jupiter,"[0,1]",1646,1574,3220,0.51,0.49
"MA_(2,3]",Mars,"(2,3]",1198,1179,2377,0.5,0.5
"MA_(3,5]",Mars,"(3,5]",1895,1807,3702,0.51,0.49
"MA_(5,11]",Mars,"(5,11]",757,652,1409,0.54,0.46
"MA_[0,2]",Mars,"[0,2]",1597,1441,3038,0.53,0.47
"ME_(3,4]",Mercury,"(3,4]",1121,1047,2168,0.52,0.48
"ME_(4,6]",Mercury,"(4,6]",1746,1694,3440,0.51,0.49
"ME_(6,13]",Mercury,"(6,13]",727,641,1368,0.53,0.47
"ME_[0,3]",Mercury,"[0,3]",1853,1697,3550,0.52,0.48
"MO_(13,15]",Moon,"(13,15]",1551,1462,3013,0.51,0.49
"MO_(15,17]",Moon,"(15,17]",1318,1245,2563,0.51,0.49
"MO_(17,27]",Moon,"(17,27]",943,858,1801,0.52,0.48
"MO_[5,13]",Moon,"[5,13]",1635,1514,3149,0.52,0.48
"NE_(0,1]",Neptune,"(0,1]",789,794,1583,0.5,0.5
NE_0,Neptune,0,4658,4285,8943,0.52,0.48
"NN_(2,3]",NNode,"(2,3]",1533,1387,2920,0.52,0.48
"NN_(3,6]",NNode,"(3,6]",1182,1141,2323,0.51,0.49
NN_2,NNode,2,1884,1783,3667,0.51,0.49
"NN_[1,2)",NNode,"[1,2)",848,768,1616,0.52,0.48
"PA_(1,2]",Pallas,"(1,2]",1426,1358,2784,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",1255,1201,2456,0.51,0.49
"PA_(3,8]",Pallas,"(3,8]",1245,1149,2394,0.52,0.48
"PA_[0,1]",Pallas,"[0,1]",1521,1371,2892,0.53,0.47
"PH_(0,1]",Pholus,"(0,1]",2172,1945,4117,0.53,0.47
"PH_(1,2]",Pholus,"(1,2]",187,196,383,0.49,0.51
PH_0,Pholus,0,3088,2938,6026,0.51,0.49
"SA_(1,2]",Saturn,"(1,2]",1547,1399,2946,0.53,0.47
"SA_(2,4]",Saturn,"(2,4]",545,505,1050,0.52,0.48
SA_1,Saturn,1,2118,1914,4032,0.53,0.47
"SA_[0,1)",Saturn,"[0,1)",1237,1261,2498,0.5,0.5
"SN_(2,5]",SNode,"(2,5]",1209,1137,2346,0.52,0.48
SN_2,SNode,2,1566,1439,3005,0.52,0.48
"SN_[0,1]",SNode,"[0,1]",2672,2503,5175,0.52,0.48
"SU_(3,4]",Sun,"(3,4]",1163,1126,2289,0.51,0.49
"SU_(4,5]",Sun,"(4,5]",955,869,1824,0.52,0.48
"SU_(5,11]",Sun,"(5,11]",1081,984,2065,0.52,0.48
"SU_[0,3]",Sun,"[0,3]",2248,2100,4348,0.52,0.48
"UR_(1,3]",Uranus,"(1,3]",1094,964,2058,0.53,0.47
UR_0,Uranus,0,2011,1969,3980,0.51,0.49
UR_1,Uranus,1,2342,2146,4488,0.52,0.48
"VE_(3,4]",Venus,"(3,4]",1186,1119,2305,0.51,0.49
"VE_(4,6]",Venus,"(4,6]",1747,1653,3400,0.51,0.49
"VE_(6,12]",Venus,"(6,12]",725,656,1381,0.52,0.48
"VE_[0,3]",Venus,"[0,3]",1789,1651,3440,0.52,0.48
"VS_(2,3]",Vesta,"(2,3]",1324,1185,2509,0.53,0.47
"VS_(3,4]",Vesta,"(3,4]",1058,1012,2070,0.51,0.49
"VS_(4,10]",Vesta,"(4,10]",1269,1215,2484,0.51,0.49
"VS_[0,2]",Vesta,"[0,2]",1796,1667,3463,0.52,0.48
