PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3163,3003,6166,0.51,0.49
CE_POS,Ceres,Positive,3161,2982,6143,0.51,0.49
CH_NEG,Chiron,Negative,3330,3065,6395,0.52,0.48
CH_POS,Chiron,Positive,2994,2920,5914,0.51,0.49
JN_NEG,Juno,Negative,3164,2952,6116,0.52,0.48
JN_POS,Juno,Positive,3160,3033,6193,0.51,0.49
JU_NEG,Jupiter,Negative,3153,3027,6180,0.51,0.49
JU_POS,Jupiter,Positive,3171,2958,6129,0.52,0.48
MA_NEG,Mars,Negative,3144,2961,6105,0.51,0.49
MA_POS,Mars,Positive,3180,3024,6204,0.51,0.49
ME_NEG,Mercury,Negative,3211,2972,6183,0.52,0.48
ME_POS,Mercury,Positive,3113,3013,6126,0.51,0.49
MO_NEG,Moon,Negative,3151,3003,6154,0.51,0.49
MO_POS,Moon,Positive,3173,2982,6155,0.52,0.48
NE_NEG,Neptune,Negative,3087,2806,5893,0.52,0.48
NE_POS,Neptune,Positive,3237,3179,6416,0.5,0.5
NN_NEG,NNode,Negative,3237,2991,6228,0.52,0.48
NN_POS,NNode,Positive,3087,2994,6081,0.51,0.49
PA_NEG,Pallas,Negative,3123,2943,6066,0.51,0.49
PA_POS,Pallas,Positive,3201,3042,6243,0.51,0.49
PH_NEG,Pholus,Negative,3052,2953,6005,0.51,0.49
PH_POS,Pholus,Positive,3272,3032,6304,0.52,0.48
PL_NEG,Pluto,Negative,3211,2929,6140,0.52,0.48
PL_POS,Pluto,Positive,3113,3056,6169,0.5,0.5
SA_NEG,Saturn,Negative,3083,3007,6090,0.51,0.49
SA_POS,Saturn,Positive,3241,2978,6219,0.52,0.48
SN_NEG,SNode,Negative,3237,2991,6228,0.52,0.48
SN_POS,SNode,Positive,3087,2994,6081,0.51,0.49
SU_NEG,Sun,Negative,3142,2974,6116,0.51,0.49
SU_POS,Sun,Positive,3182,3011,6193,0.51,0.49
UR_NEG,Uranus,Negative,3061,2943,6004,0.51,0.49
UR_POS,Uranus,Positive,3263,3042,6305,0.52,0.48
VE_NEG,Venus,Negative,3104,2888,5992,0.52,0.48
VE_POS,Venus,Positive,3220,3097,6317,0.51,0.49
VS_NEG,Vesta,Negative,3084,2955,6039,0.51,0.49
VS_POS,Vesta,Positive,3240,3030,6270,0.52,0.48
