PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1124,1082,2206,0.51,0.49,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1755,1668,3423,0.51,0.49,CAR
"CAR_(8,14]",Cardinal,"(8,14]",839,841,1680,0.5,0.5,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2657,2445,5102,0.52,0.48,CAR
"FIX_(5,6]",Fixed,"(5,6]",1294,1202,2496,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",931,896,1827,0.51,0.49,FIX
"FIX_(7,14]",Fixed,"(7,14]",1153,1080,2233,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",2997,2858,5855,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",2318,2170,4488,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",1138,1047,2185,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",1655,1561,3216,0.51,0.49,MUT
"MUT_[0,4]",Mutable,"[0,4]",1264,1258,2522,0.5,0.5,MUT
