PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,114,104,218,0.52,0.48
CE_FIX,227,251,478,0.47,0.53
CE_MUT,321,310,631,0.51,0.49
CH_CAR,427,436,863,0.49,0.51
CH_MUT,235,229,464,0.51,0.49
EM_CAR,243,230,473,0.51,0.49
EM_FIX,375,398,773,0.49,0.51
EM_MUT,44,37,81,0.54,0.46
ES_CAR,369,369,738,0.5,0.5
ES_FIX,233,240,473,0.49,0.51
ES_MUT,60,56,116,0.52,0.48
JN_CAR,306,337,643,0.48,0.52
JN_FIX,193,228,421,0.46,0.54
JN_MUT,163,100,263,0.62,0.38
JU_CAR,262,250,512,0.51,0.49
JU_FIX,214,212,426,0.5,0.5
JU_MUT,186,203,389,0.48,0.52
MA_CAR,274,280,554,0.49,0.51
MA_FIX,226,219,445,0.51,0.49
MA_MUT,162,166,328,0.49,0.51
ME_CAR,201,212,413,0.49,0.51
ME_FIX,218,233,451,0.48,0.52
ME_MUT,243,220,463,0.52,0.48
MO_CAR,219,227,446,0.49,0.51
MO_FIX,215,228,443,0.49,0.51
MO_MUT,228,210,438,0.52,0.48
NE_MUT,662,665,1327,0.5,0.5
NN_CAR,284,283,567,0.5,0.5
NN_FIX,259,271,530,0.49,0.51
NN_MUT,119,111,230,0.52,0.48
PA_CAR,350,375,725,0.48,0.52
PA_FIX,213,204,417,0.51,0.49
PA_MUT,99,86,185,0.54,0.46
PH_CAR,412,420,832,0.5,0.5
PH_MUT,250,245,495,0.51,0.49
PL_CAR,662,665,1327,0.5,0.5
SA_CAR,489,503,992,0.49,0.51
SA_FIX,74,61,135,0.55,0.45
SA_MUT,99,101,200,0.5,0.5
SN_CAR,284,283,567,0.5,0.5
SN_FIX,259,271,530,0.49,0.51
SN_MUT,119,111,230,0.52,0.48
SU_CAR,252,205,457,0.55,0.45
SU_FIX,200,227,427,0.47,0.53
SU_MUT,210,233,443,0.47,0.53
UR_CAR,229,237,466,0.49,0.51
UR_FIX,433,428,861,0.5,0.5
VE_CAR,195,216,411,0.47,0.53
VE_FIX,229,211,440,0.52,0.48
VE_MUT,238,238,476,0.5,0.5
VS_CAR,167,174,341,0.49,0.51
VS_FIX,256,268,524,0.49,0.51
VS_MUT,239,223,462,0.52,0.48
