PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a103,6,12,18,0.33,0.67
JUNE_a120,35,51,86,0.41,0.59
JUNE_a135,10,7,17,0.59,0.41
JUNE_a144,12,10,22,0.55,0.45
JUNE_a150,22,28,50,0.44,0.56
JUNE_a45,11,8,19,0.58,0.42
JUNE_a60,54,58,112,0.48,0.52
JUNE_a72,9,10,19,0.47,0.53
JUNE_a90,45,42,87,0.52,0.48
JUPL_a0,66,53,119,0.55,0.45
JUPL_a30,77,53,130,0.59,0.41
JUPL_a36,50,68,118,0.42,0.58
JUPL_a45,8,13,21,0.38,0.62
JUPL_a60,59,48,107,0.55,0.45
JUPL_a72,10,11,21,0.48,0.52
JUPL_a90,16,10,26,0.62,0.38
JUSA_a0,21,16,37,0.57,0.43
JUSA_a30,68,92,160,0.42,0.57
JUSA_a36,14,17,31,0.45,0.55
JUSA_a45,76,80,156,0.49,0.51
JUSA_a60,13,10,23,0.57,0.43
JUSA_a72,9,14,23,0.39,0.61
JUUR_a103,46,41,87,0.53,0.47
JUUR_a120,6,10,16,0.38,0.62
JUUR_a135,37,28,65,0.57,0.43
JUUR_a144,12,19,31,0.39,0.61
JUUR_a150,8,8,16,0.5,0.5
JUUR_a180,10,6,16,0.62,0.38
JUUR_a90,7,4,11,0.64,0.36
MAJU_a0,9,6,15,0.6,0.4
MAJU_a103,14,6,20,0.7,0.3
MAJU_a120,6,9,15,0.4,0.6
MAJU_a135,5,7,12,0.42,0.58
MAJU_a144,4,8,12,0.33,0.67
MAJU_a150,7,5,12,0.58,0.42
MAJU_a180,0,6,6,0,1
MAJU_a30,14,19,33,0.42,0.58
MAJU_a36,14,18,32,0.44,0.56
MAJU_a45,16,14,30,0.53,0.47
MAJU_a60,16,15,31,0.52,0.48
MAJU_a72,43,34,77,0.56,0.44
MAJU_a90,22,25,47,0.47,0.53
MANE_a0,4,10,14,0.29,0.71
MANE_a103,13,8,21,0.62,0.38
MANE_a120,15,12,27,0.56,0.44
MANE_a135,13,13,26,0.5,0.5
MANE_a144,15,12,27,0.56,0.44
MANE_a150,11,14,25,0.44,0.56
MANE_a180,9,3,12,0.75,0.25
MANE_a30,30,33,63,0.48,0.52
MANE_a36,41,50,91,0.45,0.55
MANE_a45,38,45,83,0.46,0.54
MANE_a60,15,7,22,0.68,0.32
MANE_a72,13,8,21,0.62,0.38
MANE_a90,10,11,21,0.48,0.52
MAPL_a0,10,5,15,0.67,0.33
MAPL_a103,12,9,21,0.57,0.43
MAPL_a120,13,7,20,0.65,0.35
MAPL_a135,7,14,21,0.33,0.67
MAPL_a144,10,10,20,0.5,0.5
MAPL_a150,4,17,21,0.19,0.81
MAPL_a180,5,8,13,0.38,0.62
MAPL_a30,15,12,27,0.56,0.44
MAPL_a36,13,14,27,0.48,0.52
MAPL_a45,12,14,26,0.46,0.54
MAPL_a60,15,12,27,0.56,0.44
MAPL_a72,17,10,27,0.63,0.37
MAPL_a90,29,26,55,0.53,0.47
MASA_a0,7,8,15,0.47,0.53
MASA_a103,13,7,20,0.65,0.35
MASA_a120,9,11,20,0.45,0.55
MASA_a135,8,10,18,0.44,0.56
MASA_a144,9,10,19,0.47,0.53
MASA_a150,6,13,19,0.32,0.68
MASA_a180,4,2,6,0.67,0.33
MASA_a30,32,39,71,0.45,0.55
MASA_a36,19,12,31,0.61,0.39
MASA_a45,22,9,31,0.71,0.29
MASA_a60,15,15,30,0.5,0.5
MASA_a72,16,15,31,0.52,0.48
MASA_a90,28,38,66,0.42,0.58
MAUR_a0,7,3,10,0.7,0.3
MAUR_a103,18,12,30,0.6,0.4
MAUR_a120,11,17,28,0.39,0.61
MAUR_a135,18,7,25,0.72,0.28
MAUR_a144,15,12,27,0.56,0.44
MAUR_a150,12,14,26,0.46,0.54
MAUR_a180,5,8,13,0.38,0.62
MAUR_a30,10,11,21,0.48,0.52
MAUR_a36,14,7,21,0.67,0.33
MAUR_a45,9,11,20,0.45,0.55
MAUR_a60,8,13,21,0.38,0.62
MAUR_a72,11,16,27,0.41,0.59
MAUR_a90,24,37,61,0.39,0.61
MEJU_a0,11,9,20,0.55,0.45
MEJU_a103,8,11,19,0.42,0.58
MEJU_a120,7,10,17,0.41,0.59
MEJU_a135,30,19,49,0.61,0.39
MEJU_a144,17,10,27,0.63,0.37
MEJU_a150,9,7,16,0.56,0.44
MEJU_a180,2,5,7,0.29,0.71
MEJU_a30,22,19,41,0.54,0.46
MEJU_a36,35,21,56,0.62,0.38
MEJU_a45,31,35,66,0.47,0.53
MEJU_a60,9,11,20,0.45,0.55
MEJU_a72,9,19,28,0.32,0.68
MEJU_a90,15,21,36,0.42,0.58
MEMA_a0,14,16,30,0.47,0.53
MEMA_a103,23,25,48,0.48,0.52
